Flashdance...What A Feeling	Irene Cara
Time (Clock Of The Heart)	Culture Club
Let's Dance	David Bowie
Electric Avenue	Eddy Grant
Overkill	Men At Work
My Love	Lionel Richie
Don't Let It End	Styx
Always Something There To Remind Me	Naked Eyes
Affair Of The Heart	Rick Springfield
Family Man	Daryl Hall John Oates
Beat It	Michael Jackson
Faithfully	Journey
Never Gonna Let You Go	Sergio Mendes
Every Breath You Take	The Police
Too Shy	Kajagoogoo
She's A Beauty	The Tubes
Wanna Be Startin' Somethin'	Michael Jackson
I'm Still Standing	Elton John
Come Dancing	The Kinks
She Blinded Me With Science	Thomas Dolby
Our House	Madness
We Two	Little River Band
Try Again	Champaign
The Woman In You	Bee Gees
All This Love	Debarge
Little Red Corvette	Prince
Baby Jane	Rod Stewart
That's Love	Jim Capaldi
Straight From The Heart	Bryan Adams
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
Solitaire	Laura Branigan
Is There Something I Should Know	Duran Duran
Roll Me Away	Bob Seger & The Silver Bullet Band
She Works Hard For The Money	Donna Summer
Don't Pay The Ferryman	Chris de Burgh
Stand Back	Stevie Nicks
Sweet Dreams (Are Made Of This)	Eurythmics
The Closer You Get	Alabama
1999	Prince
No Time For Talk	Christopher Cross
Photograph	Def Leppard
White Wedding	Billy Idol
Inside Love (so Personal)	George Benson
Stranger In My House	Ronnie Milsap
(Keep Feeling) Fascination	The Human League
Saved By Zero	The Fixx
How Do You Keep The Music Playing	James Ingram And Patti Austin
Candy Girl	New Edition
Cool Places	Sparks & Jane Wiedlin
Hot Girls In Love	Loverboy
Stop In The Name Of Love	The Hollies
Cuts Like A Knife	Bryan Adams
Slipping Away	Dave Edmunds
The Salt In My Tears	Martin Briley
I.o.u.	Lee Greenwood
China Girl	David Bowie
I Won't Hold You Back	Toto
Maniac	Michael Sembello
Take Me To Heart	Quarterflash
All My Life	Kenny Rogers
Rock Of Ages	Def Leppard
The One Thing	INXS
Der Kommissar	After The Fire
Love Never Fails	Greg Kihn Band
Jeopardy	Greg Kihn Band
China	Red Rockers
Looking For A Stranger	Pat Benatar
Love On Your Side	Thompson Twins
The Metro	Berlin
Billie Jean	Michael Jackson
Mornin'	Jarreau
Rio	Duran Duran
Love's Got A Line On You	Scandal Featuring Patty Smyth
When I'm With You	Sheriff
Space Age Whiz Kids	Joe Walsh
Save The Overtime (For Me)	Gladys Knight And The Pips
Theme From Doctor Detroit	Devo
Midnight Blue	Louise Tucker
Drop The Pilot	Joan Armatrading
Love Is The Key	Maze Featuring Frankie Beverly
Europa And The Pirate Twins	Thomas Dolby
The Border	America
Solid Rock	Goanna
Don't Make Me Do It	Patrick Simmons
Fade Away	Loz Netto
Boogie Down	Jarreau
Come On Eileen	Dexys Midnight Runners
You Are In My System	Robert Palmer
Never Tell An Angel (When Your Heart's On Fire)	The Stompers
Hold Me 'til The Mornin' Comes	Paul Anka
Easy For You To Say	Linda Ronstadt
Juicy Fruit	Mtume
He's A Pretender	High Inergy
Gimme All Your Lovin	ZZ Top
Stand By	Roman Holliday
New Year's Day	U2
Ricky	"Weird Al" Yankovic
The Celtic Soul Brothers	Dexys Midnight Runners
What You Do To Me	Carl Wilson
Keep It Confidential	Nona Hendryx
