Karma Chameleon	Culture Club
Jump	Van Halen
Joanna	Kool & The Gang
99 Luftballons	Nena
Talking In Your Sleep	The Romantics
That's All	Genesis
Thriller	Michael Jackson
Owner Of A Lonely Heart	Yes
Girls Just Want To Have Fun	Cyndi Lauper
Let The Music Play	Shannon
Running With The Night	Lionel Richie
Nobody Told Me	John Lennon
An Innocent Man	Billy Joel
Wrapped Around Your Finger	The Police
Think Of Laura	Christopher Cross
Pink Houses	John Mellencamp
Break My Stride	Matthew Wilder
I Guess That's Why They Call It The Blues	Elton John
Middle Of The Road	Pretenders
Yah Mo B There	James Ingram With Michael McDonald
I Want A New Drug	Huey Lewis & The News
New Moon On Monday	Duran Duran
So Bad	Paul McCartney
Here Comes The Rain Again	Eurythmics
Got A Hold On Me	Christine McVie
Somebody's Watching Me	Rockwell
I Still Can't Get Over Loving You	Ray Parker Jr.
The Language Of Love	Dan Fogelberg
Send Me An Angel	Real Life
This Woman	Kenny Rogers
Bang Your Head (Metal Health)	Quiet Riot
Footloose	Kenny Loggins
Give It Up	KC
Almost Over You	Sheena Easton
Automatic	The Pointer Sisters
Holiday	Madonna
The Politics Of Dancing	Re-flex
Let's Stay Together	Tina Turner
Runner	Manfred Mann's Earth Band
Back Where You Belong	Thirty Eight Special
Say Say Say	Paul McCartney And Michael Jackson
The Dream	Irene Cara
Adult Education	Daryl Hall John Oates
New Song	Howard Jones
For A Rocker	Jackson Browne
Livin' In Desperate Times	Olivia Newton-John
Come Back And Stay	Paul Young
Twist Of Fate	Olivia Newton-John
Hold Me Now	Thompson Twins
Nightbird	Stevie Nicks
Time Will Reveal	Debarge
If Only You Knew	Patti LaBelle
Red Red Wine	UB40
She Was Hot	The Rolling Stones
Fields Of Fire	Big Country
Baby I Lied	Deborah Allen
You Make My Heart Beat Faster	Kim Carnes
The Curly Shuffle	Jump 'n The Saddle
Don't Let Go	Wang Chung
Stay With Me Tonight	Jeffrey Osborne
Girls	Dwight Twilley
Say It Isn't So	Daryl Hall John Oates
Rebel Yell	Billy Idol
Union Of The Snake	Duran Duran
Radio Ga Ga	Queen
All Night Long (All Night)	Lionel Richie
Looks That Kill	Motley Crue
Remember The Nights	The Motels
Look At That Cadillac	Stray Cats
If I'd Been The One	Thirty Eight Special
Strip	Adam Ant
This Could Be The Right One	April Wine
Save The Last Dance For Me	Dolly Parton
She's Trouble	Musical Youth
Vitamin L	B.E. Taylor Group
Encore	Cheryl Lynn
Breaking Up Is Hard On You	The American Comedy Network
Body Talk	The Deele
Tender Years	John Cafferty & The Beaver Brown Band
The Kid's American	Matthew Wilder
Beast Of Burden	Bette Midler
Over My Head	Toni Basil
Joystick	Dazz Band
Remember What You Like	Jenny Burton
It's Gonna Be Special	Patti Austin
Shooting Shark	Blue Oyster Cult
Read 'Em And Weep	Barry Manilow
Make My Day	T.G. Sheppard With Clint Eastwood
That Was Then But This Is Now	ABC
Walking In My Sleep	Roger Daltrey
Ebony Eyes	Rick James And Smokey Robinson
LET's PRETEND WE'rE MARRIED	Prince
Each Word's A Beat Of My Heart	Mink De Ville
Love Is A Battlefield	Pat Benatar
Major Tom (Coming Home)	Peter Schilling
(You Can Still) Rock In America	Night Ranger
The Sign Of Fire	The Fixx
Just One More Time	The Headpins
Action	Evelyn "Champagne" King
Uptown Girl	Billy Joel
