Footloose	Kenny Loggins
Somebody's Watching Me	Rockwell
Jump	Van Halen
Here Comes The Rain Again	Eurythmics
Girls Just Want To Have Fun	Cyndi Lauper
I Want A New Drug	Huey Lewis & The News
Against All Odds (Take A Look At Me Now)	Phil Collins
Automatic	The Pointer Sisters
Adult Education	Daryl Hall John Oates
Miss Me Blind	Culture Club
99 Luftballons	Nena
Hold Me Now	Thompson Twins
Hello	Lionel Richie
Eat It	"Weird Al" Yankovic
Thriller	Michael Jackson
Got A Hold On Me	Christine McVie
The Language Of Love	Dan Fogelberg
New Moon On Monday	Duran Duran
Radio Ga Ga	Queen
Back Where You Belong	Thirty Eight Special
Girls	Dwight Twilley
Give It Up	KC
Runner	Manfred Mann's Earth Band
Come Back And Stay	Paul Young
They Don't Know	Tracey Ullman
Love Somebody	Rick Springfield
New Song	Howard Jones
You Might Think	The Cars
Don't Answer Me	The Alan Parsons Project
Tonight	Kool & The Gang
Let's Stay Together	Tina Turner
Leave It	Yes
Nobody Told Me	John Lennon
Red Red Wine	UB40
The Authority Song	John Cougar Mellencamp
Head Over Heels	Go-Go's
The Kid's American	Matthew Wilder
A Fine Fine Day	Tony Carey
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
One In A Million	The Romantics
Livin' In Desperate Times	Olivia Newton-John
Holding Out For A Hero	Bonnie Tyler
No More Words	Berlin
Show Me	Pretenders
Runaway	Bon Jovi
Rebel Yell	Billy Idol
The Longest Time	Billy Joel
Wrapped Around Your Finger	The Police
Breakdance	Irene Cara
Borderline	Madonna
Let The Music Play	Shannon
We're Going All The Way	Jeffrey Osborne
Sister Christian	Night Ranger
Illegal Alien	Genesis
Karma Chameleon	Culture Club
Dancing In The Sheets	Shalamar
Almost Over You	Sheena Easton
The Politics Of Dancing	Re-flex
Catch Me I'm Falling	Real Life
White Horse	Laid Back
Strip	Adam Ant
Joanna	Kool & The Gang
Walking In My Sleep	Roger Daltrey
Don't Let Go	Wang Chung
It's My Life	Talk Talk
An Innocent Man	Billy Joel
Love Me In A Special Way	Debarge
Baby Come Back	Billy Rankin
Hyperactive	Thomas Dolby
This Woman	Kenny Rogers
Give Me Tonight	Shannon
Joystick	Dazz Band
Give	Misiing Persons
Hunters Of The Night	Mr. Mister
That's All	Genesis
Rock You Like A Hurricane	Scorpions
Yah Mo B There	James Ingram With Michael McDonald
Club Michelle	Eddie Money
Owner Of A Lonely Heart	Yes
When The Lady Smiles	Golden Earring
Perfect Combination	Stacy Lattisaw & Johnny Gill
I'm Steppin' Out	John Lennon
No Parking (On The Dance Floor)	Midnight Star
Without You	David Bowie
Communication	Spandau Ballet
The Sun And The Rain	Madness
Looks That Kill	Motley Crue
Running With The Night	Lionel Richie
Unfaithfully Yours (Our Love)	Stephen Bishop
Love Has Finally Come At Last	Bobby Womack & Patti LaBelle
If Only You Knew	Patti LaBelle
Encore	Cheryl Lynn
Wouldn't It Be Good	Nik Kershaw
Talking In Your Sleep	The Romantics
Break My Stride	Matthew Wilder
Taxi	J. Blackfoot
I Guess That's Why They Call It The Blues	Elton John
Do You Love Me	Andy Fraser
Think Of Laura	Christopher Cross
She Was Hot	The Rolling Stones
