Time After Time	Cyndi Lauper
Let's Hear It For The Boy	Deniece Williams
Oh, Sherrie	Steve Perry
The Reflex	Duran Duran
Sister Christian	Night Ranger
The Heart Of Rock & Roll	Huey Lewis & The News
Hello	Lionel Richie
Breakdance	Irene Cara
Self Control	Laura Branigan
Jump (for My Love)	The Pointer Sisters
Borderline	Madonna
Against All Odds (Take A Look At Me Now)	Phil Collins
I'll Wait	Van Halen
Dancing In The Dark	Bruce Springsteen
It's A Miracle	Culture Club
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
You Can't Get What You Want	Joe Jackson
Eyes Without A Face	Billy Idol
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
Dancing In The Sheets	Shalamar
The Longest Time	Billy Joel
Stay The Night	Chicago
Run, Runaway	Slade
Who's That Girl	Eurythmics
Legs	ZZ Top
Magic	The Cars
Modern Day Delilah	Van Stephenson
Infatuation	Rod Stewart
My Ever Changing Moods	The Style Council
Love Will Show Us How	Christine McVie
Dance Hall Days	Wang Chung
Doctor! Doctor!	Thompson Twins
What Is Love	Howard Jones
Rock You Like A Hurricane	Scorpions
No Way Out	Jefferson Starship
When Doves Cry	Prince
Whisper To A Scream (Birds Fly)	Icicle Works
I Can Dream About You	Dan Hartman
Don't Walk Away	Rick Springfield
Music Time	Styx
You Might Think	The Cars
Hold Me Now	Thompson Twins
Obscene Phone Caller	Rockwell
Head Over Heels	Go-Go's
Prime Time	The Alan Parsons Project
Love Somebody	Rick Springfield
Breakin'...there's No Stopping Us	Ollie And Jerry
Don't Waste Your Time	Yarbrough & Peoples
Sad Songs (say So Much)	Elton John
Sunglasses At Night	Corey Hart
Farewell My Summer Love	Michael Jackson
Footloose	Kenny Loggins
If Ever You're In My Arms Again	Peabo Bryson
The Authority Song	John Cougar Mellencamp
Romancing The Stone	Eddy Grant
Heart Don't Lie	LaToya Jackson
What's Love Got To Do With It	Tina Turner
Alibis	Sergio Mendes
Love Of The Common People	Paul Young
Boys Do Fall In Love	Robin Gibb
No More Words	Berlin
The Ghost In You	Psychedelic Furs
White Horse	Laid Back
It's My Life	Talk Talk
Wouldn't It Be Good	Nik Kershaw
I Want To Break Free	Queen
Tonight	Kool & The Gang
Little Lady	Duke Jupiter
She Don't Know Me	Bon Jovi
A Little Love	Juice Newton
Give Me Tonight	Shannon
10-9-8	Face To Face
When We Make Love	Alabama
I Pretend	Kim Carnes
Freakshow On The Dance Floor	Bar-Kays
So You Ran	Orion The Hunter
They Don't Know	Tracey Ullman
Strangers In A Strange World	Jenny Burton & Patrick Jude
The First Day Of Summer	Tony Carey
Gotta Give A Little Love (Ten Years Later)	Timmy Thomas
Believe In Me	Dan Fogelberg
Bringin' On The Heartbreak	Def Leppard
Miss Me Blind	Culture Club
She's Strange	Cameo
Tonight Is What It Means To Be Young	Fire Inc.
Wonderland	Big Country
The Lebanon	The Human League
Jam On It	Newcleus
Hold Me	Teddy Pendergrass And Whitney Houston
Don't Answer Me	The Alan Parsons Project
There's No Easy Way	James Ingram
Original Sin	INXS
A Fine Fine Day	Tony Carey
Little Bit Of Love	Dwight Twilley
Automatic	The Pointer Sisters
Show Me	Pretenders
Here Comes The Rain Again	Eurythmics
Adult Education	Daryl Hall John Oates
King Of Suede	"Weird Al" Yankovic
Leave It	Yes
