The Reflex	Duran Duran
Dancing In The Dark	Bruce Springsteen
When Doves Cry	Prince
Self Control	Laura Branigan
Jump (for My Love)	The Pointer Sisters
The Heart Of Rock & Roll	Huey Lewis & The News
Time After Time	Cyndi Lauper
Eyes Without A Face	Billy Idol
Let's Hear It For The Boy	Deniece Williams
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
Oh, Sherrie	Steve Perry
Borderline	Madonna
Legs	ZZ Top
It's A Miracle	Culture Club
Magic	The Cars
Stay The Night	Chicago
Doctor! Doctor!	Thompson Twins
Infatuation	Rod Stewart
Dance Hall Days	Wang Chung
Sad Songs (say So Much)	Elton John
Who's That Girl	Eurythmics
Modern Day Delilah	Van Stephenson
Sister Christian	Night Ranger
You Can't Get What You Want	Joe Jackson
Breakin'...there's No Stopping Us	Ollie And Jerry
No Way Out	Jefferson Starship
Don't Walk Away	Rick Springfield
I Can Dream About You	Dan Hartman
Ghostbusters	Ray Parker Jr.
State of Shock	The Jacksons
What's Love Got To Do With It	Tina Turner
I'm Free (Heaven Helps The Man)	Kenny Loggins
Sunglasses At Night	Corey Hart
Prime Time	The Alan Parsons Project
Obscene Phone Caller	Rockwell
Romancing The Stone	Eddy Grant
If Ever You're In My Arms Again	Peabo Bryson
Farewell My Summer Love	Michael Jackson
Panama	Van Halen
Hello	Lionel Richie
Alibis	Sergio Mendes
Breakdance	Irene Cara
Run, Runaway	Slade
Boys Do Fall In Love	Robin Gibb
Love Of The Common People	Paul Young
A Little Love	Juice Newton
The First Day Of Summer	Tony Carey
Against All Odds (Take A Look At Me Now)	Phil Collins
Stuck On You	Lionel Richie
She Don't Know Me	Bon Jovi
10-9-8	Face To Face
Turn To You	Go-Go's
She's Mine	Steve Perry
Strangers In A Strange World	Jenny Burton & Patrick Jude
What Is Love	Howard Jones
Round And Round	Ratt
I'll Wait	Van Halen
So You Ran	Orion The Hunter
Dancing In The Sheets	Shalamar
Hold Me	Teddy Pendergrass And Whitney Houston
Bringin' On The Heartbreak	Def Leppard
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
Sexy Girl	Glenn Frey
The Lebanon	The Human League
Taking It All Too Hard	Genesis
The Moment Of Truth	Survivor
The Longest Time	Billy Joel
It Can Happen	Yes
Jam On It	Newcleus
Break-A-Way	Tracey Ullman
The Glamorous Life	Sheila E.
Whisper To A Scream (Birds Fly)	Icicle Works
Young Thing, Wild Dreams (Rock Me)	Red Rider
Missing You	John Waite
Somebody Else's Guy	Jocelyn Brown
My Ever Changing Moods	The Style Council
The Warrior	Scandal Featuring Patty Smyth
A Chance For Heaven	Christopher Cross
Rock You Like A Hurricane	Scorpions
Head Over Heels	Go-Go's
The Ghost In You	Psychedelic Furs
Black Stations/White Stations	M + M
I Lost On Jeopardy	"Weird Al" Yankovic
Now It's My Turn	Berlin
Simple	Johnny Mathis
Freakshow On The Dance Floor	Bar-Kays
High On Emotion	Chris de Burgh
Thin Line Between Love And Hate	Pretenders
Feels So Real (Won't Let Go)	Patrice Rushen
South Central Rain (I'm Sorry)	R.E.M.
Such A Shame	Talk Talk
When We Make Love	Alabama
Footloose	Kenny Loggins
Love Will Show Us How	Christine McVie
Hold Me Now	Thompson Twins
No More Words	Berlin
You Might Think	The Cars
Don't Waste Your Time	Yarbrough & Peoples
Tonight Is What It Means To Be Young	Fire Inc.
Music Time	Styx
