When Doves Cry	Prince
Dancing In The Dark	Bruce Springsteen
Ghostbusters	Ray Parker Jr.
Eyes Without A Face	Billy Idol
Jump (for My Love)	The Pointer Sisters
State of Shock	The Jacksons
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
Legs	ZZ Top
Sad Songs (say So Much)	Elton John
Infatuation	Rod Stewart
Doctor! Doctor!	Thompson Twins
Magic	The Cars
Breakin'...there's No Stopping Us	Ollie And Jerry
The Reflex	Duran Duran
Self Control	Laura Branigan
What's Love Got To Do With It	Tina Turner
I Can Dream About You	Dan Hartman
Stuck On You	Lionel Richie
The Heart Of Rock & Roll	Huey Lewis & The News
Dance Hall Days	Wang Chung
Panama	Van Halen
If Ever You're In My Arms Again	Peabo Bryson
No Way Out	Jefferson Starship
I'm Free (Heaven Helps The Man)	Kenny Loggins
Sunglasses At Night	Corey Hart
Romancing The Stone	Eddy Grant
Time After Time	Cyndi Lauper
Round And Round	Ratt
She's Mine	Steve Perry
Borderline	Madonna
Alibis	Sergio Mendes
Sexy Girl	Glenn Frey
The First Day Of Summer	Tony Carey
Rock Me Tonite	Billy Squier
Turn To You	Go-Go's
Missing You	John Waite
Boys Do Fall In Love	Robin Gibb
10-9-8	Face To Face
The Glamorous Life	Sheila E.
The Warrior	Scandal Featuring Patty Smyth
Lights Out	Peter Wolf
Don't Walk Away	Rick Springfield
Leave A Tender Moment Alone	Billy Joel
Let's Hear It For The Boy	Deniece Williams
If This Is It	Huey Lewis & The News
Stay The Night	Chicago
All Of You	Julio Iglesias & Diana Ross
Hold Me	Teddy Pendergrass And Whitney Houston
Modern Day Delilah	Van Stephenson
My, Oh My	Slade
Taking It All Too Hard	Genesis
She Bop	Cyndi Lauper
Oh, Sherrie	Steve Perry
When You Close Your Eyes	Night Ranger
Dynamite	Jermaine Jackson
Jam On It	Newcleus
Sister Christian	Night Ranger
It Can Happen	Yes
Farewell My Summer Love	Michael Jackson
17	Rick James
Two Sides Of Love	Sammy Hagar
High On Emotion	Chris de Burgh
Black Stations/White Stations	M + M
Still Loving You	Scorpions
It's A Miracle	Culture Club
A Little Love	Juice Newton
Right By Your Side	Eurythmics
She Don't Know Me	Bon Jovi
Mama, Weer All Crazee Now	Quiet Riot
Obscene Phone Caller	Rockwell
Who's That Girl	Eurythmics
You Can't Get What You Want	Joe Jackson
Hello	Lionel Richie
Prime Time	The Alan Parsons Project
Against All Odds (Take A Look At Me Now)	Phil Collins
Cruel Summer	Bananarama
99 1/2	Carol Lynn Townes
Feels So Real (Won't Let Go)	Patrice Rushen
Bringin' On The Heartbreak	Def Leppard
Love Of The Common People	Paul Young
Happy Ending	Joe Jackson
You're The Best Thing	The Style Council
The Moment Of Truth	Survivor
Run, Runaway	Slade
Simple	Johnny Mathis
Thin Line Between Love And Hate	Pretenders
Reach Out	Giorgio Moroder (Featuring Paul Engeman)
I Didn't Mean To Turn You On	Cherelle
Somebody Else's Guy	Jocelyn Brown
I Send A Message	INXS
South Central Rain (I'm Sorry)	R.E.M.
Strangers In A Strange World	Jenny Burton & Patrick Jude
Now It's My Turn	Berlin
Young Thing, Wild Dreams (Rock Me)	Red Rider
So You Ran	Orion The Hunter
Breakdance	Irene Cara
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
The Longest Time	Billy Joel
When We Make Love	Alabama
Don't Do Me	Randy Bell
