Let's Go Crazy	Prince And The Revolution
Missing You	John Waite
Drive	The Cars
She Bop	Cyndi Lauper
I Just Called To Say I Love You	Stevie Wonder
What's Love Got To Do With It	Tina Turner
The Warrior	Scandal Featuring Patty Smyth
The Glamorous Life	Sheila E.
Cruel Summer	Bananarama
Cover Me	Bruce Springsteen
If This Is It	Huey Lewis & The News
Hard Habit To Break	Chicago
Lucky Star	Madonna
When You Close Your Eyes	Night Ranger
Caribbean Queen (No More Love On The Run)	Billy Ocean
Dynamite	Jermaine Jackson
Torture	The Jacksons
Stuck On You	Lionel Richie
Ghostbusters	Ray Parker Jr.
The Lucky One	Laura Branigan
We're Not Gonna Take It	Twisted Sister
I'm So Excited	The Pointer Sisters
There Goes My Baby	Donna Summer
On The Dark Side	John Cafferty & The Beaver Brown Band
Go Insane	Lindsey Buckingham
Are We Ourselves?	The Fixx
Some Guys Have All The Luck	Rod Stewart
Lights Out	Peter Wolf
Bop 'til You Drop	Rick Springfield
Swept Away	Diana Ross
Sunglasses At Night	Corey Hart
Who Wears These Shoes?	Elton John
Flesh For Fantasy	Billy Idol
Blue Jean	David Bowie
Desert Moon	Dennis DeYoung
Rock Me Tonite	Billy Squier
Strut	Sheena Easton
I Feel For You	Chaka Khan
(what) In The Name Of Love	Naked Eyes
Shine Shine	Barry Gibb
Wake Me Up Before You Go-Go	Wham!
Better Be Good To Me	Tina Turner
The Last Time I Made Love	Joyce Kennedy & Jeffrey Osborne
What About Me?	Kenny Rogers With Kim Carnes & James Ingram
You Take Me Up	Thompson Twins
When Doves Cry	Prince
If Ever You're In My Arms Again	Peabo Bryson
Out Of Touch	Daryl Hall John Oates
A Girl In Trouble (Is A Temporary Thing)	Romeo Void
Strung Out	Steve Perry
Only When You Leave	Spandau Ballet
On The Wings Of A Nightingale	The Everly Brothers
All Of You	Julio Iglesias & Diana Ross
I Can't Hold Back	Survivor
Body Rock	Maria Vidal
I Can Dream About You	Dan Hartman
Left In The Dark	Barbra Streisand
Round And Round	Ratt
New Girl Now	Honeymoon Suite
In The Name Of Love	Ralph MacDonald With Bill Withers
Leave A Tender Moment Alone	Billy Joel
Sugar Don't Bite	Sam Harris
Dancing In The Dark	Bruce Springsteen
Sad Songs (say So Much)	Elton John
It Ain't Enough	Corey Hart
Layin' It On The Line	Jefferson Starship
Bouncing Off The Wall	Matthew Wilder
Just The Way You Like It	The S.O.S. Band
Right By Your Side	Eurythmics
Sexy Girl	Glenn Frey
Teacher Teacher	38 Special
What The Big Girls Do	Van Stephenson
17	Rick James
Cool It Now	New Edition
Pretty Mess	Vanity
Girls With Guns	Tommy Shaw
I Can't Drive 55	Sammy Hagar
Midnite Maniac	Krokus
State of Shock	The Jacksons
The More You Live, The More You Love	A Flock Of Seagulls
The Allnighter	Glenn Frey
Jump (for My Love)	The Pointer Sisters
You, Me And He	Mtume
Yes Or No	Go-Go's
Love Kills	Freddie Mercury
Don't Be My Enemy	Wang Chung
The Real End	Rickie Lee Jones
Slow Dancin'	Peabo Bryson
Hold Me	Teddy Pendergrass And Whitney Houston
Turn Around	Neil Diamond
Stranger	Stephen Stills
Panama	Van Halen
Alibis	Sergio Mendes
Two Sides Of Love	Sammy Hagar
High Energy	Evelyn Thomas
Straight From The Heart (Into Your Life)	Coyote Sisters
Self Control	Laura Branigan
Borderline	Madonna
Eyes Without A Face	Billy Idol
Breakin'...there's No Stopping Us	Ollie And Jerry
