Like A Virgin	Madonna
I Want To Know What Love Is	Foreigner
You're The Inspiration	Chicago
Easy Lover	Philip Bailey With Phil Collins
Careless Whisper	Wham! Featuring George Michael
All I Need	Jack Wagner
Run To You	Bryan Adams
The Boys Of Summer	Don Henley
Lover Boy	Billy Ocean
I Would Die 4 U	Prince And The Revolution
Born In The USA	Bruce Springsteen
Method Of Modern Love	Daryl Hall John Oates
Neutron Dance	The Pointer Sisters
Jamie	Ray Parker Jr.
The Wild Boys	Duran Duran
We Belong	Pat Benatar
Do They Know It's Christmas?	Band-Aid
Cool It Now	New Edition
Do What You Do	Jermaine Jackson
Love Light In Flight	Stevie Wonder
Solid	Ashford & Simpson
Call To The Heart	Giuffria
Operator	Midnight Star
Sea Of Love	The Honeydrippers
Foolish Heart	Steve Perry
Jungle Love	The Time
Misled	Kool & The Gang
Valotte	Julian Lennon
The Heat Is On	Glenn Frey
The Old Man Down The Road	John Fogerty
Sugar Walls	Sheena Easton
Money Changes Everything	Cyndi Lauper
California Girls	David Lee Roth
Can't Fight This Feeling	REO Speedwagon
Mr. Telephone Man	New Edition
Mistake No. 3	Culture Club
Tenderness	General Public
In Neon	Elton John
Rockin' At Midnight	The Honeydrippers
Private Dancer	Tina Turner
Understanding	Bob Seger
Do It Again	The Kinks
Only The Young	Journey
Naughty Naughty	John Parr
Relax	Frankie Goes To Hollywood
Missing You	Diana Ross
Tragedy	John Hunter
20/20	George Benson
Ooh Ooh Song	Pat Benatar
Lover Girl	Teena Marie
Out Of Touch	Daryl Hall John Oates
Too Late For Goodbyes	Julian Lennon
I Wanna Hear It From Your Lips	Eric Carmen
Treat Her Like A Lady	The Temptations
I Feel For You	Chaka Khan
Tender Years	John Cafferty & The Beaver Brown Band
Keeping The Faith	Billy Joel
Turn Up The Radio	Autograph
Small Town Boy	Bronski Beat
Lonely School	Tommy Shaw
Knocking At Your Back Door	Deep Purple
Bruce	Rick Springfield
High On You	Survivor
Make No Mistake, He's Mine	Barbra Streisand With Kim Carnes
This Is My Night	Chaka Khan
No More Lonely Nights	Paul McCartney
The Borderlines	Jeffrey Osborne
I Can't Hold Back	Survivor
Wake Me Up Before You Go-Go	Wham!
Hello Again	The Cars
Nightshift	Commodores
Centipede	Rebbie Jackson
Yo Little Brother	Nolan Thomas
Beat Of A Heart	Scandal Featuring Patty Smyth
Go For It	Kim Wilde
Invitation To Dance	Kim Carnes
The Belle Of St. Mark	Sheila E.
All Through The Night	Cyndi Lauper
Why Can't I Have You	The Cars
Penny Lover	Lionel Richie
Playing To Win	Little River Band
Strut	Sheena Easton
(Pride) In The Name Of Love	U2
Gotta Get You Home Tonight	Eugene Wilde
Rain Forest	Paul Hardcastle
Crazy	Kenny Rogers
I Just Called To Say I Love You	Stevie Wonder
Restless Heart	John Waite
Caribbean Queen (No More Love On The Run)	Billy Ocean
Obsession	Animotion
Better Be Good To Me	Tina Turner
Big In Japan	Alphaville
It Ain't Enough	Corey Hart
Stranger In Town	Toto
Eye On You	Billy Squier
Desert Moon	Dennis DeYoung
Walking On A Thin Line	Huey Lewis & The News
Tonight	David Bowie
Two Tribes	Frankie Goes To Hollywood
We Are The Young	Dan Hartman
