Careless Whisper	Wham! Featuring George Michael
Lover Boy	Billy Ocean
Easy Lover	Philip Bailey With Phil Collins
Can't Fight This Feeling	REO Speedwagon
I Want To Know What Love Is	Foreigner
Neutron Dance	The Pointer Sisters
The Heat Is On	Glenn Frey
California Girls	David Lee Roth
Method Of Modern Love	Daryl Hall John Oates
Sugar Walls	Sheena Easton
The Old Man Down The Road	John Fogerty
Mr. Telephone Man	New Edition
Misled	Kool & The Gang
Solid	Ashford & Simpson
The Boys Of Summer	Don Henley
Lover Girl	Teena Marie
Too Late For Goodbyes	Julian Lennon
Private Dancer	Tina Turner
You're The Inspiration	Chicago
Jungle Love	The Time
Relax	Frankie Goes To Hollywood
Foolish Heart	Steve Perry
Only The Young	Journey
Material Girl	Madonna
Rockin' At Midnight	The Honeydrippers
Operator	Midnight Star
Naughty Naughty	John Parr
Like A Virgin	Madonna
Save A Prayer	Duran Duran
High On You	Survivor
Keeping The Faith	Billy Joel
I Would Die 4 U	Prince And The Revolution
Just Another Night	Mick Jagger
One More Night	Phil Collins
Somebody	Bryan Adams
Ooh Ooh Song	Pat Benatar
I Wanna Hear It From Your Lips	Eric Carmen
Tenderness	General Public
Tragedy	John Hunter
Turn Up The Radio	Autograph
Call To The Heart	Giuffria
Take Me With U	Prince And The Revolution Duet With Apollonia
The Borderlines	Jeffrey Osborne
Nightshift	Commodores
Why Can't I Have You	The Cars
This Is Not America	David Bowie/Pat Metheny Group
Obsession	Animotion
I'm On Fire	Bruce Springsteen
Beat Of A Heart	Scandal Featuring Patty Smyth
Rhythm Of The Night	Debarge
Small Town Boy	Bronski Beat
Love Light In Flight	Stevie Wonder
Money Changes Everything	Cyndi Lauper
Missing You	Diana Ross
All I Need	Jack Wagner
The Word Is Out	Jermaine Stewart
Yo Little Brother	Nolan Thomas
Second Nature	Dan Hartman
Restless Heart	John Waite
Along Comes A Woman	Chicago
Lucky	Greg Kihn
Playing To Win	Little River Band
Treat Her Like A Lady	The Temptations
When The Rain Begins To Fall	Jermaine Jackson & Pia Zadora
All She Wants to Do Is Dance	Don Henley
Run To You	Bryan Adams
Radioactive	The Firm
Rain Forest	Paul Hardcastle
Mistake No. 3	Culture Club
Say It Again	Santana
Kiss and Tell	Isley, Jasper, Isley
Jamie	Ray Parker Jr.
Born In The USA	Bruce Springsteen
Let's Talk About Me	The Alan Parsons Project
Holyanna	Toto
Cool It Now	New Edition
Do What You Do	Jermaine Jackson
We Belong	Pat Benatar
This Is My Night	Chaka Khan
Go For It	Kim Wilde
One Night In Bangkok	Murray Head
New Attitude	Patti LaBelle
One Foot Back In Your Door	Roman Holliday
Bongo Bongo	Steve Miller
The Bird	The Time
The Wild Boys	Duran Duran
20/20	George Benson
Do It Again	The Kinks
Sea Of Love	The Honeydrippers
Don't You (Forget About Me)	Simple Minds
Crazy	Kenny Rogers
Look My Way	The Vels
In Neon	Elton John
Gotta Get You Home Tonight	Eugene Wilde
We Close Our Eyes	Go West
I Feel For You	Chaka Khan
Out Of Touch	Daryl Hall John Oates
If I Had A Rocket Launcher	Bruce Cockburn
Invitation To Dance	Kim Carnes
Valotte	Julian Lennon
