One More Night	Phil Collins
We Are The World	USA For Africa
Material Girl	Madonna
Crazy For You	Madonna
Lover Girl	Teena Marie
Can't Fight This Feeling	REO Speedwagon
Nightshift	Commodores
I'm On Fire	Bruce Springsteen
Rhythm Of The Night	Debarge
Too Late For Goodbyes	Julian Lennon
Somebody	Bryan Adams
Just Another Night	Mick Jagger
Missing You	Diana Ross
Obsession	Animotion
High On You	Survivor
Private Dancer	Tina Turner
The Heat Is On	Glenn Frey
Don't You (Forget About Me)	Simple Minds
One Night In Bangkok	Murray Head
All She Wants to Do Is Dance	Don Henley
Along Comes A Woman	Chicago
Keeping The Faith	Billy Joel
Only The Young	Journey
Some Like It Hot	The Power Station
That Was Yesterday	Foreigner
Relax	Frankie Goes To Hollywood
Careless Whisper	Wham! Featuring George Michael
Smooth Operator	Sade
Radioactive	The Firm
Lucky	Greg Kihn
Take Me With U	Prince And The Revolution Duet With Apollonia
Some Things Are Better Left Unsaid	Daryl Hall John Oates
Save A Prayer	Duran Duran
Rock And Roll Girls	John Fogerty
New Attitude	Patti LaBelle
Don't Come Around Here No More	Tom Petty And The Heartbreakers
Forever Man	Eric Clapton
Everything She Wants	Wham!
California Girls	David Lee Roth
Why Can't I Have You	The Cars
Vox Humana	Kenny Loggins
The Bird	The Time
Everybody Wants To Rule The World	Tears For Fears
Suddenly	Billy Ocean
I Want To Know What Love Is	Foreigner
Say It Again	Santana
We Close Our Eyes	Go West
The Word Is Out	Jermaine Stewart
Second Nature	Dan Hartman
Things Can Only Get Better	Howard Jones
This Is Not America	David Bowie/Pat Metheny Group
Axel F	Harold Faltermeyer
Just A Gigolo/I Ain't Got Nobody	David Lee Roth
Change	John Waite
Fresh	Kool & The Gang
One Lonely Night	REO Speedwagon
Baby Come And Get It	The Pointer Sisters
Neutron Dance	The Pointer Sisters
Misled	Kool & The Gang
Celebrate Youth	Rick Springfield
Invisible	Alison Moyet
Lost In Love	New Edition
In My House	Mary Jane Girls
Walking On Sunshine	Katrina And The Waves
'Til My Baby Comes Home	Luther Vandross
Can't Stop	Rick James
Easy Lover	Philip Bailey With Phil Collins
Turn Up The Radio	Autograph
Lonely In Love	Giuffria
The NeverEnding Story	Limahl
Naughty Naughty	John Parr
Sugar Walls	Sheena Easton
Rain Forest	Paul Hardcastle
Smuggler's Blues	Glenn Frey
Be Your Man	Jesse Johnson's Revue
The Old Man Down The Road	John Fogerty
Do You Wanna Get Away	Shannon
Will The Wolf Survive	Los Lobos
Oh Girl	Boy Meets Girl
Swear	Sheena Easton
Lover Boy	Billy Ocean
Solid	Ashford & Simpson
Beat Of A Heart	Scandal Featuring Patty Smyth
Welcome To The Pleasure Dome	Frankie Goes To Hollywood
Go Down Easy	Dan Fogelberg
Let's Talk About Me	The Alan Parsons Project
Walking On The Chinese Wall	Philip Bailey
Back In Stride	Maze Featuring Frankie Beverly
Steady	Jules Shear
Magical	John Parr
Jungle Love	The Time
Method Of Modern Love	Daryl Hall John Oates
Scientific Love	Midnight Star
The Boys Of Summer	Don Henley
When The Rain Begins To Fall	Jermaine Jackson & Pia Zadora
You're The Inspiration	Chicago
Roxanne, Roxanne	UTFO
Forever Young	Alphaville
Small Town Boy	Bronski Beat
Mr. Telephone Man	New Edition
