We Are The World	USA For Africa
Crazy For You	Madonna
Rhythm Of The Night	Debarge
Nightshift	Commodores
Don't You (Forget About Me)	Simple Minds
One Night In Bangkok	Murray Head
Obsession	Animotion
Some Like It Hot	The Power Station
I'm On Fire	Bruce Springsteen
All She Wants to Do Is Dance	Don Henley
One More Night	Phil Collins
Smooth Operator	Sade
Missing You	Diana Ross
Along Comes A Woman	Chicago
That Was Yesterday	Foreigner
Everything She Wants	Wham!
Don't Come Around Here No More	Tom Petty And The Heartbreakers
Everybody Wants To Rule The World	Tears For Fears
Some Things Are Better Left Unsaid	Daryl Hall John Oates
Rock And Roll Girls	John Fogerty
New Attitude	Patti LaBelle
Axel F	Harold Faltermeyer
Material Girl	Madonna
Suddenly	Billy Ocean
Lover Girl	Teena Marie
Forever Man	Eric Clapton
Fresh	Kool & The Gang
Things Can Only Get Better	Howard Jones
Just A Gigolo/I Ain't Got Nobody	David Lee Roth
Vox Humana	Kenny Loggins
In My House	Mary Jane Girls
One Lonely Night	REO Speedwagon
Celebrate Youth	Rick Springfield
Walking On Sunshine	Katrina And The Waves
Heaven	Bryan Adams
Can't Fight This Feeling	REO Speedwagon
Somebody	Bryan Adams
'Til My Baby Comes Home	Luther Vandross
Lost In Love	New Edition
Say You're Wrong	Julian Lennon
We Close Our Eyes	Go West
Smuggler's Blues	Glenn Frey
Invisible	Alison Moyet
Baby Come And Get It	The Pointer Sisters
The NeverEnding Story	Limahl
Radioactive	The Firm
The Bird	The Time
Angel	Madonna
High On You	Survivor
Can't Stop	Rick James
Welcome To The Pleasure Dome	Frankie Goes To Hollywood
Walking On The Chinese Wall	Philip Bailey
Show Some Respect	Tina Turner
The Search Is Over	Survivor
Oh Girl	Boy Meets Girl
Do You Wanna Get Away	Shannon
Lonely In Love	Giuffria
Just Another Night	Mick Jagger
Too Late For Goodbyes	Julian Lennon
The Heat Is On	Glenn Frey
Voices Carry	'Til Tuesday
Would I Lie To You?	Eurythmics
Be Your Man	Jesse Johnson's Revue
Private Dancer	Tina Turner
Lucky In Love	Mick Jagger
Steady	Jules Shear
Keeping The Faith	Billy Joel
Careless Whisper	Wham! Featuring George Michael
Relax	Frankie Goes To Hollywood
Only The Young	Journey
Basketball	Kurtis Blow
Talk To Me	Fiona
Magical	John Parr
The Word Is Out	Jermaine Stewart
Say It Again	Santana
Lucky	Greg Kihn
Why Can't I Have You	The Cars
Take Me With U	Prince And The Revolution Duet With Apollonia
Save A Prayer	Duran Duran
Only Lonely	Bon Jovi
OO-EE-Diddley-Bop	Peter Wolf
Change	John Waite
Jammin'	Teena Marie
Through the Fire	Chaka Khan
I Was Born To Love You	Freddie Mercury
Mathematics	Melissa Manchester
I'm Through With Love	Eric Carmen
Neutron Dance	The Pointer Sisters
I Want To Know What Love Is	Foreigner
Days Are Numbers (The Traveller)	The Alan Parsons Project
High School Nights	Dave Edmunds
Rain Forest	Paul Hardcastle
Misled	Kool & The Gang
California Girls	David Lee Roth
Beat Of A Heart	Scandal Featuring Patty Smyth
Swear	Sheena Easton
Easy Lover	Philip Bailey With Phil Collins
Naughty Naughty	John Parr
Turn Up The Radio	Autograph
Second Nature	Dan Hartman
