Sussudio	Phil Collins
A View To A Kill	Duran Duran
Raspberry Beret	Prince And The Revolution
Heaven	Bryan Adams
The Search Is Over	Survivor
Would I Lie To You?	Eurythmics
You Give Good Love	Whitney Houston
Everytime You Go Away	Paul Young
Voices Carry	'Til Tuesday
Angel	Madonna
Glory Days	Bruce Springsteen
The Goonies `R' Good Enough	Cyndi Lauper
If You Love Somebody Set Them Free	Sting
Everybody Wants To Rule The World	Tears For Fears
Sentimental Street	Night Ranger
Things Can Only Get Better	Howard Jones
Crazy In The Night (Barking At Airplanes)	Kim Carnes
Smuggler's Blues	Glenn Frey
Walking On Sunshine	Katrina And The Waves
In My House	Mary Jane Girls
19	Paul Hardcastle
Tough All Over	John Cafferty & The Beaver Brown Band
Shout	Tears For Fears
Just As I Am	Air Supply
Get It On (Bang A Gong)	The Power Station
Getcha Back	The Beach Boys
People Are People	Depeche Mode
Cannonball	Supertramp
Never Surrender	Corey Hart
Possession Obsession	Daryl Hall John Oates
Who's Holding Donna Now	Debarge
You Spin Me Round (Like A Record)	Dead Or Alive
What About Love?	Heart
Freeway Of Love	Aretha Franklin
The Power Of Love	Huey Lewis & The News
Little By Little	Robert Plant
Suddenly	Billy Ocean
Find A Way	Amy Grant
Everything She Wants	Wham!
Not Enough Love In The World	Don Henley
Axel F	Harold Faltermeyer
Rock Me Tonight	Freddie Jackson
Fresh	Kool & The Gang
Centerfield	John Fogerty
State Of the Heart	Rick Springfield
Summer Of '69	Bryan Adams
Black Cars	Gino Vannelli
Forever	Kenny Loggins
Let Him Go	Animotion
Like A Surgeon	"Weird Al" Yankovic
Everything I Need	Men At Work
We Don't Need Another Hero (Thunderdome)	Tina Turner
St. Elmo's Fire (Man In Motion)	John Parr
Make It Better (Forget About Me)	Tom Petty And The Heartbreakers
The NeverEnding Story	Limahl
People Get Ready	Jeff Beck & Rod Stewart
Reaction To Action	Foreigner
Call Me	Go West
I Wonder If I Take You Home	Lisa Lisa And Clult Jam With Full Force
Your Love Is King	Sade
Invincible (Theme From The Legend Of Billie Jean)	Pat Benatar
Stir It Up	Patti LaBelle
Wake Up (Next To You)	Graham Parker & The Shot
Willie & The Hand Jive	George Thorogood & The Destroyers
Animal Instinct	Commodores
Mystery Lady	Billy Ocean
All You Zombies	Hooters
When Your Heart Is Weak	Cock Robin
Don't You (Forget About Me)	Simple Minds
Cherish	Kool & The Gang
Through the Fire	Chaka Khan
Life In One Day	Howard Jones
(Closest Thing To) Perfect	Jermaine Jackson
Tired Of Being Blonde	Carly Simon
Burning Flame	Vitamin Z
Crazy For You	Madonna
Frankie	Sister Sledge
Just A Gigolo/I Ain't Got Nobody	David Lee Roth
Meeting In The Ladies Room	Klymaxx
Smooth Operator	Sade
We Are The World	USA For Africa
Hold Me	Menudo
One Lonely Night	REO Speedwagon
My Toot Toot	Jean Knight
Take No Prisoners (In The Game Of Love)	Peabo Bryson
Lay It Down	Ratt
One Night In Bangkok	Murray Head
Bit By Bit (Theme From Fletch)	Stephanie Mills
See What Love Can Do	Eric Clapton
Say You're Wrong	Julian Lennon
Rhythm Of The Night	Debarge
Alone Again	Dokken
Go For Soda	Kim Mitchell
Dangerous	Natalie Cole
The Lady Of My Heart	Jack Wagner
Do You Wanna Get Away	Shannon
Obsession	Animotion
Some Like It Hot	The Power Station
Lucky In Love	Mick Jagger
New Attitude	Patti LaBelle
