Oh Sheila	Ready For The World
Money For Nothing	Dire Straits
Take On Me	a-ha
Saving All My Love For You	Whitney Houston
Part-Time Lover	Stevie Wonder
Lonely Ol' Night	John Mellencamp
Dancing In The Street	David Bowie & Mick Jagger
Cherish	Kool & The Gang
Miami Vice Theme	Jan Hammer
Dress You Up	Madonna
Fortress Around Your Heart	Sting
I'm Goin' Down	Bruce Springsteen
Head Over Heels	Tears For Fears
Freedom	Wham!
Lovin' Every Minute Of It	Loverboy
Don't Lose My Number	Phil Collins
Cry	Godley & Creme
I'm Gonna Tear Your Playhouse Down	Paul Young
Four In The Morning (I Can't Take Anymore)	Night Ranger
The Way You Do The Things You Do/My Girl	Daryl Hall John Oates
One Night Love Affair	Bryan Adams
C-I-T-Y	John Cafferty & The Beaver Brown Band
Be Near Me	ABC
You Belong To The City	Glenn Frey
We Built This City	Starship
Sunset Grill	Don Henley
St. Elmo's Fire (Man In Motion)	John Parr
And We Danced	Hooters
You Are My Lady	Freddie Jackson
Lay Your Hands On Me	Thompson Twins
Dare Me	The Pointer Sisters
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
Never	Heart
Communication	The Power Station
Who's Zoomin' Who	Aretha Franklin
Boy In The Box	Corey Hart
Separate Lives	Phil Collins and Marilyn Martin
The Power Of Love	Huey Lewis & The News
So In Love	Orchestral Manoeuvres In The Dark
One Of The Living	Tina Turner
Broken Wings	Mr. Mister
Pop Life	Prince And The Revolution
We Don't Need Another Hero (Thunderdome)	Tina Turner
Tonight It's You	Cheap Trick
Weird Science	Oingo Boingo
You Wear It Well	El DeBarge With DeBarge
Every Step Of The Way	John Waite
Born In East L.A.	Cheech & Chong
I Miss You	Klymaxx
Perfect Way	Scritti Politti
All Of Me For All Of You	9.9
Girls Are More Fun	Ray Parker Jr.
The Night Is Still Young	Billy Joel
Soul Kiss	Olivia Newton-John
Invincible (Theme From The Legend Of Billie Jean)	Pat Benatar
Like To Get To Know You Well	Howard Jones
Stand By Me	Maurice White
After The Fire	Roger Daltrey
I Got You Babe	UB40
Freeway Of Love	Aretha Franklin
Object Of My Desire	Starpoint
You're Only Human (Second Wind)	Billy Joel
Running Up That Hill	Kate Bush
Screams Of Passion	The Family
All Fall Down	Five Star
I'll Be Good	Rene & Angela
Smokin' In The Boys Room	Motley Crue
Summer Of '69	Bryan Adams
And She Was	Talking Heads
The Oak Tree	Morris Day
Hard Times For Lovers	Jennifer Holliday
Party All The Time	Eddie Murphy
I Wonder If I Take You Home	Lisa Lisa And Clult Jam With Full Force
Shout	Tears For Fears
Lover Come Back To Me	Dead Or Alive
Hurts To Be In Love	Gino Vannelli
Eaten Alive	Diana Ross
Eye To Eye	Go West
Blue Kiss	Jane Wiedlin
There Must Be An Angel	Eurythmics
Never Surrender	Corey Hart
Kayleigh	Marillion
Remo's Theme (What If)	Tommy Shaw
To Live And Die In L.A.	Wang Chung
Que Te Quiero	Katrina And The Waves
Life In One Day	Howard Jones
Everybody Dance	Ta Mara & The Seen
I'll Be There	Kenny Loggins
You're In Love	Ratt
What About Love?	Heart
Shame	The Motels
First Night	Survivor
Mystery Lady	Billy Ocean
You Look Marvelous	Billy Crystal
No Lookin' Back	Michael McDonald
Everytime You Go Away	Paul Young
Janet	Commodores
Forever	Kenny Loggins
A Little Bit of Heaven	Natalie Cole
Wise Up	Amy Grant
