Part-Time Lover	Stevie Wonder
Miami Vice Theme	Jan Hammer
Saving All My Love For You	Whitney Houston
Head Over Heels	Tears For Fears
Take On Me	a-ha
You Belong To The City	Glenn Frey
We Built This City	Starship
Fortress Around Your Heart	Sting
Lovin' Every Minute Of It	Loverboy
Be Near Me	ABC
Oh Sheila	Ready For The World
Lonely Ol' Night	John Mellencamp
I'm Gonna Tear Your Playhouse Down	Paul Young
One Night Love Affair	Bryan Adams
Separate Lives	Phil Collins and Marilyn Martin
You Are My Lady	Freddie Jackson
Never	Heart
Lay Your Hands On Me	Thompson Twins
I'm Goin' Down	Bruce Springsteen
Broken Wings	Mr. Mister
Who's Zoomin' Who	Aretha Franklin
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
And We Danced	Hooters
Money For Nothing	Dire Straits
Sunset Grill	Don Henley
Boy In The Box	Corey Hart
One Of The Living	Tina Turner
So In Love	Orchestral Manoeuvres In The Dark
Dancing In The Street	David Bowie & Mick Jagger
Soul Kiss	Olivia Newton-John
Perfect Way	Scritti Politti
Sleeping Bag	ZZ Top
Alive & Kicking	Simple Minds
The Night Is Still Young	Billy Joel
Election Day	Arcadia
I Miss You	Klymaxx
Girls Are More Fun	Ray Parker Jr.
Cherish	Kool & The Gang
Sisters Are Doin' It For Themselves	Eurythmics & Aretha Franklin
Wrap Her Up	Elton John
Dress You Up	Madonna
Running Up That Hill	Kate Bush
Party All The Time	Eddie Murphy
Four In The Morning (I Can't Take Anymore)	Night Ranger
Object Of My Desire	Starpoint
America	Prince And The Revolution
I'll Be Good	Rene & Angela
After The Fire	Roger Daltrey
Like To Get To Know You Well	Howard Jones
Stand By Me	Maurice White
Small Town	John Mellencamp
Do It For Love	Sheena Easton
Born In East L.A.	Cheech & Chong
And She Was	Talking Heads
To Live And Die In L.A.	Wang Chung
Emergency	Kool & The Gang
The Way You Do The Things You Do/My Girl	Daryl Hall John Oates
You're A Friend Of Mine	Clarence Clemons & Jackson Browne
Tonight She Comes	The Cars
Freedom	Wham!
Walk Of Life	Dire Straits
Hurts To Be In Love	Gino Vannelli
Don't Lose My Number	Phil Collins
Burning Heart	Survivor
Tears Are Falling	KISS
The Oak Tree	Morris Day
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Everybody Dance	Ta Mara & The Seen
Communication	The Power Station
Charm The Snake	Christopher Cross
Que Te Quiero	Katrina And The Waves
Cry	Godley & Creme
Conga	Miami Sound Machine
Sun City	Artists United Against Apartheid
C-I-T-Y	John Cafferty & The Beaver Brown Band
All Of Me For All Of You	9.9
Too Young	Jack Wagner
Freedom	The Pointer Sisters
Kayleigh	Marillion
All Fall Down	Five Star
Eye To Eye	Go West
Hold Me	Laura Branigan
Talk To Me	Quarterflash
Shock	The Motels
Welcome To Paradise	John Waite
Tonight It's You	Cheap Trick
St. Elmo's Fire (Man In Motion)	John Parr
Count Me Out	New Edition
Weird Science	Oingo Boingo
You Wear It Well	El DeBarge With DeBarge
Home Sweet Home	Motley Crue
Remo's Theme (What If)	Tommy Shaw
Screams Of Passion	The Family
The Power Of Love	Huey Lewis & The News
Blue Kiss	Jane Wiedlin
Dare Me	The Pointer Sisters
Eaten Alive	Diana Ross
Hard Times For Lovers	Jennifer Holliday
We Don't Need Another Hero (Thunderdome)	Tina Turner
Lover Come Back To Me	Dead Or Alive
