Say You, Say Me	Lionel Richie
Party All The Time	Eddie Murphy
That's What Friends Are For	Dionne & Friends
Alive & Kicking	Simple Minds
I Miss You	Klymaxx
Small Town	John Mellencamp
Tonight She Comes	The Cars
Talk To Me	Stevie Nicks
Broken Wings	Mr. Mister
Walk Of Life	Dire Straits
Separate Lives	Phil Collins and Marilyn Martin
Burning Heart	Survivor
My Hometown	Bruce Springsteen
I'm Your Man	Wham!
Election Day	Arcadia
It's Only Love	Bryan Adams/Tina Turner
Love Is The Seventh Wave	Sting
Go Home	Stevie Wonder
Spies Like Us	Paul McCartney
Conga	Miami Sound Machine
Sleeping Bag	ZZ Top
You're A Friend Of Mine	Clarence Clemons & Jackson Browne
Perfect Way	Scritti Politti
Emergency	Kool & The Gang
Goodbye	Night Ranger
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Everybody Dance	Ta Mara & The Seen
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
Sex As A Weapon	Pat Benatar
Face The Face	Pete Townshend
How Will I Know	Whitney Houston
Object Of My Desire	Starpoint
The Sweetest Taboo	Sade
A Love Bizarre	Sheila E.
Everything In My Heart	Corey Hart
Living In America	James Brown
The Sun Always Shines on T.V.	a-ha
Life In A Northern Town	The Dream Academy
Kyrie	Mr. Mister
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Never	Heart
We Built This City	Starship
Wrap Her Up	Elton John
Silent Running (On Dangerous Ground)	Mike + The Mechanics
The Big Money	Rush
Who's Zoomin' Who	Aretha Franklin
Lay Your Hands On Me	Thompson Twins
Go	Asia
You Belong To The City	Glenn Frey
Digital Display	Ready For The World
Sun City	Artists United Against Apartheid
Somewhere	Barbra Streisand
Leader Of The Pack	Twisted Sister
Sara	Starship
He'll Never Love You (Like I Do)	Freddie Jackson
Everything Must Change	Paul Young
To Live And Die In L.A.	Wang Chung
Do It For Love	Sheena Easton
Day By Day	Hooters
Sisters Are Doin' It For Themselves	Eurythmics & Aretha Franklin
One Vision	Queen
Count Me Out	New Edition
Too Young	Jack Wagner
Caravan Of Love	Isley, Jasper, Isley
Own The Night	Chaka Khan
Secret Lovers	Atlantic Starr
Miami Vice Theme	Jan Hammer
Part-Time Lover	Stevie Wonder
You Are My Lady	Freddie Jackson
Beat's So Lonely	Charlie Sexton
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Secret	Orchestral Manoeuvres In The Dark
Head Over Heels	Tears For Fears
Everyday	James Taylor
The Heart Is Not So Smart	El DeBarge With DeBarge
Don't Say No Tonight	Eugene Wilde
I Knew The Bride (When She Use To Rock And Roll)	Nick Lowe And His Cowboy Outfit
Let's Go All The Way	Sly Fox
Morning Desire	Kenny Rogers
Stacy	Fortune
Be Near Me	ABC
Baby Talk	Alisha
One Of The Living	Tina Turner
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
Good Friends	Joni Mitchell
Let Me Down Easy	Roger Daltrey
Your Personal Touch	Evelyn "Champagne" King
Strength	The Alarm
Small Town Girl	John Cafferty & The Beaver Brown Band
Dangerous	Loverboy
Running Up That Hill	Kate Bush
The Super Bowl Shuffle	The Chicago Bears Shufflin' Crew
Saving All My Love For You	Whitney Houston
Tears Are Falling	KISS
And She Was	Talking Heads
Freedom	The Pointer Sisters
Lovin' Every Minute Of It	Loverboy
Soul Kiss	Olivia Newton-John
Take On Me	a-ha
Girls Are More Fun	Ray Parker Jr.
