These Dreams	Heart
Sara	Starship
Secret Lovers	Atlantic Starr
Rock Me Amadeus	Falco
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Kyrie	Mr. Mister
Nikita	Elton John
King For A Day	Thompson Twins
What You Need	INXS
Kiss	Prince And The Revolution
This Could Be The Night	Loverboy
How Will I Know	Whitney Houston
Let's Go All The Way	Sly Fox
Sanctify Yourself	Simple Minds
Manic Monday	The Bangles
Silent Running (On Dangerous Ground)	Mike + The Mechanics
Beat's So Lonely	Charlie Sexton
Addicted To Love	Robert Palmer
Tender Love	Force M.D.'s
(How To Be A) Millionaire	ABC
The Sweetest Taboo	Sade
Another Night	Aretha Franklin
No Easy Way Out	Robert Tepper
Calling America	Electric Light Orchestra
I Can't Wait	Stevie Nicks
Living In America	James Brown
Life In A Northern Town	The Dream Academy
Night Moves	Marilyn Martin
When The Going Gets Tough, The Tough Get Going	Billy Ocean
West End Girls	Pet Shop Boys
Harlem Shuffle	The Rolling Stones
I'm Not The One	The Cars
I Think It's Love	Jermaine Jackson
So Far Away	Dire Straits
Live Is Life	Opus
Stages	ZZ Top
Your Love	The Outfield
Russians	Sting
What Have You Done For Me Lately	Janet Jackson
Overjoyed	Stevie Wonder
Day By Day	Hooters
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Why Can't This Be Love	Van Halen
A Love Bizarre	Sheila E.
For America	Jackson Browne
Saturday Love	Cherrelle With Alexander O'Neal
Take Me Home	Phil Collins
American Storm	Bob Seger
Bad Boy	Miami Sound Machine
Bop	Dan Seals
Do Me Baby	Meli'sa Morgan
Something About You	Level 42
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
A Little Bit Of Love (Is All It Takes)	New Edition
That's What Friends Are For	Dionne & Friends
Goodbye Is Forever	Arcadia
If You Leave	Orchestral Manoeuvres In The Dark
Conga	Miami Sound Machine
The Power Of Love	Jennifer Rush
I Can't Wait	Nu Shooz
All The Kings Horses	The Firm
Great Gosh A'mighty (Down & Out In Bev. Hills Theme)	Little Richard
Le Bel Age (The Best Years)	Pat Benatar
Burning Heart	Survivor
Needles And Pins	Tom Petty & The Heartbreakers With Stevie Nicks
I Like You	Phyllis Nelson
I'd Do It All Again	Sam Harris
Let Me Be The One	Five Star
I'm Your Man	Wham!
Digital Display	Ready For The World
Feel It Again	Honeymoon Suite
Stick Around	Julian Lennon
Whisper In The Dark	Dionne Warwick
All I Need Is A Miracle	Mike + The Mechanics
I Miss You	Klymaxx
Heart's On Fire	John Cafferty
In My Dreams	Dokken
I Engineer	Animotion
Call Me	Dennis DeYoung
Say You, Say Me	Lionel Richie
The Men All Pause	Klymaxx
Where Are You Now?	Jimmy Harnen With Synch
Twist My Arm	The Pointer Sisters
Right Between The Eyes	Wax
Restless	Starpoint
A Good Heart	Feargal Sharkey
Baby Talk	Alisha
On My Own	Patti LaBelle & Michael McDonald
Your Smile	Rene & Angela
I Found Someone	Laura Branigan
Shelter Me	Joe Cocker
Now And Forever (You And Me)	Anne Murray
Lying	Peter Frampton
Working Class Man	Jimmy Barnes
Shot in the Dark	Ozzy Osbourne
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Walk Of Life	Dire Straits
He'll Never Love You (Like I Do)	Freddie Jackson
It's All Right (Baby's Coming Back)	Eurythmics
The Sun Always Shines on T.V.	a-ha
