Rock Me Amadeus	Falco
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Kiss	Prince And The Revolution
Secret Lovers	Atlantic Starr
These Dreams	Heart
What You Need	INXS
Manic Monday	The Bangles
Let's Go All The Way	Sly Fox
Addicted To Love	Robert Palmer
Nikita	Elton John
Tender Love	Force M.D.'s
West End Girls	Pet Shop Boys
This Could Be The Night	Loverboy
Harlem Shuffle	The Rolling Stones
Sara	Starship
Why Can't This Be Love	Van Halen
Beat's So Lonely	Charlie Sexton
Calling America	Electric Light Orchestra
I Can't Wait	Stevie Nicks
King For A Day	Thompson Twins
What Have You Done For Me Lately	Janet Jackson
Sanctify Yourself	Simple Minds
Your Love	The Outfield
I Think It's Love	Jermaine Jackson
Kyrie	Mr. Mister
How Will I Know	Whitney Houston
So Far Away	Dire Straits
No Easy Way Out	Robert Tepper
American Storm	Bob Seger
Overjoyed	Stevie Wonder
Take Me Home	Phil Collins
Live Is Life	Opus
Bad Boy	Miami Sound Machine
Saturday Love	Cherrelle With Alexander O'Neal
If You Leave	Orchestral Manoeuvres In The Dark
For America	Jackson Browne
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
Something About You	Level 42
I Can't Wait	Nu Shooz
Greatest Love Of All	Whitney Houston
A Little Bit Of Love (Is All It Takes)	New Edition
(How To Be A) Millionaire	ABC
Silent Running (On Dangerous Ground)	Mike + The Mechanics
Great Gosh A'mighty (Down & Out In Bev. Hills Theme)	Little Richard
All I Need Is A Miracle	Mike + The Mechanics
Night Moves	Marilyn Martin
I'm Not The One	The Cars
Another Night	Aretha Franklin
Is It Love	Mr. Mister
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Rough Boy	ZZ Top
The Sweetest Taboo	Sade
Stick Around	Julian Lennon
Bop	Dan Seals
Never As Good As The First Time	Sade
Feel It Again	Honeymoon Suite
The Power Of Love	Jennifer Rush
Life In A Northern Town	The Dream Academy
Living In America	James Brown
On My Own	Patti LaBelle & Michael McDonald
Do Me Baby	Meli'sa Morgan
Restless	Starpoint
Right Between The Eyes	Wax
A Love Bizarre	Sheila E.
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Day By Day	Hooters
Call Me	Dennis DeYoung
Move Away	Culture Club
I Like You	Phyllis Nelson
That's What Friends Are For	Dionne & Friends
Tomorrow Doesn't Matter Tonight	Starship
Conga	Miami Sound Machine
Your Smile	Rene & Angela
A Good Heart	Feargal Sharkey
Stages	ZZ Top
Whisper In The Dark	Dionne Warwick
I Engineer	Animotion
Where Do The Children Go	Hooters
Absolute Beginners	David Bowie
Russians	Sting
Where Are You Now?	Jimmy Harnen With Synch
All The Things She Said	Simple Minds
Working Class Man	Jimmy Barnes
Shot in the Dark	Ozzy Osbourne
Let Me Be The One	Five Star
All The Kings Horses	The Firm
Is That It?	Katrina And The Waves
Holding Back The Years	Simply Red
Johnny Come Home	Fine Young Cannibals
I Wanna Be A Cowboy	Boys Don't Cry
Le Bel Age (The Best Years)	Pat Benatar
Love And Rock And Roll	Greg Kihn
Digital Display	Ready For The World
Goodbye Is Forever	Arcadia
Now And Forever (You And Me)	Anne Murray
Baby Talk	Alisha
The Men All Pause	Klymaxx
I Found Someone	Laura Branigan
Heart's On Fire	John Cafferty
In My Dreams	Dokken
