Greatest Love Of All	Whitney Houston
West End Girls	Pet Shop Boys
Why Can't This Be Love	Van Halen
What Have You Done For Me Lately	Janet Jackson
Live To Tell	Madonna
Your Love	The Outfield
Take Me Home	Phil Collins
Bad Boy	Miami Sound Machine
If You Leave	Orchestral Manoeuvres In The Dark
Addicted To Love	Robert Palmer
On My Own	Patti LaBelle & Michael McDonald
I Can't Wait	Nu Shooz
Something About You	Level 42
All I Need Is A Miracle	Mike + The Mechanics
Is It Love	Mr. Mister
Be Good To Yourself	Journey
Kiss	Prince And The Revolution
Move Away	Culture Club
Harlem Shuffle	The Rolling Stones
Never As Good As The First Time	Sade
Crush On You	The Jets
Rough Boy	ZZ Top
There'll Be Sad Songs (To Make You Cry)	Billy Ocean
American Storm	Bob Seger
Nothin' At All	Heart
A Different Corner	George Michael
No One Is To Blame	Howard Jones
Tomorrow Doesn't Matter Tonight	Starship
Manic Monday	The Bangles
Mothers Talk	Tears For Fears
All The Things She Said	Simple Minds
Holding Back The Years	Simply Red
I Wanna Be A Cowboy	Boys Don't Cry
Stick Around	Julian Lennon
Let's Go All The Way	Sly Fox
Rock Me Amadeus	Falco
Rain On The Scarecrow	John Mellencamp
Vienna Calling	Falco
What You Need	INXS
Who's Johnny ("Short Circuit" Theme)	El DeBarge
Where Do The Children Go	Hooters
Feel It Again	Honeymoon Suite
Right Between The Eyes	Wax
Tuff Enuff	The Fabulous Thunderbirds
Pretty In Pink	Psychedelic Furs
Like No Other Night	Thirty Eight Special
Tender Love	Force M.D.'s
The Love Parade	The Dream Academy
Your Wildest Dreams	The Moody Blues
I Think It's Love	Jermaine Jackson
Saturday Love	Cherrelle With Alexander O'Neal
Secret Lovers	Atlantic Starr
When The Heart Rules The Mind	GTR
Out Of Mind Out Of Sight	Models
Restless	Starpoint
Under The Influence	Vanity
So Far Away	Dire Straits
If Your Heart Isn't In It	Atlantic Starr
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
Danger Zone	Kenny Loggins
The Heat Of Heat	Patti Austin
Mutual Surrender (What A Wonderful World)	Bourgeois Tagg
If She Knew What She Wants	The Bangles
Digging Your Scene	The Blow Monkeys
Hands Across America	Voices Of America
Absolute Beginners	David Bowie
Chain Reaction	Diana Ross
Lead A Double Life	Loverboy
I Must Be Dreaming	Giuffria
Call Me	Dennis DeYoung
One Hit (To The Body)	The Rolling Stones
Say It, Say It	E.G. Daily
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Nasty	Janet Jackson
Don Quichotte	Magazine 60
Sledgehammer	Peter Gabriel
These Dreams	Heart
Listen Like Thieves	INXS
Living On Video	Trans-X
Has Anyone Ever Written Anything For You	Stevie Nicks
Is That It?	Katrina And The Waves
The Finest	The S.O.S. Band
A Little Bit Of Love (Is All It Takes)	New Edition
Innocent Eyes	Graham Nash
Don't Walk Away	Robert Tepper
Mad About You	Belinda Carlisle
I Want You	Animotion
Peter Gunn	The Art Of Noise Featuring Duane Eddy
Fire With Fire	Wild Blue
We Don't Have To Take Our Clothes Off	Jermaine Stewart
This Could Be The Night	Loverboy
Vanity Kills	ABC
Night Moves	Marilyn Martin
I Can't Wait	Stevie Nicks
Where Are You Now?	Jimmy Harnen With Synch
If You Were A Woman (And I Was A Man)	Bonnie Tyler
Shot in the Dark	Ozzy Osbourne
For America	Jackson Browne
Nikita	Elton John
Overjoyed	Stevie Wonder
