Sledgehammer	Peter Gabriel
Danger Zone	Kenny Loggins
Invisible Touch	Genesis
Nasty	Janet Jackson
Glory Of Love (Theme From "The Karate Kid Part II")	Peter Cetera
Papa Don't Preach	Madonna
Love Touch (Theme From "Legal Eagles")	Rod Stewart
Mad About You	Belinda Carlisle
Holding Back The Years	Simply Red
Modern Woman (From "Ruthless People")	Billy Joel
Opportunities (Let's Make Lots Of Money)	Pet Shop Boys
We Don't Have To Take Our Clothes Off	Jermaine Stewart
Your Wildest Dreams	The Moody Blues
Who's Johnny ("Short Circuit" Theme)	El DeBarge
Digging Your Scene	The Blow Monkeys
There'll Be Sad Songs (To Make You Cry)	Billy Ocean
When The Heart Rules The Mind	GTR
Higher Love	Steve Winwood
Secret Separation	The Fixx
Rumors	Timex Social Club
You Should Be Mine (The Woo Woo Song)	Jeffrey Osborne
The Edge Of Heaven	Wham!
Venus	Bananarama
Sweet Freedom (Theme From "Running Scared")	Michael McDonald
No One Is To Blame	Howard Jones
Take It Easy	Andy Taylor
Suzanne	Journey
Like A Rock	Bob Seger
Tuff Enuff	The Fabulous Thunderbirds
All The Love In The World	The Outfield
One Step Closer To You	Gavin Christopher
Take My Breath Away (Love Theme From "Top Gun")	Berlin
Dancing On The Ceiling	Lionel Richie
Baby Love	Regina
Hyperactive	Robert Palmer
Crush On You	The Jets
Words Get In The Way	Miami Sound Machine
Dreams	Van Halen
On My Own	Patti LaBelle & Michael McDonald
Yankee Rose	David Lee Roth
Friends And Lovers	Carl Anderson & Gloria Loring
Hanging On A Heart Attack	Device
Taken In	Mike + The Mechanics
Like No Other Night	Thirty Eight Special
Rumbleseat	John Mellencamp
That Was Then, This Is Now	The Monkees
Man Size Love (From "Running Scared")	Klymaxx
A Kind Of Magic	Queen
Don't Forget Me (When I'm Gone)	Glass Tiger
The Captain Of Her Heart	Double
With You All The Way	New Edition
Jungle Boy	John Eddie
Walk Like A Man (From "A Fine Mess")	Mary Jane Girls
Mountains	Prince And The Revolution
If She Knew What She Wants	The Bangles
I Wanna Be A Cowboy	Boys Don't Cry
Two Of Hearts	Stacey Q
I Can't Wait	Nu Shooz
Live To Tell	Madonna
A Different Corner	George Michael
Love Of A Lifetime	Chaka Khan
Point Of No Return	Nu Shooz
Touch And Go	Emerson, Lake & Powell
Something About You	Level 42
Love Zone	Billy Ocean
Somebody Like You	Thirty Eight Special
If Looks Could Kill	Heart
Before I Go	Starship
Nothin' At All	Heart
Money$ Too Tight (To Mention)	Simply Red
Do You Remember Me?	Jermaine Jackson
Velcro Fly	ZZ Top
Walk This Way	Run-D.M.C.
Rock'N'roll To The Rescue	The Beach Boys
Voice Of America's Sons	John Cafferty & The Beaver Brown Band
Anotherloverholenyohead	Prince And The Revolution
If Anybody Had A Heart	John Waite
Oh, People	Patti LaBelle
Victory Line	Limited Warranty
The Finest	The S.O.S. Band
Missionary Man	Eurythmics
What Does It Take	Honeymoon Suite
No Promises	Icehouse
Feel The Heat	Jean Beauvoir
You Don't Have To Cry	Rene & Angela
I'm Your Man	Barry Manilow
Greatest Love Of All	Whitney Houston
Peter Gunn	The Art Of Noise Featuring Duane Eddy
All I Need Is A Miracle	Mike + The Mechanics
All Cried Out	Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou
Headlines	Midnight Star
Headed For The Future	Neil Diamond
Every Little Kiss	Bruce Hornsby & The Range
The Best Of Me	David Foster And Olivia Newton-John
Nothing In Common	Thompson Twins
Hot Water	Level 42
One Way Love	TKA
One Hit (To The Body)	The Rolling Stones
Vienna Calling	Falco
Living On Video	Trans-X
