Human	The Human League
Amanda	Boston
True Blue	Madonna
You Give Love A Bad Name	Bon Jovi
Take Me Home Tonight	Eddie Money
Word Up	Cameo
The Next Time I Fall	Peter Cetera With Amy Grant
Hip To Be Square	Huey Lewis & The News
The Way It Is	Bruce Hornsby & The Range
Love Will Conquer All	Lionel Richie
I'll Be Over You	Toto
The Rain	Oran 'Juice' Jones
Everybody Have Fun Tonight	Wang Chung
I Didn't Mean To Turn You On	Robert Palmer
To Be A Lover	Billy Idol
Walk Like An Egyptian	The Bangles
Emotion In Motion	Ric Ocasek
True Colors	Cyndi Lauper
Stand By Me	Ben E. King
Freedom Overspill	Steve Winwood
Notorious	Duran Duran
Don't Get Me Wrong	Pretenders
Shake You Down	Gregory Abbott
(Forever) Live And Die	Orchestral Manoeuvres In The Dark
I Am By Your Side	Corey Hart
What About Love	'Til Tuesday
C'est La Vie	Robbie Nevil
Wild Wild Life	Talking Heads
Sweet Love	Anita Baker
You Know I Love You ... Don't You?	Howard Jones
All Cried Out	Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou
Is This Love	Survivor
Typical Male	Tina Turner
Land Of Confusion	Genesis
Control	Janet Jackson
Love Is Forever	Billy Ocean
Victory	Kool & The Gang
Foolish Pride	Daryl Hall
Welcome To The Boomtown	David & David
The Future's So Bright, I Gotta Wear Shades	Timbuk 3
Jumpin' Jack Flash	Aretha Franklin
Someday	Glass Tiger
You Be Illin'	Run-D.M.C.
When I Think Of You	Janet Jackson
War	Bruce Springsteen
Midas Touch	Midnight Star
All I Wanted	Kansas
Don't Stand So Close To Me '86	The Police
Lady Soul	The Temptations
Goldmine	The Pointer Sisters
Two Of Hearts	Stacey Q
For Tonight	Nancy Martinez
Nail It To The Wall	Stacy Lattisaw
Coming Around Again	Carly Simon
Heartache All Over The World	Elton John
A Matter Of Trust	Billy Joel
Can't Wait Another Minute	Five Star
Somebody's Out There	Triumph
Falling In Love (Uh-Oh)	Miami Sound Machine
Girl Can't Help It	Journey
Tasty Love	Freddie Jackson
Touch Me (I Want Your Body)	Samantha Fox
Don't Forget Me (When I'm Gone)	Glass Tiger
Talk To Me	Chico DeBarge
Crazay	Jesse Johnson (Featuring Sly Stone)
This Is The Time	Billy Joel
Where Did Your Heart Go?	Wham!
Throwing It All Away	Genesis
At This Moment	Billy Vera & The Beaters
Stay The Night	Benjamin Orr
Heartbeat	Don Johnson
Two People	Tina Turner
Will You Still Love Me?	Chicago
Goin' To The Bank	Commodores
Stuck With You	Huey Lewis & The News
Stop To Love	Luther Vandross
Nobody's Fool	Cinderella
In Your Eyes (Theme From "Say Anything")	Peter Gabriel
You Got It All	The Jets
California Dreamin'	The Beach Boys
Friends And Lovers	Carl Anderson & Gloria Loring
When The Rain Comes Down	Andy Taylor
Miami	Bob Seger
Stranglehold	Paul McCartney
Point Of No Return	Nu Shooz
Thorn In My Side	Eurythmics
Some People	Paul Young
Love In Siberia	Laban
Daydream Believer	The Monkees
I'm For Real	Howard Hewett
Words Get In The Way	Miami Sound Machine
Heartache Away	Don Johnson
Earth Angel (From "The Karate Kid Part II")	New Edition
That's Life	David Lee Roth
Like Flames	Berlin
Keep Your Hands To Yourself	The Georgia Satellites
I Want To Make The World Turn Around	The Steve Miller Band
French Kissin	Debbie Harry
Heaven In Your Eyes	Loverboy
Everytime You Cry	The Outfield
