Walk Like An Egyptian	The Bangles
Notorious	Duran Duran
Shake You Down	Gregory Abbott
Everybody Have Fun Tonight	Wang Chung
C'est La Vie	Robbie Nevil
Control	Janet Jackson
The Way It Is	Bruce Hornsby & The Range
War	Bruce Springsteen
At This Moment	Billy Vera & The Beaters
Is This Love	Survivor
Land Of Confusion	Genesis
Stand By Me	Ben E. King
Victory	Kool & The Gang
Don't Get Me Wrong	Pretenders
Open Your Heart	Madonna
Love Is Forever	Billy Ocean
Someday	Glass Tiger
To Be A Lover	Billy Idol
You Know I Love You ... Don't You?	Howard Jones
The Future's So Bright, I Gotta Wear Shades	Timbuk 3
Change Of Heart	Cyndi Lauper
All I Wanted	Kansas
Touch Me (I Want Your Body)	Samantha Fox
Coming Around Again	Carly Simon
The Next Time I Fall	Peter Cetera With Amy Grant
Hip To Be Square	Huey Lewis & The News
Keep Your Hands To Yourself	The Georgia Satellites
Falling In Love (Uh-Oh)	Miami Sound Machine
You Give Love A Bad Name	Bon Jovi
Two People	Tina Turner
We're Ready	Boston
For Tonight	Nancy Martinez
This Is The Time	Billy Joel
Will You Still Love Me?	Chicago
You Be Illin'	Run-D.M.C.
Stop To Love	Luther Vandross
Talk To Me	Chico DeBarge
Love You Down	Ready For The World
Livin' On A Prayer	Bon Jovi
Ballerina Girl	Lionel Richie
You Got It All	The Jets
Nobody's Fool	Cinderella
Stay The Night	Benjamin Orr
Word Up	Cameo
Love Will Conquer All	Lionel Richie
I'll Be Alright Without You	Journey
Big Time	Peter Gabriel
Jimmy Lee	Aretha Franklin
Human	The Human League
I Need Your Loving	The Human League
Goldmine	The Pointer Sisters
Can't Help Falling In Love	Corey Hart
Crazay	Jesse Johnson (Featuring Sly Stone)
Caught Up In The Rapture	Anita Baker
Tasty Love	Freddie Jackson
Heartache Away	Don Johnson
French Kissin	Debbie Harry
Facts Of Love	Jeff Lorber & Karyn White
Brand New Lover	Dead Or Alive
I Wanna Go Back	Eddie Money
Amanda	Boston
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
(You Gotta) Fight For Your Right (To Party!)	Beastie Boys
The Best Man In The World	Ann Wilson
Take Me Home Tonight	Eddie Money
Girlfriend	Bobby Brown
Wild Wild Life	Talking Heads
Without Your Love	Toto
I'm Not Perfect (But I'm Perfect For You)	Grace Jones
I'll Be Over You	Toto
We Connect	Stacey Q
True Blue	Madonna
(Forever) Live And Die	Orchestral Manoeuvres In The Dark
Suburbia	Pet Shop Boys
Candy	Cameo
The Rain	Oran 'Juice' Jones
True To You	Ric Ocasek
Some People	Paul Young
Welcome To The Boomtown	David & David
Goin' To The Bank	Commodores
Graceland	Paul Simon
This Is The World Calling	Bob Geldof
Don't Leave Me This Way	The Communards
I Didn't Mean To Turn You On	Robert Palmer
Someone	El DeBarge
All Cried Out	Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou
(I Know) I'm Losing You	Uptown
A Trick Of The Night	Bananarama
Blame It On The Radio	John Parr
Coming Up Close	'Til Tuesday
Emotion In Motion	Ric Ocasek
If I Say Yes	Five Star
Shelter	Lone Justice
Foolish Pride	Daryl Hall
Dancin' In My Sleep	Secret Ties
Nail It To The Wall	Stacy Lattisaw
Thorn In My Side	Eurythmics
Miami	Bob Seger
Sweet Love	Anita Baker
True Colors	Cyndi Lauper
