Shake You Down	Gregory Abbott
C'est La Vie	Robbie Nevil
Notorious	Duran Duran
Walk Like An Egyptian	The Bangles
At This Moment	Billy Vera & The Beaters
Control	Janet Jackson
Open Your Heart	Madonna
Land Of Confusion	Genesis
Is This Love	Survivor
Everybody Have Fun Tonight	Wang Chung
Victory	Kool & The Gang
Someday	Glass Tiger
Change Of Heart	Cyndi Lauper
War	Bruce Springsteen
The Way It Is	Bruce Hornsby & The Range
Touch Me (I Want Your Body)	Samantha Fox
Love Is Forever	Billy Ocean
Stand By Me	Ben E. King
All I Wanted	Kansas
Keep Your Hands To Yourself	The Georgia Satellites
Coming Around Again	Carly Simon
Livin' On A Prayer	Bon Jovi
We're Ready	Boston
Don't Get Me Wrong	Pretenders
Falling In Love (Uh-Oh)	Miami Sound Machine
Will You Still Love Me?	Chicago
Ballerina Girl	Lionel Richie
This Is The Time	Billy Joel
Love You Down	Ready For The World
Two People	Tina Turner
Stop To Love	Luther Vandross
You Got It All	The Jets
Nobody's Fool	Cinderella
Talk To Me	Chico DeBarge
To Be A Lover	Billy Idol
The Future's So Bright, I Gotta Wear Shades	Timbuk 3
Stay The Night	Benjamin Orr
For Tonight	Nancy Martinez
The Next Time I Fall	Peter Cetera With Amy Grant
Jacob's Ladder	Huey Lewis & The News
You Give Love A Bad Name	Bon Jovi
Big Time	Peter Gabriel
I'll Be Alright Without You	Journey
Jimmy Lee	Aretha Franklin
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
I Wanna Go Back	Eddie Money
Can't Help Falling In Love	Corey Hart
I Need Your Loving	The Human League
You Know I Love You ... Don't You?	Howard Jones
You Be Illin'	Run-D.M.C.
Hip To Be Square	Huey Lewis & The News
(You Gotta) Fight For Your Right (To Party!)	Beastie Boys
Brand New Lover	Dead Or Alive
Caught Up In The Rapture	Anita Baker
Respect Yourself	Bruce Willis
Facts Of Love	Jeff Lorber & Karyn White
Word Up	Cameo
Without Your Love	Toto
Crazay	Jesse Johnson (Featuring Sly Stone)
French Kissin	Debbie Harry
Girlfriend	Bobby Brown
Love Will Conquer All	Lionel Richie
We Connect	Stacey Q
The Best Man In The World	Ann Wilson
Human	The Human League
Tasty Love	Freddie Jackson
Candy	Cameo
Heartache Away	Don Johnson
Mandolin Rain	Bruce Hornsby & The Range
Goldmine	The Pointer Sisters
I'm Not Perfect (But I'm Perfect For You)	Grace Jones
Wild Wild Life	Talking Heads
I'll Be Over You	Toto
Suburbia	Pet Shop Boys
Let's Wait Awhile	Janet Jackson
True To You	Ric Ocasek
Amanda	Boston
Someone	El DeBarge
As We Lay	Shirley Murdock
Take Me Home Tonight	Eddie Money
Don't Leave Me This Way	The Communards
A Trick Of The Night	Bananarama
If I Say Yes	Five Star
Deep River Woman	Lionel Richie
Don't Dream It's Over	Crowded House
Hooked On You	Sweet Sensation
Shelter	Lone Justice
Coming Up Close	'Til Tuesday
(I Know) I'm Losing You	Uptown
True Blue	Madonna
Summertime, Summertime	Nocera
This Is The World Calling	Bob Geldof
Some People	Paul Young
Goin' To The Bank	Commodores
The Rain	Oran 'Juice' Jones
(Forever) Live And Die	Orchestral Manoeuvres In The Dark
All Cried Out	Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou
Blame It On The Radio	John Parr
Graceland	Paul Simon
Welcome To The Boomtown	David & David
