Livin' On A Prayer	Bon Jovi
Keep Your Hands To Yourself	The Georgia Satellites
Will You Still Love Me?	Chicago
Jacob's Ladder	Huey Lewis & The News
Touch Me (I Want Your Body)	Samantha Fox
You Got It All	The Jets
Ballerina Girl	Lionel Richie
Open Your Heart	Madonna
Love You Down	Ready For The World
Change Of Heart	Cyndi Lauper
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
Respect Yourself	Bruce Willis
Big Time	Peter Gabriel
(You Gotta) Fight For Your Right (To Party!)	Beastie Boys
Nobody's Fool	Cinderella
At This Moment	Billy Vera & The Beaters
Stop To Love	Luther Vandross
I'll Be Alright Without You	Journey
Mandolin Rain	Bruce Hornsby & The Range
We're Ready	Boston
Talk To Me	Chico DeBarge
Let's Wait Awhile	Janet Jackson
I Wanna Go Back	Eddie Money
Can't Help Falling In Love	Corey Hart
Brand New Lover	Dead Or Alive
Nothing's Gonna Stop Us Now	Starship
Facts Of Love	Jeff Lorber & Karyn White
Come Go With Me	Expose
C'est La Vie	Robbie Nevil
Someday	Glass Tiger
Candy	Cameo
Land Of Confusion	Genesis
Stay The Night	Benjamin Orr
The Final Countdown	Europe
Let's Go!	Wang Chung
Tonight, Tonight, Tonight	Genesis
Lean On Me	Club Nouveau
Don't Dream It's Over	Crowded House
Shake You Down	Gregory Abbott
We Connect	Stacey Q
Without Your Love	Toto
As We Lay	Shirley Murdock
Don't Need A Gun	Billy Idol
Caught Up In The Rapture	Anita Baker
That Ain't Love	REO Speedwagon
Don't Leave Me This Way	The Communards
Fire	Bruce Springsteen
Midnight Blue	Lou Gramm
Control	Janet Jackson
What You Get Is What You See	Tina Turner
This Is The Time	Billy Joel
Shelter	Lone Justice
Skin Trade	Duran Duran
The Honeythief	Hipsway
Jimmy Lee	Aretha Franklin
Cry Wolf	a-ha
Someone Like You	Daryl Hall
Ain't So Easy	David & David
I Knew You Were Waiting (For Me)	Aretha Franklin & George Michael
Walk Like An Egyptian	The Bangles
Big Mistake	Peter Cetera
Coming Up Close	'Til Tuesday
The Finer Things	Steve Winwood
Hooked On You	Sweet Sensation
Stone Love	Kool & The Gang
Is This Love	Survivor
Victory	Kool & The Gang
Smoking Gun	The Robert Cray Band
My Baby	Pretenders
Dominoes	Robbie Nevil
Walking Down Your Street	The Bangles
Winner Takes It All	Sammy Hagar
Kiss You (When It's Dangerous)	Eight Seconds
Have You Ever Loved Somebody	Freddie Jackson
If I Say Yes	Five Star
Serious	Donna Allen
Deep River Woman	Lionel Richie
Hold Me	Sheila E.
The Lady In Red	Chris de Burgh
(I Know) I'm Losing You	Uptown
Notorious	Duran Duran
All I Wanted	Kansas
How Much Love	Survivor
Summertime, Summertime	Nocera
Stand By Me	Ben E. King
Power	Kansas
Nothing's Gonna Change My Love For You	Glenn Medeiros
I Got The Feelin' (It's Over)	Gregory Abbott
Make It Mean Something	Rob Jungklas
Ship Of Fools (Save Me From Tomorrow)	World Party
Light Of Day	The Barbusters (Joan Jett And The Blackhearts)
Dance	Ratt
All I Know Is The Way I Feel	The Pointer Sisters
All I Want	Howard Jones
Someone	El DeBarge
Showing Out (Get Fresh At The Weekend)	Mel & Kim
For Tonight	Nancy Martinez
Everybody Have Fun Tonight	Wang Chung
You Be Illin'	Run-D.M.C.
Coming Around Again	Carly Simon
