With or Without You	U2
Looking For A New Love	Jody Watley
(I Just) Died In Your Arms	Cutting Crew
La Isla Bonita	Madonna
The Lady In Red	Chris de Burgh
Heat Of The Night	Bryan Adams
Big Love	Fleetwood Mac
You Keep Me Hangin' On	Kim Wilde
Talk Dirty To Me	Poison
Always	Atlantic Starr
Right On Track	The Breakfast Club
I Know What I Like	Huey Lewis & The News
Nothing's Gonna Change My Love For You	Glenn Medeiros
Wanted Dead Or Alive	Bon Jovi
Don't Dream It's Over	Crowded House
What's Going On	Cyndi Lauper
Sign 'O' The Times	Prince
The Finer Things	Steve Winwood
Head To Toe	Lisa Lisa And Cult Jam
Se La	Lionel Richie
If She Would Have Been Faithful. . .	Chicago
I Knew You Were Waiting (For Me)	Aretha Franklin & George Michael
Diamonds	Herb Alpert
In Too Deep	Genesis
Day-In Day-Out	David Bowie
Meet Me Half Way	Kenny Loggins
The Right Thing	Simply Red
Serious	Donna Allen
You Can Call Me Al	Paul Simon
Heartbreak Beat	Psychedelic Furs
Get That Love	Thompson Twins
Stone Love	Kool & The Gang
Just To See Her	Smokey Robinson
Nothing's Gonna Stop Us Now	Starship
Songbird	Kenny G
Fascinated	Company B
Lessons In Love	Level 42
I Wanna Dance With Somebody (Who Loves Me)	Whitney Houston
Don't Disturb This Groove	The System
Come As You Are	Peter Wolf
Midnight Blue	Lou Gramm
Lean On Me	Club Nouveau
Walking Down Your Street	The Bangles
Jammin' Me	Tom Petty And The Heartbreakers
Same Ole Love (365 Days A Year)	Anita Baker
Dominoes	Robbie Nevil
Show Me	The Cover Girls
Sweet Sixteen	Billy Idol
Endless Nights	Eddie Money
I'll Still Be Loving You	Restless Heart
There's Nothing Better Than Love	Luther Vandross with Gregory Hines
Something So Strong	Crowded House
Alone	Heart
I'm No Angel	The Gregg Allman Band
Come Go With Me	Expose
Point Of No Return	Expose
Back And Forth	Cameo
Rock The Night	Europe
We Are What We Are	The Other Ones
Soul City	Partland Brothers
Every Little Kiss	Bruce Hornsby & The Range
Heart And Soul	T'Pau
Why Can't This Night Go On Forever	Journey
Living In A Dream	Pseudo Echo
Boom Boom (Let's Go Back To My Room)	Paul Lekakis
Dirty Water	Rock And Hyde
Somebody Save Me	Cinderella
I'd Still Say Yes	Klymaxx
Should I See	Frozen Ghost
Meet El Presidente	Duran Duran
Variety Tonight	REO Speedwagon
Wild Horses	Gino Vannelli
Let's Wait Awhile	Janet Jackson
Brass Monkey	Beastie Boys
Weatherman Says	Jack Wagner
The Final Countdown	Europe
Ship Of Fools (Save Me From Tomorrow)	World Party
Can'tcha Say (You Believe In Me)/Still In Love	Boston
Ready Or Not	Lou Gramm
Tonight, Tonight, Tonight	Genesis
Break Every Rule	Tina Turner
Let's Go!	Wang Chung
Funkytown	Pseudo Echo
Weapons Of Love	The Truth
Something In My House	Dead Or Alive
Flames Of Paradise	Jennifer Rush (Duet With Elton John)
Kiss Him Goodbye	The Nylons
Only In My Dreams	Debbie Gibson
Black Dog	Newcity Rockers
Man Against The World	Survivor
The Secret Of My Success	Night Ranger
Baby Grand	Billy Joel featuring Ray Charles
Mandolin Rain	Bruce Hornsby & The Range
Right Next Door (Because Of Me)	The Robert Cray Band
Little Suzi	Tesla
Shy Girl	Stacey Q
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
As We Lay	Shirley Murdock
Go See The Doctor	Kool Moe Dee
Winner Takes It All	Sammy Hagar
