Who's That Girl	Madonna
La Bamba	Los Lobos
Luka	Suzanne Vega
Don't Mean Nothing	Richard Marx
I Want Your Sex (From "Beverly Hills Cop II")	George Michael
I Still Haven't Found What I'm Looking For	U2
Only In My Dreams	Debbie Gibson
Rock Steady	The Whispers
Heart And Soul	T'Pau
I Just Can't Stop Loving You	Michael Jackson With Siedah Garrett
It's Not Over ('til It's Over)	Starship
Can't We Try	Dan Hill (Duet With Vonda Shepard)
Love Power	Dionne Warwick & Jeffrey Osborne
Cross My Broken Heart (From "Beverly Hills Cop II")	The Jets
Back In The High Life Again	Steve Winwood
Didn't We Almost Have It All	Whitney Houston
Living In A Box	Living In A Box
When Smokey Sings	ABC
Doing It All For My Baby	Huey Lewis & The News
Here I Go Again	Whitesnake
Rhythm Is Gonna Get You	Gloria Estefan & Miami Sound Machine
Shakedown (From "Beverly Hills Cop II")	Bob Seger
Wipeout	Fat Boys & The Beach Boys
Give To Live	Sammy Hagar
Touch Of Grey	Grateful Dead
I Heard A Rumour (From "Disorderlies")	Bananarama
Seven Wonders	Fleetwood Mac
Mary's Prayer	Danny Wilson
Alone	Heart
Lies	Jonathan Butler
I Need Love	LL Cool J
Since You've Been Gone	The Outfield
Who Found Who	Jellybean Featuring Elisa Fiorillo
The Pleasure Principle	Janet Jackson
Jam Tonight	Freddie Jackson
One Heartbeat	Smokey Robinson
Lost In Emotion	Lisa Lisa And Cult Jam
Carrie	Europe
Wot's It To Ya	Robbie Nevil
Jump Start	Natalie Cole
I Wanna Dance With Somebody (Who Loves Me)	Whitney Houston
I'd Still Say Yes	Klymaxx
U Got The Look	Prince
Making Love In The Rain	Herb Alpert
Paper In Fire	John Mellencamp
Who Will You Run To	Heart
Back To Paradise (From "Revenge Of The Nerds II")	Thirty Eight Special
Shattered Glass	Laura Branigan
Kiss Him Goodbye	The Nylons
Dreamin'	Will To Power
Good Times (From "The Lost Boys")	INXS & Jimmy Barnes
Fake	Alexander O'Neal
Say You Really Want Me	Kim Wilde
Girls, Girls, Girls	Motley Crue
Kiss And Tell	The Breakfast Club
Something So Strong	Crowded House
Never Let Me Down	David Bowie
Let Me Be The One	Expose
Be There (From "Beverly Hills Cop II")	The Pointer Sisters
Point Of No Return	Expose
Why Can't I Be You?	The Cure
In My Dreams	REO Speedwagon
Casanova	Levert
Johnny B	Hooters
Misfit	Curiosity Killed The Cat
Don't Look Down - The Sequel	Go West
Hearts On Fire	Bryan Adams
Show Me The Way	Regina Belle
Don't Disturb This Groove	The System
Songbird	Kenny G
Happy	Surface
Oh Yeah	Yello
Something Real (Inside Me/Inside You)	Mr. Mister
Holiday	The Other Ones
Victim Of Love	Bryan Adams
Strangelove	Depeche Mode
One Lover At A Time	Atlantic Starr
World Where You Live	Crowded House
These Times Are Hard For Lovers	John Waite
Breakout	Swing Out Sister
Jane's Getting Serious	Jon Astley
Silent Morning	Noel
Running In The Family	Level 42
Watching Over You	Glenn Medeiros
Dinner With Gershwin	Donna Summer
Heartache	Pepsi & Shirlie
Funkytown	Pseudo Echo
Head To Toe	Lisa Lisa And Cult Jam
Painted Moon	The Silencers
Why You Treat Me So Bad	Club Nouveau
Notorious	Loverboy
Always	Atlantic Starr
Moonlighting (Theme)	Al Jarreau
Women	Def Leppard
No One In The World	Anita Baker
Rock Me	Great White
Into My Secret	Alisha
Meet Me Half Way	Kenny Loggins
Every Little Kiss	Bruce Hornsby & The Range
Hypnotize Me (From "Innerspace")	Wang Chung
