La Bamba	Los Lobos
Who's That Girl	Madonna
Don't Mean Nothing	Richard Marx
Luka	Suzanne Vega
Only In My Dreams	Debbie Gibson
I Just Can't Stop Loving You	Michael Jackson With Siedah Garrett
Rock Steady	The Whispers
Didn't We Almost Have It All	Whitney Houston
It's Not Over ('til It's Over)	Starship
Can't We Try	Dan Hill (Duet With Vonda Shepard)
I Still Haven't Found What I'm Looking For	U2
Love Power	Dionne Warwick & Jeffrey Osborne
I Want Your Sex (From "Beverly Hills Cop II")	George Michael
Doing It All For My Baby	Huey Lewis & The News
Here I Go Again	Whitesnake
When Smokey Sings	ABC
Living In A Box	Living In A Box
Heart And Soul	T'Pau
Touch Of Grey	Grateful Dead
Wipeout	Fat Boys & The Beach Boys
I Heard A Rumour (From "Disorderlies")	Bananarama
Back In The High Life Again	Steve Winwood
Give To Live	Sammy Hagar
I Need Love	LL Cool J
Who Found Who	Jellybean Featuring Elisa Fiorillo
Mary's Prayer	Danny Wilson
Lies	Jonathan Butler
Cross My Broken Heart (From "Beverly Hills Cop II")	The Jets
One Heartbeat	Smokey Robinson
Lost In Emotion	Lisa Lisa And Cult Jam
Carrie	Europe
Jam Tonight	Freddie Jackson
Jump Start	Natalie Cole
Shakedown (From "Beverly Hills Cop II")	Bob Seger
U Got The Look	Prince
Rhythm Is Gonna Get You	Gloria Estefan & Miami Sound Machine
Paper In Fire	John Mellencamp
Who Will You Run To	Heart
Making Love In The Rain	Herb Alpert
Alone	Heart
Since You've Been Gone	The Outfield
The Pleasure Principle	Janet Jackson
Back To Paradise (From "Revenge Of The Nerds II")	Thirty Eight Special
Seven Wonders	Fleetwood Mac
Casanova	Levert
Fake	Alexander O'Neal
Let Me Be The One	Expose
Never Let Me Down	David Bowie
Be There (From "Beverly Hills Cop II")	The Pointer Sisters
Wot's It To Ya	Robbie Nevil
I'd Still Say Yes	Klymaxx
I Wanna Dance With Somebody (Who Loves Me)	Whitney Houston
Shattered Glass	Laura Branigan
Victim Of Love	Bryan Adams
In My Dreams	REO Speedwagon
Dreamin'	Will To Power
Something Real (Inside Me/Inside You)	Mr. Mister
Don't Look Down - The Sequel	Go West
Misfit	Curiosity Killed The Cat
Oh Yeah	Yello
Johnny B	Hooters
Good Times (From "The Lost Boys")	INXS & Jimmy Barnes
Kiss Him Goodbye	The Nylons
Something So Strong	Crowded House
You Are The Girl	The Cars
Little Lies	Fleetwood Mac
Holiday	The Other Ones
Girls, Girls, Girls	Motley Crue
Say You Really Want Me	Kim Wilde
One Lover At A Time	Atlantic Starr
Show Me The Way	Regina Belle
Kiss And Tell	The Breakfast Club
Breakout	Swing Out Sister
World Where You Live	Crowded House
Why Can't I Be You?	The Cure
Dinner With Gershwin	Donna Summer
Notorious	Loverboy
Point Of No Return	Expose
Don't Make Me Wait For Love	Kenny G. (Vocal By Lenny Williams)
Hearts On Fire	Bryan Adams
Silent Morning	Noel
Heartache	Pepsi & Shirlie
These Times Are Hard For Lovers	John Waite
I Think We're Alone Now	Tiffany
Watching Over You	Glenn Medeiros
Women	Def Leppard
Rock Me	Great White
I Don't Think That Man Should Sleep Alone	Ray Parker Jr.
Painted Moon	The Silencers
Let's Dance	Chris Rea
Don't Disturb This Groove	The System
Happy Together	The Nylons
No One In The World	Anita Baker
Songbird	Kenny G
Strangelove	Depeche Mode
Tina Cherry	Georgio
Love Is A House	Force M.D.'s
He's My Girl	David Hallyday
Jane's Getting Serious	Jon Astley
Running In The Family	Level 42
