So Emotional	Whitney Houston
Got My Mind Set On You	George Harrison
Faith	George Michael
Is This Love	Whitesnake
The Way You Make Me Feel	Michael Jackson
Need You Tonight	INXS
Shake Your Love	Debbie Gibson
Cherry Bomb	John Mellencamp
Tell It To My Heart(Dub)	Taylor Dayne
Don't You Want Me	Jody Watley
Candle In The Wind	Elton John
Hazy Shade Of Winter	The Bangles
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
Could've Been	Tiffany
Valerie	Steve Winwood
Seasons Change	Expose
There's The Girl	Heart
Dude (Looks Like A Lady)	Aerosmith
Heaven Is A Place On Earth	Belinda Carlisle
I Could Never Take The Place Of Your Man	Prince
Crazy	Icehouse
I Want To Be Your Man	Roger
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
Animal	Def Leppard
Tunnel Of Love	Bruce Springsteen
Power Of Love	Laura Branigan
I Live For Your Love	Natalie Cole
(I've Had) The Time Of My Life	Bill Medley & Jennifer Warnes
Say You Will	Foreigner
Don't Shed A Tear	Paul Carrack
What Have I Done To Deserve This?	Pet Shop Boys & Dusty Springfield
Should've Known Better	Richard Marx
Honestly	Stryper
Everywhere	Fleetwood Mac
Pop Goes The World	Men Without Hats
We'll Be Together	Sting
That's What Love Is All About	Michael Bolton
True Faith	New Order
Push It	Salt-N-Pepa
Just Like Heaven	The Cure
I Found Someone	Cher
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
Motortown	The Kane Gang
Pump Up The Volume	M/A/R/R/S
The One I Love	R.E.M.
I Think We're Alone Now	Tiffany
I Can't Help It	Bananarama
She's Like The Wind	Patrick Swayze (Featuring Wendy Fraser)
Because Of You	The Cover Girls
In God's Country	U2
Skeletons	Stevie Wonder
Never Gonna Give You Up	Rick Astley
853-5937	Squeeze
I Do You	The Jets
I Don't Mind At All	Bourgeois Tagg
You And Me Tonight	Deja
Hot In The City	Billy Idol
Mony Mony	Billy Idol
Lover's Lane	Georgio
I've Been In Love Before	Cutting Crew
Dear Mr. Jesus	Powersource (Solo...Sharon)
Rhythm Of Love	Yes
Hot Hot Hot	Buster Poindexter & His Banshees Of Blue
Never Thought (That I Could Love)	Dan Hill
(Baby Tell Me) Can You Dance	Shanice Wilson
Hourglass	Squeeze
I Need A Man	Eurythmics
Reason To Live	KISS
Twilight World	Swing Out Sister
I Won't Forget You	Poison
Live My Life (From The Film "Hiding Out")	Boy George
Rain In The Summertime	The Alarm
Burning Like A Flame	Dokken
Little Lies	Fleetwood Mac
Criticize	Alexander O'Neal
Lonely Won't Leave Me Alone	Glenn Medeiros
Throwaway	Mick Jagger
Love Will Find A Way	Yes
In My Dreams	REO Speedwagon
She's Fly	Tony Terry
Brilliant Disguise	Bruce Springsteen
Love Overboard	Gladys Knight And The Pips
Never Let Me Down Again	Depeche Mode
Someone To Love Me For Me	Lisa Lisa And Cult Jam Featuring Full Force
Cherokee	Europe
System Of Survival	Earth, Wind & Fire
Breakout	Swing Out Sister
We've Only Just Begun (The Romance Is Not Over)	Glenn Jones
Silent Morning	Noel
What's Too Much	Smokey Robinson
You're All I Need	Motley Crue
Special Way	Kool & The Gang
Eagles Fly	Sammy Hagar
Let Me Be The One	Expose
It's A Sin	Pet Shop Boys
U Got The Look	Prince
Who Will You Run To	Heart
Causing A Commotion	Madonna
Here I Go Again	Whitesnake
Don't Tell Me The Time	Martha Davis
