Man In The Mirror	Michael Jackson
Endless Summer Nights	Richard Marx
Get Outta My Dreams, Get Into My Car	Billy Ocean
Out Of The Blue	Debbie Gibson
I Want Her	Keith Sweat
Rocket 2 U	The Jets
Devil Inside	INXS
Never Gonna Give You Up	Rick Astley
Girlfriend	Pebbles
Where Do Broken Hearts Go	Whitney Houston
(Sittin' On) The Dock Of The Bay	Michael Bolton
Wishing Well	Terence Trent D'Arby
Hysteria	Def Leppard
Some Kind Of Lover	Jody Watley
I Get Weak	Belinda Carlisle
Angel	Aerosmith
I Saw Him Standing There	Tiffany
Check It Out	John Mellencamp
Father Figure	George Michael
Prove Your Love	Taylor Dayne
She's Like The Wind	Patrick Swayze (Featuring Wendy Fraser)
Rock Of Life	Rick Springfield
Pink Cadillac	Natalie Cole
Just Like Paradise	David Lee Roth
One Step Up	Bruce Springsteen
Electric Blue	Icehouse
You Don't Know	Scarlett & Black
Never Knew Love Like This	Alexander O'Neal Featuring Cherrelle
Anything For You	Gloria Estefan & Miami Sound Machine
Fishnet	Morris Day
Going Back To Cali (From "Less Than Zero")	LL Cool J
What A Wonderful World	Louis Armstrong
When We Was Fab	George Harrison
Pamela	Toto
I Wish I Had A Girl	Henry Lee Summer
Naughty Girls (Need Love Too)	Samantha Fox
I Found Someone	Cher
Two Occasions	The Deele
Shattered Dreams	Johnny Hates Jazz
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Wait	White Lion
I Don't Want To Live Without You	Foreigner
Are You Sure	So
Always On My Mind	Pet Shop Boys
Kiss And Tell (From "Bright Lights, Big City")	Bryan Ferry
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
Pump Up The Volume	M/A/R/R/S
Be Still My Beating Heart	Sting
Dreaming	Orchestral Manoeuvres In The Dark
Say It Again	Jermaine Stewart
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
Push It	Salt-N-Pepa
Strange But True	Times Two
Savin' Myself	Eria Fachin
Love Overboard	Gladys Knight And The Pips
One Good Reason	Paul Carrack
Give Me All Your Love	Whitesnake
I Want You So Bad	Heart
My Girl	Suave
Ritual	Dan Reed Network
Yes (From The Motion Picture "Dirty Dancing")	Merry Clayton
Because Of You	The Cover Girls
What Have I Done To Deserve This?	Pet Shop Boys & Dusty Springfield
Love In The First Degree	Bananarama
Talking Back To The Night	Steve Winwood
Don't Shed A Tear	Paul Carrack
Say You Will	Foreigner
Hot Hot Hot!!!	The Cure
Could've Been	Tiffany
Don't Make A Fool Of Yourself	Stacey Q
I Want To Be Your Property	Blue Mercedes
Need You Tonight	INXS
Samantha (What You Gonna Do?)	Cellarful Of Noise
Seasons Change	Expose
Play That Funky Music	Roxanne
Never Thought (That I Could Love)	Dan Hill
Promise Me	The Cover Girls
Breakaway	Big Pig
Nightime	Pretty Poison
I Still Believe	Brenda K. Starr
Save Your Love	Great White
Magic Carpet Ride	Bardeux
I Live For Your Love	Natalie Cole
Ever Since The World Began	Tommy Shaw
Presence Of Love	The Alarm
Beds Are Burning	Midnight Oil
Ooo La La La	Teena Marie
Never Die Young	James Taylor
She's Only 20	Tami Show
Kiss Me Deadly	Lita Ford
Turn Off The Lights	Lonzo And World Class Wreckin Kru
Century's End (From "Bright Lights, Big City")	Donald Fagen
Get It On	Kingdom Come
Jack The Lad	3 Man Island
Family Man	Fleetwood Mac
Sweet Lies	Robert Palmer
Hot Thing	Prince
Thinking Of You	Earth, Wind & Fire
I Want To Be Your Man	Roger
Hazy Shade Of Winter	The Bangles
