Wishing Well	Terence Trent D'Arby
Anything For You	Gloria Estefan & Miami Sound Machine
Angel	Aerosmith
Where Do Broken Hearts Go	Whitney Houston
Pink Cadillac	Natalie Cole
Always On My Mind	Pet Shop Boys
Prove Your Love	Taylor Dayne
Shattered Dreams	Johnny Hates Jazz
Electric Blue	Icehouse
Naughty Girls (Need Love Too)	Samantha Fox
I Don't Want To Live Without You	Foreigner
Devil Inside	INXS
Wait	White Lion
One More Try	George Michael
Get Outta My Dreams, Get Into My Car	Billy Ocean
Two Occasions	The Deele
Girlfriend	Pebbles
Piano In The Dark	Brenda Russell Featuring Joe Esposito
One Step Up	Bruce Springsteen
I Saw Him Standing There	Tiffany
Everything Your Heart Desires	Daryl Hall John Oates
Pamela	Toto
I Wish I Had A Girl	Henry Lee Summer
Dreaming	Orchestral Manoeuvres In The Dark
Together Forever	Rick Astley
My Girl	Suave
Say It Again	Jermaine Stewart
Strange But True	Times Two
One Good Reason	Paul Carrack
Circle In The Sand	Belinda Carlisle
Man In The Mirror	Michael Jackson
We All Sleep Alone	Cher
Make It Real	The Jets
Rocket 2 U	The Jets
I Still Believe	Brenda K. Starr
Foolish Beat	Debbie Gibson
I'm Still Searching	Glass Tiger
Ritual	Dan Reed Network
Nightime	Pretty Poison
Endless Summer Nights	Richard Marx
Promise Me	The Cover Girls
Nite And Day	Al B. Sure!
The Valley Road	Bruce Hornsby & The Range
Some Kind Of Lover	Jody Watley
Da'Butt (From The "School Daze" Soundtrack)	E.U.
Kiss And Tell (From "Bright Lights, Big City")	Bryan Ferry
Kiss Me Deadly	Lita Ford
When We Kiss	Bardeux
Alphabet St.	Prince
The Flame	Cheap Trick
I Want Her	Keith Sweat
Out Of The Blue	Debbie Gibson
Dirty Diana	Michael Jackson
Beds Are Burning	Midnight Oil
Nothin' But A Good Time	Poison
Under The Milky Way	The Church
Love In The First Degree	Bananarama
Fishnet	Morris Day
Pour Some Sugar On Me	Def Leppard
Supersonic	J.J. Fad
Should I Say Yes?	Nu Shooz
Never Gonna Give You Up	Rick Astley
Breakaway	Big Pig
Going Back To Cali (From "Less Than Zero")	LL Cool J
You Don't Know	Scarlett & Black
Tall Cool One	Robert Plant
Yes (From The Motion Picture "Dirty Dancing")	Merry Clayton
Stand Up	David Lee Roth
Take It While It's Hot	Sweet Sensation
Heart Of Mine	Boz Scaggs
Check It Out	John Mellencamp
Like A Child	Noel
Hands To Heaven	Breathe
Underneath The Radar	Underworld
I Found Someone	Cher
Lost In You	Rod Stewart
Mercedes Boy	Pebbles
(Sittin' On) The Dock Of The Bay	Michael Bolton
Wild, Wild West	Kool Moe Dee
Most Of All	Jody Watley
Dreamin' Of Love	Stevie B
Love Struck	Jesse Johnson
She's Like The Wind	Patrick Swayze (Featuring Wendy Fraser)
Blue Monday 1988	New Order
Rock Of Life	Rick Springfield
I Should Be So Lucky	Kylie Minogue
Turn Off The Lights	Lonzo And World Class Wreckin Kru
Father Figure	George Michael
Get It	Stevie Wonder & Michael Jackson
Rush Hour	Jane Wiedlin
Route 66/Behind The Wheel	Depeche Mode
Hysteria	Def Leppard
Love Changes Everything	Honeymoon Suite
Like The Weather	10,000 Maniacs
Broken Land	The Adventures
Forgive Me For Dreaming	Elisa Fiorillo
Get It On	Kingdom Come
I Wasn't The One (Who Said Goodbye)	Agnetha Faltskog/Peter Cetera
Englishman In New York	Sting
Push It	Salt-N-Pepa
