One More Try	George Michael
Shattered Dreams	Johnny Hates Jazz
Anything For You	Gloria Estefan & Miami Sound Machine
Naughty Girls (Need Love Too)	Samantha Fox
I Don't Want To Live Without You	Foreigner
Always On My Mind	Pet Shop Boys
Everything Your Heart Desires	Daryl Hall John Oates
Together Forever	Rick Astley
Wait	White Lion
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Two Occasions	The Deele
Electric Blue	Icehouse
Make It Real	The Jets
Circle In The Sand	Belinda Carlisle
Foolish Beat	Debbie Gibson
Dreaming	Orchestral Manoeuvres In The Dark
Dirty Diana	Michael Jackson
The Valley Road	Bruce Hornsby & The Range
Alphabet St.	Prince
We All Sleep Alone	Cher
Strange But True	Times Two
My Girl	Suave
I Still Believe	Brenda K. Starr
Wishing Well	Terence Trent D'Arby
Pink Cadillac	Natalie Cole
Kiss Me Deadly	Lita Ford
Angel	Aerosmith
Nite And Day	Al B. Sure!
The Flame	Cheap Trick
Nothin' But A Good Time	Poison
I'm Still Searching	Glass Tiger
Pour Some Sugar On Me	Def Leppard
Where Do Broken Hearts Go	Whitney Houston
Mercedes Boy	Pebbles
Da'Butt (From The "School Daze" Soundtrack)	E.U.
Beds Are Burning	Midnight Oil
Under The Milky Way	The Church
New Sensation	INXS
When We Kiss	Bardeux
Nightime	Pretty Poison
Promise Me	The Cover Girls
One Good Reason	Paul Carrack
Supersonic	J.J. Fad
Prove Your Love	Taylor Dayne
Lost In You	Rod Stewart
Tall Cool One	Robert Plant
Should I Say Yes?	Nu Shooz
Get Outta My Dreams, Get Into My Car	Billy Ocean
Heart Of Mine	Boz Scaggs
Hands To Heaven	Breathe
Rush Hour	Jane Wiedlin
Hold On To The Nights	Richard Marx
Girlfriend	Pebbles
Make Me Lose Control	Eric Carmen
Paradise	Sade
Pamela	Toto
Take It While It's Hot	Sweet Sensation
Black And Blue	Van Halen
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Just Got Paid	Johnny Kemp
Route 66/Behind The Wheel	Depeche Mode
I Should Be So Lucky	Kylie Minogue
Wild, Wild West	Kool Moe Dee
Most Of All	Jody Watley
Trouble	Nia Peeples
Tomorrow People	Ziggy Marley And The Melody Makers
Forgive Me For Dreaming	Elisa Fiorillo
Endless Summer Nights	Richard Marx
Rooty Toot Toot	John Mellencamp
Love Changes (Everything)	Climie Fisher
I Wish I Had A Girl	Henry Lee Summer
Sign Your Name	Terence Trent D'Arby
Rocket 2 U	The Jets
Devil Inside	INXS
Like The Weather	10,000 Maniacs
The Colour Of Love	Billy Ocean
Blue Monday 1988	New Order
I Saw Him Standing There	Tiffany
Something Just Ain't Right	Keith Sweat
Get It	Stevie Wonder & Michael Jackson
Underneath The Radar	Underworld
Stand Up	David Lee Roth
Dreamin' Of Love	Stevie B
Say It Again	Jermaine Stewart
Darlin' Danielle Don't	Henry Lee Summer
One Step Up	Bruce Springsteen
I Want Her	Keith Sweat
My Love	Julio Iglesias Featuring Stevie Wonder
Love Struck	Jesse Johnson
Turn Off The Lights	Lonzo And World Class Wreckin Kru
Never Gonna Give You Up	Rick Astley
Wishing I Was Lucky	Wet Wet Wet
You Don't Know	Scarlett & Black
Only A Memory	The Smithereens
You Have Placed A Chill In My Heart	Eurythmics
Wait On Love	Michael Bolton
Man In The Mirror	Michael Jackson
Little Walter	Tony Toni Tone
Like A Child	Noel
Fat	"Weird Al" Yankovic
