Together Forever	Rick Astley
One More Try	George Michael
Foolish Beat	Debbie Gibson
Dirty Diana	Michael Jackson
Make It Real	The Jets
Everything Your Heart Desires	Daryl Hall John Oates
Circle In The Sand	Belinda Carlisle
The Valley Road	Bruce Hornsby & The Range
The Flame	Cheap Trick
Alphabet St.	Prince
Mercedes Boy	Pebbles
Kiss Me Deadly	Lita Ford
Nothin' But A Good Time	Poison
I Still Believe	Brenda K. Starr
We All Sleep Alone	Cher
Shattered Dreams	Johnny Hates Jazz
Nite And Day	Al B. Sure!
Pour Some Sugar On Me	Def Leppard
Naughty Girls (Need Love Too)	Samantha Fox
New Sensation	INXS
Beds Are Burning	Midnight Oil
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Anything For You	Gloria Estefan & Miami Sound Machine
Under The Milky Way	The Church
Hold On To The Nights	Richard Marx
Lost In You	Rod Stewart
Rush Hour	Jane Wiedlin
Hands To Heaven	Breathe
Tall Cool One	Robert Plant
Supersonic	J.J. Fad
Paradise	Sade
Make Me Lose Control	Eric Carmen
Roll With It	Steve Winwood
Black And Blue	Van Halen
Heart Of Mine	Boz Scaggs
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Two Occasions	The Deele
Wait	White Lion
I Don't Want To Live Without You	Foreigner
Sign Your Name	Terence Trent D'Arby
Should I Say Yes?	Nu Shooz
The Colour Of Love	Billy Ocean
Just Got Paid	Johnny Kemp
I Should Be So Lucky	Kylie Minogue
Love Changes (Everything)	Climie Fisher
1-2-3	Gloria Estefan & Miami Sound Machine
I Don't Wanna Live Without Your Love	Chicago
Trouble	Nia Peeples
Angel	Aerosmith
Tomorrow People	Ziggy Marley And The Melody Makers
Forgive Me For Dreaming	Elisa Fiorillo
Electric Blue	Icehouse
Dreaming	Orchestral Manoeuvres In The Dark
When We Kiss	Bardeux
Promise Me	The Cover Girls
Da'Butt (From The "School Daze" Soundtrack)	E.U.
Wishing Well	Terence Trent D'Arby
Do You Love Me	The Contours
Always On My Mind	Pet Shop Boys
I Don't Wanna Go On With You Like That	Elton John
Rag Doll	Aerosmith
Strange But True	Times Two
Darlin' Danielle Don't	Henry Lee Summer
Little Walter	Tony Toni Tone
You Have Placed A Chill In My Heart	Eurythmics
Rooty Toot Toot	John Mellencamp
Pink Cadillac	Natalie Cole
Route 66/Behind The Wheel	Depeche Mode
Most Of All	Jody Watley
Wishing I Was Lucky	Wet Wet Wet
I Know You're Out There Somewhere	The Moody Blues
In Your Soul	Corey Hart
Fast Car	Tracy Chapman
I'll Always Love You	Taylor Dayne
Colors	Ice-T
Wild, Wild West	Kool Moe Dee
Feelings Of Forever	Tiffany
Take It While It's Hot	Sweet Sensation
The Twist	Fat Boys
Wait On Love	Michael Bolton
Rhythm Of Love	Scorpions
Where Do Broken Hearts Go	Whitney Houston
Like The Weather	10,000 Maniacs
Sayin' Sorry (Don't Make It Right)	Denise Lopez
Say It's Gonna Rain	Will To Power
My Girl	Suave
Get Outta My Dreams, Get Into My Car	Billy Ocean
I'm Still Searching	Glass Tiger
Dreamin' Of Love	Stevie B
Blue Monday 1988	New Order
Pamela	Toto
When You Walk In The Room	Paul Carrack
Knocked Out	Paula Abdul
Nightime	Pretty Poison
Boom! There She Was	Scritti Politti Featuring Roger
Joy	Teddy Pendergrass
Theme From S-Express	S-Express
My Love	Julio Iglesias Featuring Stevie Wonder
Prove Your Love	Taylor Dayne
Rocket 2 U	The Jets
