Dirty Diana	Michael Jackson
Foolish Beat	Debbie Gibson
The Flame	Cheap Trick
Make It Real	The Jets
The Valley Road	Bruce Hornsby & The Range
Mercedes Boy	Pebbles
Pour Some Sugar On Me	Def Leppard
Nothin' But A Good Time	Poison
New Sensation	INXS
Together Forever	Rick Astley
Nite And Day	Al B. Sure!
Alphabet St.	Prince
I Still Believe	Brenda K. Starr
Kiss Me Deadly	Lita Ford
Hold On To The Nights	Richard Marx
One More Try	George Michael
Beds Are Burning	Midnight Oil
Lost In You	Rod Stewart
Rush Hour	Jane Wiedlin
Hands To Heaven	Breathe
Roll With It	Steve Winwood
Make Me Lose Control	Eric Carmen
Circle In The Sand	Belinda Carlisle
Paradise	Sade
Tall Cool One	Robert Plant
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Sign Your Name	Terence Trent D'Arby
1-2-3	Gloria Estefan & Miami Sound Machine
Everything Your Heart Desires	Daryl Hall John Oates
The Colour Of Love	Billy Ocean
Just Got Paid	Johnny Kemp
Supersonic	J.J. Fad
Do You Love Me	The Contours
I Don't Wanna Live Without Your Love	Chicago
I Should Be So Lucky	Kylie Minogue
I Don't Wanna Go On With You Like That	Elton John
Naughty Girls (Need Love Too)	Samantha Fox
Love Changes (Everything)	Climie Fisher
Trouble	Nia Peeples
Heart Of Mine	Boz Scaggs
Shattered Dreams	Johnny Hates Jazz
Anything For You	Gloria Estefan & Miami Sound Machine
Tomorrow People	Ziggy Marley And The Melody Makers
Under The Milky Way	The Church
Rag Doll	Aerosmith
Should I Say Yes?	Nu Shooz
The Twist	Fat Boys
We All Sleep Alone	Cher
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Black And Blue	Van Halen
Forgive Me For Dreaming	Elisa Fiorillo
Love Will Save The Day	Whitney Houston
Little Walter	Tony Toni Tone
I Know You're Out There Somewhere	The Moody Blues
Fast Car	Tracy Chapman
In Your Soul	Corey Hart
I'll Always Love You	Taylor Dayne
Wishing I Was Lucky	Wet Wet Wet
Simply Irresistible	Robert Palmer
Feelings Of Forever	Tiffany
Darlin' Danielle Don't	Henry Lee Summer
Two Occasions	The Deele
Sweet Child O' Mine	Guns N' Roses
Here With Me	REO Speedwagon
Wait	White Lion
Sayin' Sorry (Don't Make It Right)	Denise Lopez
You Have Placed A Chill In My Heart	Eurythmics
Say It's Gonna Rain	Will To Power
When It's Love	Van Halen
Colors	Ice-T
Promise Me	The Cover Girls
Angel	Aerosmith
Boom! There She Was	Scritti Politti Featuring Roger
Knocked Out	Paula Abdul
All Fired Up	Pat Benatar
I Don't Want To Live Without You	Foreigner
Joy	Teddy Pendergrass
Most Of All	Jody Watley
Please Don't Go Girl	New Kids On The Block
I Hate Myself For Loving You	Joan Jett & the Blackhearts
When We Kiss	Bardeux
Forever Yours	Tony Terry
Wishing Well	Terence Trent D'Arby
Route 66/Behind The Wheel	Depeche Mode
Electric Blue	Icehouse
Rhythm Of Love	Scorpions
When Will I Be Famous?	Bros
Wild, Wild West	Kool Moe Dee
Tell Me	White Lion
Wait On Love	Michael Bolton
Theme From S-Express	S-Express
Dreaming	Orchestral Manoeuvres In The Dark
If It Isn't Love	New Edition
Blue Monday 1988	New Order
When You Walk In The Room	Paul Carrack
Da'Butt (From The "School Daze" Soundtrack)	E.U.
Take It While It's Hot	Sweet Sensation
Strange But True	Times Two
Rooty Toot Toot	John Mellencamp
Always On My Mind	Pet Shop Boys
