The Flame	Cheap Trick
Mercedes Boy	Pebbles
Pour Some Sugar On Me	Def Leppard
New Sensation	INXS
Hold On To The Nights	Richard Marx
Roll With It	Steve Winwood
Nite And Day	Al B. Sure!
Hands To Heaven	Breathe
Make Me Lose Control	Eric Carmen
Nothin' But A Good Time	Poison
Rush Hour	Jane Wiedlin
Lost In You	Rod Stewart
Foolish Beat	Debbie Gibson
Sign Your Name	Terence Trent D'Arby
Dirty Diana	Michael Jackson
The Valley Road	Bruce Hornsby & The Range
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Paradise	Sade
1-2-3	Gloria Estefan & Miami Sound Machine
Make It Real	The Jets
I Don't Wanna Go On With You Like That	Elton John
Just Got Paid	Johnny Kemp
I Don't Wanna Live Without Your Love	Chicago
Do You Love Me	The Contours
The Colour Of Love	Billy Ocean
I Still Believe	Brenda K. Starr
Love Changes (Everything)	Climie Fisher
I Should Be So Lucky	Kylie Minogue
The Twist	Fat Boys
Together Forever	Rick Astley
Beds Are Burning	Midnight Oil
Kiss Me Deadly	Lita Ford
Rag Doll	Aerosmith
Tall Cool One	Robert Plant
Love Will Save The Day	Whitney Houston
Monkey	George Michael
Fast Car	Tracy Chapman
One More Try	George Michael
Trouble	Nia Peeples
Simply Irresistible	Robert Palmer
Alphabet St.	Prince
When It's Love	Van Halen
I Know You're Out There Somewhere	The Moody Blues
Tomorrow People	Ziggy Marley And The Melody Makers
Supersonic	J.J. Fad
Sweet Child O' Mine	Guns N' Roses
I'll Always Love You	Taylor Dayne
Circle In The Sand	Belinda Carlisle
In Your Soul	Corey Hart
Feelings Of Forever	Tiffany
Perfect World	Huey Lewis & The News
Here With Me	REO Speedwagon
All Fired Up	Pat Benatar
Sayin' Sorry (Don't Make It Right)	Denise Lopez
Naughty Girls (Need Love Too)	Samantha Fox
Little Walter	Tony Toni Tone
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
Say It's Gonna Rain	Will To Power
Forgive Me For Dreaming	Elisa Fiorillo
Anything For You	Gloria Estefan & Miami Sound Machine
Boom! There She Was	Scritti Politti Featuring Roger
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Knocked Out	Paula Abdul
Missed Opportunity	Daryl Hall John Oates
Everything Your Heart Desires	Daryl Hall John Oates
If It Isn't Love	New Edition
I Don't Want To Be A Hero	Johnny Hates Jazz
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Shattered Dreams	Johnny Hates Jazz
Hole In My Heart (All The Way To China)	Cyndi Lauper
Please Don't Go Girl	New Kids On The Block
Should I Say Yes?	Nu Shooz
Heart Of Mine	Boz Scaggs
Tell Me	White Lion
Better Be Home Soon	Crowded House
Spring Love (Come Back To Me)	Stevie B
Black And Blue	Van Halen
It Would Take A Strong Strong Man	Rick Astley
Promise Me	The Cover Girls
Forever Yours	Tony Terry
Wishing I Was Lucky	Wet Wet Wet
Darlin' Danielle Don't	Henry Lee Summer
When Will I Be Famous?	Bros
Cecilia	Times Two
Colors	Ice-T
Joy	Teddy Pendergrass
Angel	Aerosmith
My Obsession	Icehouse
Heart Turns To Stone	Foreigner
What's On Your Mind (Pure Energy)	Information Society
Two Occasions	The Deele
Summergirls	Dino
Coming To America	The System
Theme From S-Express	S-Express
Under The Milky Way	The Church
Too Much Ain't Enough Love	Jimmy Barnes
K.I.S.S.I.N.G.	Siedah Garrett
Route 66/Behind The Wheel	Depeche Mode
Wait	White Lion
We All Sleep Alone	Cher
