Roll With It	Steve Winwood
Hands To Heaven	Breathe
Hold On To The Nights	Richard Marx
Make Me Lose Control	Eric Carmen
Sign Your Name	Terence Trent D'Arby
1-2-3	Gloria Estefan & Miami Sound Machine
I Don't Wanna Go On With You Like That	Elton John
I Don't Wanna Live Without Your Love	Chicago
Pour Some Sugar On Me	Def Leppard
Monkey	George Michael
Do You Love Me	The Contours
Just Got Paid	Johnny Kemp
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Fast Car	Tracy Chapman
Love Will Save The Day	Whitney Houston
The Twist	Fat Boys
The Colour Of Love	Billy Ocean
Sweet Child O' Mine	Guns N' Roses
Rush Hour	Jane Wiedlin
Simply Irresistible	Robert Palmer
Rag Doll	Aerosmith
New Sensation	INXS
The Flame	Cheap Trick
Perfect World	Huey Lewis & The News
When It's Love	Van Halen
If It Isn't Love	New Edition
I'll Always Love You	Taylor Dayne
Mercedes Boy	Pebbles
All Fired Up	Pat Benatar
I Know You're Out There Somewhere	The Moody Blues
Another Part Of Me	Michael Jackson
Love Changes (Everything)	Climie Fisher
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
It Would Take A Strong Strong Man	Rick Astley
Here With Me	REO Speedwagon
Sayin' Sorry (Don't Make It Right)	Denise Lopez
One Good Woman	Peter Cetera
Missed Opportunity	Daryl Hall John Oates
Nite And Day	Al B. Sure!
Foolish Beat	Debbie Gibson
Paradise	Sade
Please Don't Go Girl	New Kids On The Block
I Don't Want To Be A Hero	Johnny Hates Jazz
I Still Believe	Brenda K. Starr
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Knocked Out	Paula Abdul
Spring Love (Come Back To Me)	Stevie B
Make It Real	The Jets
Lost In You	Rod Stewart
Say It's Gonna Rain	Will To Power
Better Be Home Soon	Crowded House
Nothin' But A Good Time	Poison
Boom! There She Was	Scritti Politti Featuring Roger
Hole In My Heart (All The Way To China)	Cyndi Lauper
Look Out Any Window	Bruce Hornsby & The Range
Heart Turns To Stone	Foreigner
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Tell Me	White Lion
Don't Be Cruel	Bobby Brown
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
In Your Soul	Corey Hart
What's On Your Mind (Pure Energy)	Information Society
Supersonic	J.J. Fad
Fallen Angel	Poison
Summergirls	Dino
The Right Stuff	Vanessa Williams
Don't Be Cruel	Cheap Trick
Naughty Girls (Need Love Too)	Samantha Fox
Kiss Me Deadly	Lita Ford
Inside Outside	The Cover Girls
Make It Last Forever	Keith Sweat (Duet With Jacci McGhee)
Beds Are Burning	Midnight Oil
One More Try	George Michael
Always There For You	Stryper
Trouble	Nia Peeples
Anything For You	Gloria Estefan & Miami Sound Machine
Dirty Diana	Michael Jackson
Chains Of Love	Erasure
What You See Is What You Get	Brenda K. Starr
Nice 'N' Slow	Freddie Jackson
Together Forever	Rick Astley
The Valley Road	Bruce Hornsby & The Range
Time And Tide	Basia
Staying Together	Debbie Gibson
Mary, Mary	Run-D.M.C.
Tall Cool One	Robert Plant
Skin Deep	Cher
The Dead Heart	Midnight Oil
I Should Be So Lucky	Kylie Minogue
Cecilia	Times Two
I Feel Free	Belinda Carlisle
Forever Young	Rod Stewart
Off On Your Own (Girl)	Al B. Sure!
Circle In The Sand	Belinda Carlisle
Feelings Of Forever	Tiffany
Lead Me On	Amy Grant
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Black Leather	Kings Of The Sun
Coming To America	The System
Tomorrow People	Ziggy Marley And The Melody Makers
