Monkey	George Michael
I Don't Wanna Go On With You Like That	Elton John
I Don't Wanna Live Without Your Love	Chicago
Sweet Child O' Mine	Guns N' Roses
Simply Irresistible	Robert Palmer
Fast Car	Tracy Chapman
Roll With It	Steve Winwood
Perfect World	Huey Lewis & The News
Love Will Save The Day	Whitney Houston
1-2-3	Gloria Estefan & Miami Sound Machine
Make Me Lose Control	Eric Carmen
Hands To Heaven	Breathe
When It's Love	Van Halen
Sign Your Name	Terence Trent D'Arby
If It Isn't Love	New Edition
I'll Always Love You	Taylor Dayne
Another Part Of Me	Michael Jackson
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
All Fired Up	Pat Benatar
It Would Take A Strong Strong Man	Rick Astley
Hold On To The Nights	Richard Marx
One Good Woman	Peter Cetera
Rag Doll	Aerosmith
Here With Me	REO Speedwagon
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Just Got Paid	Johnny Kemp
Please Don't Go Girl	New Kids On The Block
Missed Opportunity	Daryl Hall John Oates
Love Bites	Def Leppard
I Don't Want To Be A Hero	Johnny Hates Jazz
Don't Be Cruel	Cheap Trick
Sayin' Sorry (Don't Make It Right)	Denise Lopez
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
Pour Some Sugar On Me	Def Leppard
Don't Be Cruel	Bobby Brown
The Twist	Fat Boys
Fallen Angel	Poison
Look Out Any Window	Bruce Hornsby & The Range
What's On Your Mind (Pure Energy)	Information Society
Do You Love Me	The Contours
Staying Together	Debbie Gibson
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
The Right Stuff	Vanessa Williams
The Flame	Cheap Trick
Spring Love (Come Back To Me)	Stevie B
What You See Is What You Get	Brenda K. Starr
Forever Young	Rod Stewart
True Love	Glenn Frey
Summergirls	Dino
Don't You Know What The Night Can Do?	Steve Winwood
Red Red Wine	UB40
Chains Of Love	Erasure
Better Be Home Soon	Crowded House
Inside Outside	The Cover Girls
Never Tear Us Apart	INXS
Knocked Out	Paula Abdul
Time And Tide	Basia
Make It Last Forever	Keith Sweat (Duet With Jacci McGhee)
Off On Your Own (Girl)	Al B. Sure!
Superstitious	Europe
The Dead Heart	Midnight Oil
I Know You're Out There Somewhere	The Moody Blues
Tell Me	White Lion
Say It's Gonna Rain	Will To Power
New Sensation	INXS
I Still Believe	Brenda K. Starr
Indestructible	Four Tops
The Colour Of Love	Billy Ocean
Rush Hour	Jane Wiedlin
Always There For You	Stryper
Nice 'N' Slow	Freddie Jackson
Jackie	Blue Zone U.K.
Wild, Wild West	The Escape Club
Heart Turns To Stone	Foreigner
Mercedes Boy	Pebbles
Love Changes (Everything)	Climie Fisher
Another Lover	Giant Steps
Foolish Beat	Debbie Gibson
The Loco-Motion	Kylie Minogue
Don't Walk Away	Toni Childs
It Takes Two	Rob Base & D.J. E-Z Rock
Supersonic	J.J. Fad
The Rumour	Olivia Newton-John
Naughty Girls (Need Love Too)	Samantha Fox
Kiss Me Deadly	Lita Ford
Mary, Mary	Run-D.M.C.
Long And Lasting Love (Once In A Lifetime)	Glenn Medeiros
She's On The Left	Jeffrey Osborne
Sendin' All My Love	The Jets
Ship Of Fools	Robert Plant
Lost In You	Rod Stewart
Powerful Stuff (From "Cocktail")	The Fabulous Thunderbirds
Boom! There She Was	Scritti Politti Featuring Roger
When I Fall In Love	Natalie Cole
Make It Real	The Jets
Nite And Day	Al B. Sure!
Beds Are Burning	Midnight Oil
Nothin' But A Good Time	Poison
Hole In My Heart (All The Way To China)	Cyndi Lauper
