Love Bites	Def Leppard
Red Red Wine	UB40
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Don't Be Cruel	Cheap Trick
One Good Woman	Peter Cetera
Groovy Kind Of Love	Phil Collins
I'll Always Love You	Taylor Dayne
I Hate Myself For Loving You	Joan Jett & the Blackhearts
What's On Your Mind (Pure Energy)	Information Society
Please Don't Go Girl	New Kids On The Block
Don't Be Cruel	Bobby Brown
Fallen Angel	Poison
Don't You Know What The Night Can Do?	Steve Winwood
Forever Young	Rod Stewart
True Love	Glenn Frey
Sweet Child O' Mine	Guns N' Roses
If It Isn't Love	New Edition
Never Tear Us Apart	INXS
The Loco-Motion	Kylie Minogue
Wild, Wild West	The Escape Club
Chains Of Love	Erasure
One Moment In Time	Whitney Houston
Simply Irresistible	Robert Palmer
What You See Is What You Get	Brenda K. Starr
Kokomo (From"Cocktail" )	The Beach Boys
Bad Medicine	Bon Jovi
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
Staying Together	Debbie Gibson
It Would Take A Strong Strong Man	Rick Astley
Superstitious	Europe
Another Lover	Giant Steps
Time And Tide	Basia
Don't Know What You Got (Till It's Gone)	Cinderella
Indestructible	Four Tops
How Can I Fall?	Breathe
Desire	U2
Perfect World	Huey Lewis & The News
Dance Little Sister	Terence Trent D'Arby
When It's Love	Van Halen
It Takes Two	Rob Base & D.J. E-Z Rock
Baby, I Love Your Way/Freebird Medley	Will To Power
Look Away	Chicago
A Word In Spanish	Elton John
Waiting For A Star To Fall	Boy Meets Girl
The Promise	When In Rome
Kissing A Fool	George Michael
She's On The Left	Jeffrey Osborne
Monkey	George Michael
You Came	Kim Wilde
Giving You The Best That I Got	Anita Baker
Walk On Water	Eddie Money
I Don't Wanna Live Without Your Love	Chicago
Fast Car	Tracy Chapman
Strangelove	Depeche Mode
Spring Love (Come Back To Me)	Stevie B
Here With Me	REO Speedwagon
Hands To Heaven	Breathe
Downtown Life	Daryl Hall John Oates
Heart Don't Fail Me Now	Holly Knight
Edge Of A Broken Heart	Vixen
Finish What Ya Started	Van Halen
Off On Your Own (Girl)	Al B. Sure!
I Don't Wanna Go On With You Like That	Elton John
Way Out	J.J. Fad
Small World	Huey Lewis & The News
Never Let You Go	Sweet Sensation
Cars With The Boom	L'Trimm
Boy, I've Been Told	SaFire
All Fired Up	Pat Benatar
Domino Dancing	Pet Shop Boys
Inside A Dream	Jane Wiedlin
Spy In The House Of Love	Was (Not Was)
Don't Be Afraid Of The Dark	The Robert Cray Band
Talkin' Bout A Revolution	Tracy Chapman
Symptoms Of True Love	Tracie Spencer
I Can't Wait	Deniece Williams
Any Love	Luther Vandross
Long And Lasting Love (Once In A Lifetime)	Glenn Medeiros
I Did It For Love	Night Ranger
Not Just Another Girl	Ivan Neville
What's The Matter Here?	10,000 Maniacs
Another Part Of Me	Michael Jackson
Sign Your Name	Terence Trent D'Arby
I'm Not Your Man	Tommy Conwell And The Young Rumblers
Powerful Stuff (From "Cocktail")	The Fabulous Thunderbirds
Tell That Girl To Shut Up	Transvision Vamp
Inside Outside	The Cover Girls
Love Will Save The Day	Whitney Houston
Reason To Try	Eric Carmen
Hold On To The Nights	Richard Marx
The Dead Heart	Midnight Oil
Roll With It	Steve Winwood
1-2-3	Gloria Estefan & Miami Sound Machine
Didn't Know It Was Love	Survivor
Jackie	Blue Zone U.K.
Nice 'N' Slow	Freddie Jackson
The Flame	Cheap Trick
Look Out Any Window	Bruce Hornsby & The Range
Long Way To Love	Britny Fox
