Kokomo (From"Cocktail" )	The Beach Boys
Wild, Wild West	The Escape Club
Groovy Kind Of Love	Phil Collins
The Loco-Motion	Kylie Minogue
Bad Medicine	Bon Jovi
One Moment In Time	Whitney Houston
Never Tear Us Apart	INXS
Desire	U2
Red Red Wine	UB40
What's On Your Mind (Pure Energy)	Information Society
Don't You Know What The Night Can Do?	Steve Winwood
How Can I Fall?	Breathe
Baby, I Love Your Way/Freebird Medley	Will To Power
Chains Of Love	Erasure
Kissing A Fool	George Michael
Another Lover	Giant Steps
Look Away	Chicago
Don't Know What You Got (Till It's Gone)	Cinderella
Don't Be Cruel	Bobby Brown
I Don't Want Your Love	Duran Duran
Love Bites	Def Leppard
Giving You The Best That I Got	Anita Baker
Waiting For A Star To Fall	Boy Meets Girl
A Word In Spanish	Elton John
Forever Young	Rod Stewart
Walk On Water	Eddie Money
The Promise	When In Rome
Don't Be Cruel	Cheap Trick
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Edge Of A Broken Heart	Vixen
Downtown Life	Daryl Hall John Oates
Domino Dancing	Pet Shop Boys
Welcome To The Jungle	Guns N' Roses
Dance Little Sister	Terence Trent D'Arby
Finish What Ya Started	Van Halen
True Love	Glenn Frey
Small World	Huey Lewis & The News
Time And Tide	Basia
I'll Always Love You	Taylor Dayne
Spy In The House Of Love	Was (Not Was)
In Your Room	The Bangles
Every Rose Has Its Thorn	Poison
Till I Loved You	Barbra Streisand & Don Johnson
Please Don't Go Girl	New Kids On The Block
My Prerogative	Bobby Brown
It Takes Two	Rob Base & D.J. E-Z Rock
Not Just Another Girl	Ivan Neville
Early In The Morning	Robert Palmer
Symptoms Of True Love	Tracie Spencer
Any Love	Luther Vandross
Boy, I've Been Told	SaFire
I Hate Myself For Loving You	Joan Jett & the Blackhearts
One Good Woman	Peter Cetera
Sweet Child O' Mine	Guns N' Roses
Yeah, Yeah, Yeah	Judson Spence
Cars With The Boom	L'Trimm
You Came	Kim Wilde
I Remember Holding You	Boys Club
Never Let You Go	Sweet Sensation
Silhouette	Kenny G
The Way You Love Me	Karyn White
Didn't Know It Was Love	Survivor
If It Isn't Love	New Edition
Little Liar	Joan Jett & the Blackhearts
Hippy Hippy Shake (From "Cocktail")	The Georgia Satellites
Handle With Care	Traveling Wilburys
Thanks For My Child	Cheryl Pepsii Riley
I Can't Wait	Deniece Williams
Dancing Under A Latin Moon	Candi
Rock & Roll Strategy	Thirty Eight Special
Peek-A-Boo	Siouxsie & The Banshees
Simply Irresistible	Robert Palmer
Best Of Times	Peter Cetera
Don't Break My Heart	Romeo's Daughter
Strangelove	Depeche Mode
Put This Love To The Test	Jon Astley
Fallen Angel	Poison
Wild World	Maxi Priest
Girls Ain't Nothing But Trouble	D.J. Jazzy Jeff & The Fresh Prince
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
Don't Rush Me	Taylor Dayne
Forever Young	Alphaville
Ghost Town	Cheap Trick
Baby Can I Hold You	Tracy Chapman
It's Money That Matters	Randy Newman
Got A New Love	Good Question
Way Out	J.J. Fad
Spring Love (Come Back To Me)	Stevie B
You Make Me Work	Cameo
All This Time	Tiffany
Jealous Guy	John Lennon & The Plastic Ono Band
When The Children Cry	White Lion
When It's Love	Van Halen
I'm Not Your Man	Tommy Conwell And The Young Rumblers
Superstitious	Europe
Put A Little Love In Your Heart	Annie Lennox & Al Green
I Believe In You	Stryper
Nobody's Perfect	Mike + The Mechanics
The Lover In Me	Sheena Easton
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
