Lost In Your Eyes	Debbie Gibson
The Living Years	Mike + The Mechanics
You Got It (The Right Stuff)	New Kids On The Block
Roni	Bobby Brown
Paradise City	Guns N' Roses
Surrender To Me (From "Tequila Sunrise")	Ann Wilson & Robin Zander
Girl You Know It's True	Milli Vanilli
The Lover In Me	Sheena Easton
My Heart Can't Tell You No	Rod Stewart
Straight Up	Paula Abdul
Eternal Flame	The Bangles
Don't Tell Me Lies	Breathe
The Look	Roxette
What I Am	Edie Brickell & New Bohemians
I Beg Your Pardon	Kon Kan
You're Not Alone	Chicago
Wild Thing	Tone-Loc
Dreamin'	Vanessa Williams
Walk The Dinosaur	Was (Not Was)
Just Because	Anita Baker
She Drives Me Crazy	Fine Young Cannibals
Stand	R.E.M.
She Wants To Dance With Me	Rick Astley
A Little Respect	Erasure
You Got It	Roy Orbison
The Love In Your Eyes	Eddie Money
Superwoman	Karyn White
More Than You Know	Martika
Cryin'	Vixen
Born To Be My Baby	Bon Jovi
Your Mama Don't Dance	Poison
When I'm With You	Sheriff
Dial My Heart	The Boys
Walking Away	Information Society
She Won't Talk To Me	Luther Vandross
Feels So Good	Van Halen
Heaven Help Me	Deon Estus With George Michael
Second Chance	Thirty Eight Special
Orinoco Flow (Sail Away)	Enya
Room To Move	Animotion
When The Children Cry	White Lion
Thinking Of You	SaFire
I Wanna Have Some Fun	Samantha Fox
Can You Stand The Rain	New Edition
Sincerely Yours	Sweet Sensation (With Romeo J.D.)
Rocket	Def Leppard
Funky Cold Medina	Tone-Loc
24/7	Dino
The Last Mile	Cinderella
We've Saved The Best For Last	Kenny G
I'll Be There For You	Bon Jovi
Bring Down The Moon	Boy Meets Girl
All This Time	Tiffany
One	Metallica
The Way You Love Me	Karyn White
I Wanna Be The One	Stevie B
Angel Of Harlem	U2
Birthday Suit (From "Sing")	Johnny Kemp
After All (Love Theme From "Chances Are")	Cher & Peter Cetera
A Shoulder To Cry On	Tommy Page
Radio Romance	Tiffany
Driven Out	The Fixx
It's Only Love	Simply Red
Seventeen	Winger
Tribute (Right On)	The Pasadenas
End Of The Line	Traveling Wilburys
All She Wants Is	Duran Duran
Forever Your Girl	Paula Abdul
My Prerogative	Bobby Brown
Iko Iko (From "Rain Man")	The Belle Stars
Where Are You Now?	Jimmy Harnen With Synch
Fading Away	Will To Power
Don't Rush Me	Taylor Dayne
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
Every Rose Has Its Thorn	Poison
Never Had A Lot To Lose	Cheap Trick
Cult Of Personality	Living Colour
Into You	Giant Steps
Holding On	Steve Winwood
Halleluiah Man	Love And Money
Got It Made	Crosby, Stills, Nash & Young
Armageddon It	Def Leppard
This Time	Kiara (Duet With Shanice Wilson)
Good Life	Inner City
Let The River Run (Theme From "Working Girl")	Carly Simon
I Can't Face The Fact	Gina Go-Go
Wind Beneath My Wings (From "Beaches")	Bette Midler
Doctorin' The Tardis	The Timelords
Run To Paradise	Choirboys
Two Hearts	Phil Collins
I Remember Holding You	Boys Club
Tell Her	Kenny Loggins
Kokomo (From"Cocktail" )	The Beach Boys
Falling Out Of Love	Ivan Neville
Dear God	Midge Ure
The Great Commandment	Camouflage
Tears Run Rings	Marc Almond
Little Liar	Joan Jett & the Blackhearts
Shake For The Sheik	The Escape Club
Give Me The Keys (And I'll Drive You Crazy)	Huey Lewis & The News
