The Living Years	Mike + The Mechanics
Eternal Flame	The Bangles
Girl You Know It's True	Milli Vanilli
The Look	Roxette
My Heart Can't Tell You No	Rod Stewart
Lost In Your Eyes	Debbie Gibson
She Drives Me Crazy	Fine Young Cannibals
Walk The Dinosaur	Was (Not Was)
Roni	Bobby Brown
You're Not Alone	Chicago
Paradise City	Guns N' Roses
Dreamin'	Vanessa Williams
Don't Tell Me Lies	Breathe
Stand	R.E.M.
Just Because	Anita Baker
You Got It	Roy Orbison
Superwoman	Karyn White
You Got It (The Right Stuff)	New Kids On The Block
I Beg Your Pardon	Kon Kan
Your Mama Don't Dance	Poison
More Than You Know	Martika
Cryin'	Vixen
Straight Up	Paula Abdul
Heaven Help Me	Deon Estus With George Michael
Like A Prayer	Madonna
Funky Cold Medina	Tone-Loc
I'll Be There For You	Bon Jovi
Second Chance	Thirty Eight Special
Surrender To Me (From "Tequila Sunrise")	Ann Wilson & Robin Zander
Room To Move	Animotion
Rocket	Def Leppard
Thinking Of You	SaFire
Sincerely Yours	Sweet Sensation (With Romeo J.D.)
The Lover In Me	Sheena Easton
She Won't Talk To Me	Luther Vandross
Orinoco Flow (Sail Away)	Enya
The Love In Your Eyes	Eddie Money
Wild Thing	Tone-Loc
Feels So Good	Van Halen
One	Metallica
Radio Romance	Tiffany
24/7	Dino
After All (Love Theme From "Chances Are")	Cher & Peter Cetera
I Wanna Be The One	Stevie B
Forever Your Girl	Paula Abdul
Iko Iko (From "Rain Man")	The Belle Stars
Birthday Suit (From "Sing")	Johnny Kemp
Seventeen	Winger
Cult Of Personality	Living Colour
When I'm With You	Sheriff
Real Love	Jody Watley
A Shoulder To Cry On	Tommy Page
What I Am	Edie Brickell & New Bohemians
Bring Down The Moon	Boy Meets Girl
Driven Out	The Fixx
Tribute (Right On)	The Pasadenas
It's Only Love	Simply Red
Everlasting Love	Howard Jones
Where Are You Now?	Jimmy Harnen With Synch
Let The River Run (Theme From "Working Girl")	Carly Simon
She Wants To Dance With Me	Rick Astley
Dial My Heart	The Boys
Wind Beneath My Wings (From "Beaches")	Bette Midler
Can You Stand The Rain	New Edition
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
Born To Be My Baby	Bon Jovi
I Wanna Have Some Fun	Samantha Fox
A Little Respect	Erasure
Rock On (From "Dream A Little Dream")	Michael Damian
Hearts On Fire	Steve Winwood
We've Saved The Best For Last	Kenny G
Somebody Like You	Robbie Nevil
Soldier Of Love	Donny Osmond
I Only Wanna Be With You	Samantha Fox
When The Children Cry	White Lion
Good Life	Inner City
Walking Away	Information Society
End Of The Line	Traveling Wilburys
I Can't Face The Fact	Gina Go-Go
Fading Away	Will To Power
The Way You Love Me	Karyn White
All This Time	Tiffany
Halleluiah Man	Love And Money
Every Little Step	Bobby Brown
Run To Paradise	Choirboys
Do You Believe In Shame?	Duran Duran
My Prerogative	Bobby Brown
Downtown	One 2 Many
Working On It	Chris Rea
Livin' Right	Glenn Frey
The Last Mile	Cinderella
The Different Story (World Of Lust And Crime)	Peter Schilling
Never Had A Lot To Lose	Cheap Trick
Tell Her	Kenny Loggins
Walking Through Walls	The Escape Club
Dear God	Midge Ure
Voices Of Babylon	The Outfield
This Time	Kiara (Duet With Shanice Wilson)
Got It Made	Crosby, Stills, Nash & Young
Angel Of Harlem	U2
