Eternal Flame	The Bangles
Girl You Know It's True	Milli Vanilli
The Look	Roxette
My Heart Can't Tell You No	Rod Stewart
The Living Years	Mike + The Mechanics
She Drives Me Crazy	Fine Young Cannibals
Walk The Dinosaur	Was (Not Was)
Stand	R.E.M.
Dreamin'	Vanessa Williams
Lost In Your Eyes	Debbie Gibson
Like A Prayer	Madonna
You Got It	Roy Orbison
Superwoman	Karyn White
Just Because	Anita Baker
You're Not Alone	Chicago
Your Mama Don't Dance	Poison
Funky Cold Medina	Tone-Loc
More Than You Know	Martika
Heaven Help Me	Deon Estus With George Michael
I'll Be There For You	Bon Jovi
Paradise City	Guns N' Roses
Don't Tell Me Lies	Breathe
Roni	Bobby Brown
Second Chance	Thirty Eight Special
Room To Move	Animotion
Thinking Of You	SaFire
Rocket	Def Leppard
You Got It (The Right Stuff)	New Kids On The Block
Cryin'	Vixen
Sincerely Yours	Sweet Sensation (With Romeo J.D.)
Orinoco Flow (Sail Away)	Enya
Straight Up	Paula Abdul
I Beg Your Pardon	Kon Kan
After All (Love Theme From "Chances Are")	Cher & Peter Cetera
Radio Romance	Tiffany
Forever Your Girl	Paula Abdul
Real Love	Jody Watley
One	Metallica
Cult Of Personality	Living Colour
Iko Iko (From "Rain Man")	The Belle Stars
I Wanna Be The One	Stevie B
24/7	Dino
Seventeen	Winger
Birthday Suit (From "Sing")	Johnny Kemp
She Won't Talk To Me	Luther Vandross
Everlasting Love	Howard Jones
Surrender To Me (From "Tequila Sunrise")	Ann Wilson & Robin Zander
Wild Thing	Tone-Loc
The Love In Your Eyes	Eddie Money
A Shoulder To Cry On	Tommy Page
The Lover In Me	Sheena Easton
Rock On (From "Dream A Little Dream")	Michael Damian
Tribute (Right On)	The Pasadenas
Soldier Of Love	Donny Osmond
Wind Beneath My Wings (From "Beaches")	Bette Midler
Where Are You Now?	Jimmy Harnen With Synch
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
Driven Out	The Fixx
It's Only Love	Simply Red
Let The River Run (Theme From "Working Girl")	Carly Simon
Feels So Good	Van Halen
Electric Youth	Debbie Gibson
Hearts On Fire	Steve Winwood
I Only Wanna Be With You	Samantha Fox
When I'm With You	Sheriff
Somebody Like You	Robbie Nevil
Every Little Step	Bobby Brown
I'll Be Loving You (Forever)	New Kids On The Block
Bring Down The Moon	Boy Meets Girl
Can You Stand The Rain	New Edition
Voices Of Babylon	The Outfield
I Wanna Have Some Fun	Samantha Fox
Good Life	Inner City
Dial My Heart	The Boys
She Wants To Dance With Me	Rick Astley
Downtown	One 2 Many
Born To Be My Baby	Bon Jovi
I Can't Face The Fact	Gina Go-Go
Do You Believe In Shame?	Duran Duran
Run To Paradise	Choirboys
Working On It	Chris Rea
The Different Story (World Of Lust And Crime)	Peter Schilling
Buffalo Stance	Neneh Cherry
When The Children Cry	White Lion
What I Am	Edie Brickell & New Bohemians
Walking Through Walls	The Escape Club
Fading Away	Will To Power
We've Saved The Best For Last	Kenny G
When Love Comes To Town	U2 With B.B. King
End Of The Line	Traveling Wilburys
Come Out Fighting	Easterhouse
A Little Respect	Erasure
Baby Baby	Eighth Wonder
Repetition	Information Society
Livin' Right	Glenn Frey
Dear God	Midge Ure
My Prerogative	Bobby Brown
Halleluiah Man	Love And Money
The Way You Love Me	Karyn White
Walking Away	Information Society
