She Drives Me Crazy	Fine Young Cannibals
The Look	Roxette
Like A Prayer	Madonna
Eternal Flame	The Bangles
Girl You Know It's True	Milli Vanilli
Stand	R.E.M.
Funky Cold Medina	Tone-Loc
Superwoman	Karyn White
You Got It	Roy Orbison
Your Mama Don't Dance	Poison
I'll Be There For You	Bon Jovi
Heaven Help Me	Deon Estus With George Michael
Dreamin'	Vanessa Williams
Second Chance	Thirty Eight Special
Rocket	Def Leppard
Room To Move	Animotion
My Heart Can't Tell You No	Rod Stewart
Sincerely Yours	Sweet Sensation (With Romeo J.D.)
Thinking Of You	SaFire
After All (Love Theme From "Chances Are")	Cher & Peter Cetera
Real Love	Jody Watley
Forever Your Girl	Paula Abdul
Walk The Dinosaur	Was (Not Was)
Orinoco Flow (Sail Away)	Enya
The Living Years	Mike + The Mechanics
Cult Of Personality	Living Colour
Iko Iko (From "Rain Man")	The Belle Stars
Lost In Your Eyes	Debbie Gibson
Rock On (From "Dream A Little Dream")	Michael Damian
Soldier Of Love	Donny Osmond
Electric Youth	Debbie Gibson
I Wanna Be The One	Stevie B
Seventeen	Winger
Everlasting Love	Howard Jones
Wind Beneath My Wings (From "Beaches")	Bette Midler
Birthday Suit (From "Sing")	Johnny Kemp
One	Metallica
Every Little Step	Bobby Brown
Just Because	Anita Baker
A Shoulder To Cry On	Tommy Page
I'll Be Loving You (Forever)	New Kids On The Block
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
Where Are You Now?	Jimmy Harnen With Synch
Patience	Guns N' Roses
More Than You Know	Martika
You're Not Alone	Chicago
You Got It (The Right Stuff)	New Kids On The Block
Straight Up	Paula Abdul
Let The River Run (Theme From "Working Girl")	Carly Simon
Paradise City	Guns N' Roses
I Only Wanna Be With You	Samantha Fox
Voices Of Babylon	The Outfield
Tribute (Right On)	The Pasadenas
Hearts On Fire	Steve Winwood
24/7	Dino
Through The Storm	Aretha Franklin & Elton John
Don't Tell Me Lies	Breathe
Roni	Bobby Brown
Wild Thing	Tone-Loc
Downtown	One 2 Many
Buffalo Stance	Neneh Cherry
Cry	Waterfront
I Beg Your Pardon	Kon Kan
Somebody Like You	Robbie Nevil
Radio Romance	Tiffany
The Love In Your Eyes	Eddie Money
The Different Story (World Of Lust And Crime)	Peter Schilling
Driven Out	The Fixx
It's Only Love	Simply Red
Cryin'	Vixen
Circle	Edie Brickell & New Bohemians
When Love Comes To Town	U2 With B.B. King
Working On It	Chris Rea
Coming Home	Cinderella
Miss You Like Crazy	Natalie Cole
I'll Be You	The Replacements
Surrender To Me (From "Tequila Sunrise")	Ann Wilson & Robin Zander
Repetition	Information Society
The Lover In Me	Sheena Easton
Feels So Good	Van Halen
Little Jackie Wants To Be A Star	Lisa Lisa And Cult Jam
Come Out Fighting	Easterhouse
You Ain't Seen Nothing Yet	Figures On A Beach
When I'm With You	Sheriff
Good Life	Inner City
Can You Stand The Rain	New Edition
Do You Believe In Shame?	Duran Duran
Walking Through Walls	The Escape Club
Giving Up On Love	Rick Astley
I Can't Face The Fact	Gina Go-Go
Baby Baby	Eighth Wonder
Run To Paradise	Choirboys
Stop	Sam Brown
Similar Features	Melissa Etheridge
Closer Than Friends	Surface
I Wanna Have Some Fun	Samantha Fox
Cuddly Toy (Feel For Me)	Roachford
She Won't Talk To Me	Luther Vandross
Dial My Heart	The Boys
She Wants To Dance With Me	Rick Astley
