Good Thing	Fine Young Cannibals
Baby Don't Forget My Number	Milli Vanilli
If You Don't Know Me By Now	Simply Red
Express Yourself	Madonna
Toy Soldiers	Martika
I Drove All Night	Cyndi Lauper
Miss You Like Crazy	Natalie Cole
Satisfied	Richard Marx
Buffalo Stance	Neneh Cherry
What You Don't Know	Expose
The Doctor	The Doobie Brothers
Batdance (From "Batman")	Prince
I Won't Back Down	Tom Petty
This Time I Know It's For Real	Donna Summer
So Alive	Love And Rockets
Lay Your Hands On Me	Bon Jovi
Rooms On Fire	Stevie Nicks
Crazy About Her	Rod Stewart
On Our Own (From "Ghostbusters II")	Bobby Brown
Once Bitten Twice Shy	Great White
I'll Be Loving You (Forever)	New Kids On The Block
Who Do You Give Your Love To?	Michael Morales
I Like It	Dino
Wind Beneath My Wings (From "Beaches")	Bette Midler
My Brave Face	Paul McCartney
Into The Night	Benny Mardones
Down Boys	Warrant
Dressed For Success	Roxette
Send Me An Angel '89	Real Life
Every Little Step	Bobby Brown
Hey Baby	Henry Lee Summer
Secret Rendezvous	Karyn White
No More Rhyme	Debbie Gibson
Cry	Waterfront
I'm That Type Of Guy	LL Cool J
Cold Hearted	Paula Abdul
Headed For A Heartbreak	Winger
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
The End Of The Innocence	Don Henley
Friends	Jody Watley With Eric B. & Rakim
In Your Eyes (Theme From "Say Anything")	Peter Gabriel
Hooked On You	Sweet Sensation
Sacred Emotion	Donny Osmond
Right Here Waiting	Richard Marx
Me Myself And I	De La Soul
Fire Woman	The Cult
Forever Your Girl	Paula Abdul
In My Eyes	Stevie B
Be With You	The Bangles
Coming Home	Cinderella
Where Are You Now?	Jimmy Harnen With Synch
Angel Eyes	The Jeff Healey Band
Rock On (From "Dream A Little Dream")	Michael Damian
Cover Of Love	Michael Damian
Don't Wanna Lose You	Gloria Estefan
Calling It Love	Animotion
Veronica	Elvis Costello
Patience	Guns N' Roses
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
It Isn't, It Wasn't, It Ain't Never Gonna Be	Aretha Franklin/Whitney Houston
Right Next To Me	Whistle
Fascination Street	The Cure
We Can Last Forever	Chicago
Talk It Over	Grayson Hugh
Love Train	Holly Johnson
Trouble Me	10,000 Maniacs
Soul Provider	Michael Bolton
The Prisoner	Howard Jones
Shower Me With Your Love	Surface
Little Fighter	White Lion
Joy And Pain	Rob Base & D.J. E-Z Rock
Comin' Down Tonight	Thirty Eight Special
Don't Say You Love Me	Billy Squier
Soldier Of Love	Donny Osmond
Moonlight On Water	Kevin Raleigh
Real Love	Jody Watley
Dancing In Heaven (Orbital Be-Bop)	Q-feel
Pop Singer	John Mellencamp
Everlasting Love	Howard Jones
Yo No Se	Pajama Party
After All (Love Theme From "Chances Are")	Cher & Peter Cetera
Gonna Make It	SaFire
I Want It All	Queen
Tell Me I'm Not Dreaming	Robert Palmer
Come Home With Me Baby	Dead Or Alive
Thinking Of You	SaFire
I'll Be There For You	Bon Jovi
All I Want Is You	U2
If I Could Turn Back Time	Cher
Cuddly Toy (Feel For Me)	Roachford
18 And Life	Skid Row
Open Letter (To A Landlord)	Living Colour
Love Has Taken Its Toll	Saraya
You Are The One	TKA
Turned Away	Chuckii Booker
Closer Than Friends	Surface
(You're My One And Only) True Love	Seduction
Nothin (That Compares 2 U)	The Jacksons
My One Temptation	Mica Paris
Praying To A New God	Wang Chung
