Toy Soldiers	Martika
Batdance (From "Batman")	Prince
Express Yourself	Madonna
So Alive	Love And Rockets
On Our Own (From "Ghostbusters II")	Bobby Brown
If You Don't Know Me By Now	Simply Red
Lay Your Hands On Me	Bon Jovi
Once Bitten Twice Shy	Great White
I Like It	Dino
Right Here Waiting	Richard Marx
Crazy About Her	Rod Stewart
What You Don't Know	Expose
Cold Hearted	Paula Abdul
Dressed For Success	Roxette
Who Do You Give Your Love To?	Michael Morales
Good Thing	Fine Young Cannibals
Baby Don't Forget My Number	Milli Vanilli
Secret Rendezvous	Karyn White
I'm That Type Of Guy	LL Cool J
Hey Baby	Henry Lee Summer
No More Rhyme	Debbie Gibson
Friends	Jody Watley With Eric B. & Rakim
The End Of The Innocence	Don Henley
Don't Wanna Lose You	Gloria Estefan
The Doctor	The Doobie Brothers
Hangin' Tough	New Kids On The Block
Miss You Like Crazy	Natalie Cole
Headed For A Heartbreak	Winger
Sacred Emotion	Donny Osmond
Hooked On You	Sweet Sensation
Angel Eyes	The Jeff Healey Band
Send Me An Angel '89	Real Life
Buffalo Stance	Neneh Cherry
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
Me Myself And I	De La Soul
Cover Of Love	Michael Damian
In My Eyes	Stevie B
Shower Me With Your Love	Surface
18 And Life	Skid Row
Satisfied	Richard Marx
It Isn't, It Wasn't, It Ain't Never Gonna Be	Aretha Franklin/Whitney Houston
Wind Beneath My Wings (From "Beaches")	Bette Midler
If I Could Turn Back Time	Cher
I Drove All Night	Cyndi Lauper
I'll Be Loving You (Forever)	New Kids On The Block
Into The Night	Benny Mardones
Talk It Over	Grayson Hugh
The Prisoner	Howard Jones
Soul Provider	Michael Bolton
Heaven	Warrant
This Time I Know It's For Real	Donna Summer
In Your Eyes (Theme From "Say Anything")	Peter Gabriel
Trouble Me	10,000 Maniacs
Every Little Step	Bobby Brown
Down Boys	Warrant
I Won't Back Down	Tom Petty
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
Don't Say You Love Me	Billy Squier
Kisses On The Wind	Neneh Cherry
Little Fighter	White Lion
Fire Woman	The Cult
Tell Me I'm Not Dreaming	Robert Palmer
Right Next To Me	Whistle
Turned Away	Chuckii Booker
That's The Way	Katrina And The Waves
Forever Your Girl	Paula Abdul
Rooms On Fire	Stevie Nicks
Jackie Brown	John Mellencamp
Come Home With Me Baby	Dead Or Alive
Rock On (From "Dream A Little Dream")	Michael Damian
Joy And Pain	Rob Base & D.J. E-Z Rock
Forget Me Not	Bad English
One	Bee Gees
Closer To Fine	Indigo Girls
My Paradise	The Outfield
Gonna Make It	SaFire
Love Has Taken Its Toll	Saraya
Calling It Love	Animotion
(You're My One And Only) True Love	Seduction
My Brave Face	Paul McCartney
Bust A Move	Young M.C.
Pride & Passion	John Cafferty & The Beaver Brown Band
Comin' Down Tonight	Thirty Eight Special
Smooth Up	BulletBoys
Open Letter (To A Landlord)	Living Colour
Patience	Guns N' Roses
We Can Last Forever	Chicago
Let The Day Begin	The Call
Where Are You Now?	Jimmy Harnen With Synch
Put Your Mouth On Me	Eddie Murphy
Dancing In Heaven (Orbital Be-Bop)	Q-feel
You Better Dance	The Jets
Runnin' Down A Dream	Tom Petty
Coming Home	Cinderella
Nature Of Love	Waterfront
Love Cries	Stage Dolls
Nightrain	Guns N' Roses
Cry	Waterfront
Stop!	Erasure
I'll Be There For You	Bon Jovi
