Right Here Waiting	Richard Marx
Cold Hearted	Paula Abdul
Hangin' Tough	New Kids On The Block
Don't Wanna Lose You	Gloria Estefan
On Our Own (From "Ghostbusters II")	Bobby Brown
Secret Rendezvous	Karyn White
Once Bitten Twice Shy	Great White
The End Of The Innocence	Don Henley
Friends	Jody Watley With Eric B. & Rakim
Angel Eyes	The Jeff Healey Band
I Like It	Dino
Shower Me With Your Love	Surface
Sacred Emotion	Donny Osmond
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
Heaven	Warrant
18 And Life	Skid Row
If I Could Turn Back Time	Cher
Batdance (From "Batman")	Prince
Girl I'm Gonna Miss You	Milli Vanilli
Headed For A Heartbreak	Winger
So Alive	Love And Rockets
Talk It Over	Grayson Hugh
One	Bee Gees
Toy Soldiers	Martika
Soul Provider	Michael Bolton
Kisses On The Wind	Neneh Cherry
That's The Way	Katrina And The Waves
Cherish	Madonna
Lay Your Hands On Me	Bon Jovi
The Prisoner	Howard Jones
If You Don't Know Me By Now	Simply Red
Hooked On You	Sweet Sensation
I'm That Type Of Guy	LL Cool J
Put Your Mouth On Me	Eddie Murphy
It's Not Enough	Starship
Love Song	The Cure
Hey Ladies	Beastie Boys
Don't Look Back	Fine Young Cannibals
Runnin' Down A Dream	Tom Petty
Bust A Move	Young M.C.
No More Rhyme	Debbie Gibson
Turned Away	Chuckii Booker
Hey Baby	Henry Lee Summer
(You're My One And Only) True Love	Seduction
Forget Me Not	Bad English
Partyman	Prince
When I Looked At Him	Expose
Baby Don't Forget My Number	Milli Vanilli
What I Like About You	Michael Morales
It's No Crime	Babyface
Let The Day Begin	The Call
Closer To Fine	Indigo Girls
Cover Of Love	Michael Damian
Need A Little Taste Of Love	The Doobie Brothers
Express Yourself	Madonna
In My Eyes	Stevie B
Gypsy Road	Cinderella
Dressed For Success	Roxette
You Better Dance	The Jets
Love Cries	Stage Dolls
Little Fighter	White Lion
My First Night Without You	Cyndi Lauper
Oh Daddy	Adrian Belew
Listen To Your Heart	Roxette
Crazy About Her	Rod Stewart
Pride & Passion	John Cafferty & The Beaver Brown Band
Jackie Brown	John Mellencamp
Wind Beneath My Wings (From "Beaches")	Bette Midler
What About Me	Moving Pictures
Trouble Me	10,000 Maniacs
Smooth Up	BulletBoys
Me Myself And I	De La Soul
Who Do You Give Your Love To?	Michael Morales
Don't Say You Love Me	Billy Squier
And The Night Stood Still	Dion
Lay Down Your Arms	The Graces
Buffalo Stance	Neneh Cherry
Healing Hands	Elton John
Good Thing	Fine Young Cannibals
Love Has Taken Its Toll	Saraya
On The Line	Tangier
Let Go	Sharon Bryant
Don't Shut Me Out	Kevin Paige
Send Me An Angel '89	Real Life
Lay All Your Love On Me	Information Society
When The Radio Is On	Paul Shaffer
Nature Of Love	Waterfront
What You Don't Know	Expose
Ain't Too Proud To Beg	Rick Astley
My Paradise	The Outfield
Walkin' Shoes	Tora Tora
Rock Wit'cha	Bobby Brown
Still Cruisin'	The Beach Boys
Call It Love	Poco
Stand Up	Underworld
Into The Night	Benny Mardones
Right Next To Me	Whistle
Glamour Boys	Living Colour
Nightrain	Guns N' Roses
That's When I Think Of You	1927
