Cold Hearted	Paula Abdul
Right Here Waiting	Richard Marx
Hangin' Tough	New Kids On The Block
Don't Wanna Lose You	Gloria Estefan
Angel Eyes	The Jeff Healey Band
Heaven	Warrant
Secret Rendezvous	Karyn White
Shower Me With Your Love	Surface
The End Of The Innocence	Don Henley
Friends	Jody Watley With Eric B. & Rakim
If I Could Turn Back Time	Cher
Girl I'm Gonna Miss You	Milli Vanilli
18 And Life	Skid Row
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
On Our Own (From "Ghostbusters II")	Bobby Brown
Sacred Emotion	Donny Osmond
Once Bitten Twice Shy	Great White
I Like It	Dino
One	Bee Gees
Cherish	Madonna
Talk It Over	Grayson Hugh
Kisses On The Wind	Neneh Cherry
Soul Provider	Michael Bolton
That's The Way	Katrina And The Waves
Batdance (From "Batman")	Prince
So Alive	Love And Rockets
Put Your Mouth On Me	Eddie Murphy
Headed For A Heartbreak	Winger
It's Not Enough	Starship
Don't Look Back	Fine Young Cannibals
Love Song	The Cure
Toy Soldiers	Martika
The Prisoner	Howard Jones
Runnin' Down A Dream	Tom Petty
Bust A Move	Young M.C.
Hey Ladies	Beastie Boys
(You're My One And Only) True Love	Seduction
If You Don't Know Me By Now	Simply Red
When I Looked At Him	Expose
Partyman	Prince
It's No Crime	Babyface
Miss You Much	Janet Jackson
What I Like About You	Michael Morales
Turned Away	Chuckii Booker
I'm That Type Of Guy	LL Cool J
Forget Me Not	Bad English
Mixed Emotions	The Rolling Stones
Listen To Your Heart	Roxette
Lay Your Hands On Me	Bon Jovi
Need A Little Taste Of Love	The Doobie Brothers
Gypsy Road	Cinderella
Hooked On You	Sweet Sensation
Sowing The Seeds Of Love	Tears For Fears
Love Cries	Stage Dolls
Closer To Fine	Indigo Girls
Love In An Elevator	Aerosmith
Rock Wit'cha	Bobby Brown
Oh Daddy	Adrian Belew
Healing Hands	Elton John
What About Me	Moving Pictures
Baby Don't Forget My Number	Milli Vanilli
Lay Down Your Arms	The Graces
Little Fighter	White Lion
My First Night Without You	Cyndi Lauper
Dr. Feelgood	Motley Crue
No More Rhyme	Debbie Gibson
Hey Baby	Henry Lee Summer
Call It Love	Poco
In My Eyes	Stevie B
Express Yourself	Madonna
Dressed For Success	Roxette
On The Line	Tangier
Let The Day Begin	The Call
Don't Say You Love Me	Billy Squier
Pride & Passion	John Cafferty & The Beaver Brown Band
Let Go	Sharon Bryant
The Best	Tina Turner
Don't Shut Me Out	Kevin Paige
Buffalo Stance	Neneh Cherry
Wind Beneath My Wings (From "Beaches")	Bette Midler
Smooth Up	BulletBoys
When The Radio Is On	Paul Shaffer
You Better Dance	The Jets
Love Shack	The B-52s
Glamour Boys	Living Colour
Walkin' Shoes	Tora Tora
Stand Up	Underworld
Me Myself And I	De La Soul
Lay All Your Love On Me	Information Society
Who Do You Give Your Love To?	Michael Morales
Crazy About Her	Rod Stewart
Love Has Taken Its Toll	Saraya
Puss N' Boots/These Boots (Are Made For Walkin')	Kon Kan
Trouble Me	10,000 Maniacs
Still Cruisin'	The Beach Boys
I Feel The Earth Move	Martika
Cover Of Love	Michael Damian
Ain't Too Proud To Beg	Rick Astley
Jackie Brown	John Mellencamp
And The Night Stood Still	Dion
