Black Velvet	Alannah Myles
Love Will Lead You Back	Taylor Dayne
Escapade	Janet Jackson
Roam	The B-52s
I Wish It Would Rain Down	Phil Collins
I'll Be Your Everything	Tommy Page
All Around The World	Lisa Stansfield
I Go To Extremes	Billy Joel
Keep It Together	Madonna
Get Up! (Before The Night Is Over)	Technotronic
C'mon And Get My Love	D-Mob Introducing Cathy Dennis
Don't Wanna Fall In Love	Jane Child
No Myth	Michael Penn
No More Lies	Michel'le
Here And Now	Luther Vandross
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Forever	KISS
Just A Friend	Biz Markie
Sacrifice	Elton John
Price Of Love	Bad English
Dangerous	Roxette
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
Whole Wide World (From "True Love")	A'me Lorain
I Wanna Be Rich	Calloway
Too Late To Say Goodbye	Richard Marx
Without You	Motley Crue
Sometimes She Cries	Warrant
How Can We Be Lovers	Michael Bolton
Here We Are	Gloria Estefan
Love Me For Life	Stevie B
Heartbeat	Seduction
Whip Appeal	Babyface
Nothing Compares 2 U	Sinead O'Connor
The Deeper The Love	Whitesnake
We Can't Go Wrong	The Cover Girls
Heart Of Stone	Cher
You're The Only Woman	The Brat Pack
Anything I Want	Kevin Paige
If U Were Mine	The U-Krew
The Heart Of The Matter	Don Henley
Personal Jesus	Depeche Mode
Sending All My Love	Linear
Wild Women Do (From "Pretty Woman")	Natalie Cole
True Blue Love	Lou Gramm
What It Takes	Aerosmith
A Face In The Crowd	Tom Petty
Blue Sky Mine	Midnight Oil
Fly High Michelle	Enuff Z'Nuff
Got To Get	Leila K With Rob 'N' Raz
Love Child	Sweet Sensation
All Or Nothing	Milli Vanilli
The Secret Garden	Quincy Jones
Lambada	Kaoma
Room At The Top	Adam Ant
Summer Rain	Belinda Carlisle
Hold On	Wilson Phillips
Two To Make It Right	Seduction
Make It Like It Was	Regina Belle
Have A Heart	Bonnie Raitt
A Girl Like You	The Smithereens
Almost Hear You Sigh	The Rolling Stones
This Old Heart Of Mine	Rod Stewart With Ronald Isley
The Humpty Dance	Digital Underground
Bust A Move	Young M.C.
If You Leave Me Now	Jaya
Living In Oblivion	Anything Box
How Am I Supposed To Live Without You	Michael Bolton
What Kind Of Man Would I Be?	Chicago
Expression	Salt-N-Pepa
Time After Time	Timmy T.
House Of Pain	Faster Pussycat
A Little Love	Corey Hart
Love Song	Tesla
I Remember You	Skid Row
The Way It Is	Tesla
Whatcha Gonna Do With My Lovin'	Inner City
Dirty Deeds	Joan Jett
Real Love	Skyy
Anytime	McAuley Schenker Group
Hide And Seek	Pajama Party
Don't Know Much	Linda Ronstadt (Featuring Aaron Neville)
Janie's Got A Gun	Aerosmith
Downtown Train	Rod Stewart
I'll Be There	Joyce "Fenderella" Irby
Me So Horny	The 2 Live Crew
99 Worlds	Peter Wolf
Back To Life	Soul II Soul
Hurting Kind (I've Got My Eyes On You)	Robert Plant
Advice For The Young At Heart	Tears For Fears
I Come Off	Young M.C.
House Of Broken Love	Great White
You Can't Get Away	Shana
I'll See You In My Dreams	Giant
Precious Love	Jody Watley
Cuts You Up	Peter Murphy
Bad Love	Eric Clapton
You're The Voice	John Farnham
Free Fallin'	Tom Petty
Pump Up The Jam	Technotronic Featuring Felly
There's A Party Going On	Yvonne
