I'll Be Your Everything	Tommy Page
Don't Wanna Fall In Love	Jane Child
All Around The World	Lisa Stansfield
Nothing Compares 2 U	Sinead O'Connor
Love Will Lead You Back	Taylor Dayne
I Wanna Be Rich	Calloway
Here And Now	Luther Vandross
Get Up! (Before The Night Is Over)	Technotronic
Forever	KISS
Black Velvet	Alannah Myles
I Wish It Would Rain Down	Phil Collins
How Can We Be Lovers	Michael Bolton
Whole Wide World (From "True Love")	A'me Lorain
Without You	Motley Crue
Whip Appeal	Babyface
Heartbeat	Seduction
What It Takes	Aerosmith
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Sending All My Love	Linear
Heart Of Stone	Cher
Love Child	Sweet Sensation
The Heart Of The Matter	Don Henley
Escapade	Janet Jackson
If U Were Mine	The U-Krew
Hold On	Wilson Phillips
All I Wanna Do Is Make Love To You	Heart
Room At The Top	Adam Ant
This Old Heart Of Mine	Rod Stewart With Ronald Isley
Keep It Together	Madonna
Alright	Janet Jackson
The Secret Garden	Quincy Jones
No More Lies	Michel'le
The Humpty Dance	Digital Underground
Wild Women Do (From "Pretty Woman")	Natalie Cole
Roam	The B-52s
Just A Friend	Biz Markie
Your Baby Never Looked Good In Blue	Expose
Poison	Bell Biv DeVoe
Vogue	Madonna
C'mon And Get My Love	D-Mob Introducing Cathy Dennis
Dangerous	Roxette
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
Make It Like It Was	Regina Belle
True Blue Love	Lou Gramm
Sacrifice	Elton John
Love Me For Life	Stevie B
Expression	Salt-N-Pepa
A Little Love	Corey Hart
It Must Have Been Love (From "Pretty Woman")	Roxette
Lambada	Kaoma
Time After Time	Timmy T.
House Of Pain	Faster Pussycat
No Myth	Michael Penn
Have A Heart	Bonnie Raitt
I Go To Extremes	Billy Joel
Hurting Kind (I've Got My Eyes On You)	Robert Plant
Price Of Love	Bad English
Save Me	Fleetwood Mac
The Way It Is	Tesla
I'll See You In My Dreams	Giant
Sometimes She Cries	Warrant
Here We Are	Gloria Estefan
Cruising For Bruising	Basia
Ready Or Not	After 7
Getting Away With It	Electronic
Oye Mi Canto (Hear My Voice)	Gloria Estefan
Cuts You Up	Peter Murphy
All That Glitters Isn't Gold	The Cover Girls
Blue Sky Mine	Midnight Oil
You're The Only Woman	The Brat Pack
Moonlight On Water	Laura Branigan
Got To Get	Leila K With Rob 'N' Raz
Living In Oblivion	Anything Box
Baby, It's Tonight	Jude Cole
I Come Off	Young M.C.
The Deeper The Love	Whitesnake
Always And Forever	Whistle
Bust A Move	Young M.C.
Hide And Seek	Pajama Party
Heaven Is A 4 Letter Word	Bad English
A Face In The Crowd	Tom Petty
Fly High Michelle	Enuff Z'Nuff
How 'Bout Us (From "True Love")	Grayson Hugh & Betty Wright
Ooh La La (I Can't Get Over You)	Perfect Gentlemen
Personal Jesus	Depeche Mode
You Can't Get Away	Shana
A Girl Like You	The Smithereens
Too Late To Say Goodbye	Richard Marx
The Ballad Of Jayne	L.A. Guns
You Make Me Feel (Mighty Real)	Jimmy Somerville
Anytime	McAuley Schenker Group
Spin That Wheel	Hi Tek 3 Featuring Ya Kid K
We Can't Go Wrong	The Cover Girls
Get A Life	Soul II Soul
Dub Be Good To Me	Beats International
Enjoy The Silence	Depeche Mode
Summer Rain	Belinda Carlisle
Nicety	Michel'le
House Of Broken Love	Great White
Two To Make It Right	Seduction
