Nothing Compares 2 U	Sinead O'Connor
Vogue	Madonna
I Wanna Be Rich	Calloway
All I Wanna Do Is Make Love To You	Heart
How Can We Be Lovers	Michael Bolton
Hold On	Wilson Phillips
Sending All My Love	Linear
Alright	Janet Jackson
What It Takes	Aerosmith
Poison	Bell Biv DeVoe
Whip Appeal	Babyface
Don't Wanna Fall In Love	Jane Child
This Old Heart Of Mine	Rod Stewart With Ronald Isley
All Around The World	Lisa Stansfield
Love Child	Sweet Sensation
It Must Have Been Love (From "Pretty Woman")	Roxette
Room At The Top	Adam Ant
The Humpty Dance	Digital Underground
U Can't Touch This	M.C. Hammer
Without You	Motley Crue
Your Baby Never Looked Good In Blue	Expose
Heartbeat	Seduction
Ooh La La (I Can't Get Over You)	Perfect Gentlemen
Ready Or Not	After 7
I'll Be Your Everything	Tommy Page
Here And Now	Luther Vandross
Expression	Salt-N-Pepa
House Of Pain	Faster Pussycat
Black Velvet	Alannah Myles
Turtle Power	Partners In Kryme
The Heart Of The Matter	Don Henley
Hold On	En Vogue
Baby, It's Tonight	Jude Cole
Love Will Lead You Back	Taylor Dayne
Save Me	Fleetwood Mac
Do You Remember?	Phil Collins
I'll See You In My Dreams	Giant
Children Of The Night	Richard Marx
Whole Wide World (From "True Love")	A'me Lorain
Cruising For Bruising	Basia
Getting Away With It	Electronic
Just A Friend	Biz Markie
I'll Be Your Shelter	Taylor Dayne
If U Were Mine	The U-Krew
Get Up! (Before The Night Is Over)	Technotronic
Always And Forever	Whistle
Enjoy The Silence	Depeche Mode
Deadbeat Club	The B-52s
Rub You The Right Way	Johnny Gill
All That Glitters Isn't Gold	The Cover Girls
Nicety	Michel'le
Time After Time	Timmy T.
Forever	KISS
Sittin' In The Lap Of Luxury	Louie Louie
Get A Life	Soul II Soul
No More Lies	Michel'le
I Wish It Would Rain Down	Phil Collins
Notice Me	Nikki
Dare To Fall In Love	Brent Bourgeois
Oye Mi Canto (Hear My Voice)	Gloria Estefan
Coming Of Age	Damn Yankees
Cuts You Up	Peter Murphy
The Secret Garden	Quincy Jones
Up All Night	Slaughter
That's The Way Of The World	D-Mob With Cathy Dennis
Moonlight On Water	Laura Branigan
The Ballad Of Jayne	L.A. Guns
Girls Nite Out	Tyler Collins
Love Is	Alannah Myles
Cradle Of Love (From "Ford Fairlane")	Billy Idol
The Downeaster "Alexa"	Billy Joel
This & That	Michael Penn
Pictures Of You	The Cure
Club At The End Of The Street	Elton John
A Little Love	Corey Hart
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Heaven Is A 4 Letter Word	Bad English
"B" Girls	Young And Restless
Spin That Wheel	Hi Tek 3 Featuring Ya Kid K
Hurting Kind (I've Got My Eyes On You)	Robert Plant
The Power	Snap!
Drag My Bad Name Down	The 4 Of Us
Try To Find Me	Gorky Park
Bad Of The Heart	George LaMond
The Way It Is	Tesla
Shake	Andrew Ridgeley
When I Dream Of You	Tommy Page
Mentirosa	Mellow Man Ace
Lambada	Kaoma
Dub Be Good To Me	Beats International
How 'Bout Us (From "True Love")	Grayson Hugh & Betty Wright
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
Only My Heart Talkin'	Alice Cooper
Counting The Days	Joey Kid
Jealous Again	The Black Crowes
When Something Is Wrong With My Baby	Linda Ronstadt (Featuring Aaron Neville)
Blues Before And After	The Smithereens
Hide And Seek	Pajama Party
Escapade	Janet Jackson
Heart Of Stone	Cher
