Love Takes Time	Mariah Carey
Pray	M.C. Hammer
More Than Words Can Say	Alias
Groove Is In The Heart	Deee-Lite
I'm Your Baby Tonight	Whitney Houston
Ice Ice Baby	Vanilla Ice
Something To Believe In	Poison
Because I Love You (The Postman Song)	Stevie B
I Don't Have The Heart	James Ingram
From A Distance	Bette Midler
Knockin' Boots	Candyman
Feels Good	Tony Toni Tone
Giving You The Benefit	Pebbles
So Close	Daryl Hall John Oates
Black Cat	Janet Jackson
Hippychick	Soho
The Way You Do The Things You Do	UB40
Stranded	Heart
Impulsive	Wilson Phillips
Cherry Pie	Warrant
Can't Stop	After 7
High Enough	Damn Yankees
Close To You	Maxi Priest
Tom's Diner	DNA Featuring Suzanne Vega
Wiggle It	2 In A Room
Freedom	George Michael
Lyin' To Myself	David Cassidy
Unchained Melody	The Righteous Brothers
Joey	Concrete Blonde
Miracle (From "Young Guns II")	Jon Bon Jovi
My Love Is A Fire	Donny Osmond
B.B.D. (I Thought It Was Me)?	Bell Biv DeVoe
Think	Information Society
Sensitivity	Ralph Tresvant
Heart Like A Wheel	The Human League
Unchained Melody	The Righteous Brothers
Suicide Blonde	INXS
Miles Away	Winger
One And Only Man	Steve Winwood
Everybody Everybody	Black Box
(Can't Live Without Your) Love And Affection	Nelson
Missunderstanding	Al B. Sure!
Fly To the Angels	Slaughter
Fairweather Friend	Johnny Gill
And So It Goes	Billy Joel
Justify My Love	Madonna
On The Way Up	Elisa Fiorillo
After The Rain	Nelson
The First Time	Surface
For You	The Outfield
Praying For Time	George Michael
Romeo	Dino
Hang In Long Enough	Phil Collins
Livin' In The Light	Caron Wheeler
Something Happened On The Way To Heaven	Phil Collins
Just Another Dream	Cathy Dennis
Wherever Would I Be	Cheap Trick
Do Me!	Bell Biv DeVoe
I Wanna Get With U	Guy
Oh Girl	Paul Young
I'm Not In Love	Will To Power
Each And Every Time	Sweet Sensation
Tic-Tac-Toe	Kyper
New Power Generation	Prince
Say A Prayer	Breathe
Tick Tock	Vaughan Brothers
Hard To Handle	The Black Crowes
Blaze Of Glory (From "Young Guns II")	Jon Bon Jovi
The Boomin' System	LL Cool J
Gentle	Dino
So Hard	Pet Shop Boys
Never Enough	The Cure
New York Minute	Don Henley
Gonna Make You Sweat (Everybody Dance Now)	C+C Music Factory
Anything Is Possible	Debbie Gibson
Dream Boy/Dream Girl	Cynthia & Johnny O
Crazy	The Boys
Let's Try It Again	New Kids On The Block
Release Me	Wilson Phillips
Does She Love That Man?	Breathe Featuring David Glasper
Me-U=Blue	Glenn Medeiros (Featuring The Stylistics)
You're Amazing	Robert Palmer
I Found Love	The Party
Love Is A Killer	Vixen
Policy Of Truth	Depeche Mode
Dirty Cash (Money Talks)	The Adventures Of Stevie V
If You Needed Somebody	Bad Company
Love Is The Ritual	Styx
Love Will Never Do (Without You)	Janet Jackson
Love Is A Rock	REO Speedwagon
Doin' The Do	Betty Boo
I'm Free	The Soup Dragons
Falling To Pieces	Faith No More
The Ghetto	Too $hort
Rockin' Over The Beat	Technotronic
Heart Of Stone	Taylor Dayne
Ooops Up	Snap!
My, My, My	Johnny Gill
I Don't Love You Anymore	The London Quireboys
Don't You Wanna Be Mine	Denise Lopez
