The First Time	Surface
Love Will Never Do (Without You)	Janet Jackson
Gonna Make You Sweat (Everybody Dance Now)	C+C Music Factory
Sensitivity	Ralph Tresvant
High Enough	Damn Yankees
Justify My Love	Madonna
Play That Funky Music	Vanilla Ice
After The Rain	Nelson
I'm Not In Love	Will To Power
Just Another Dream	Cathy Dennis
All The Man That I Need	Whitney Houston
I'll Give All My Love To You	Keith Sweat
From A Distance	Bette Midler
Because I Love You (The Postman Song)	Stevie B
Disappear	INXS
Tom's Diner	DNA Featuring Suzanne Vega
I Saw Red	Warrant
Where Does My Heart Beat Now	Celine Dion
Miles Away	Winger
Around The Way Girl	LL Cool J
Love Makes Things Happen	Pebbles
Impulsive	Wilson Phillips
One More Try	Timmy T.
The Way You Do The Things You Do	UB40
Someday	Mariah Carey
Wicked Game	Chris Isaak
I Don't Know Anybody Else	Black Box
Heat Of The Moment	After 7
Moneytalks	AC/DC
I'm Your Baby Tonight	Whitney Houston
For You	The Outfield
Love Takes Time	Mariah Carey
If You Needed Somebody	Bad Company
The Shoop Shoop Song (It's In His Kiss)	Cher
Candy	Iggy Pop With Kate Pierson
Something To Believe In	Poison
Wiggle It	2 In A Room
Shelter Me	Cinderella
This House	Tracie Spencer
Show Me The Way	Styx
Deeper Shade Of Soul	Urban Dance Squad
Freedom	George Michael
Does She Love That Man?	Breathe Featuring David Glasper
It Never Rains (In Southern California)	Tony Toni Tone
Iesha	Another Bad Creation
All This Time	Sting
Unchained Melody	The Righteous Brothers
Waiting For Love	Alias
No Matter What	George LaMond (Duet With Brenda K. Starr)
You're Amazing	Robert Palmer
Round And Round	Tevin Campbell
The Ghetto	Too $hort
Waiting For That Day	George Michael
Anything Is Possible	Debbie Gibson
Coming Out Of The Dark	Gloria Estefan
You Gotta Love Someone	Elton John
I'll Do 4 U	Father M.C.
This Is Ponderous	2nu
Get Here	Oleta Adams
Spend My Life	Slaughter
Signs	Tesla
New York Minute	Don Henley
Stranded	Heart
Miracle (From "Young Guns II")	Jon Bon Jovi
Don't Hold Back Your Love	Daryl Hall John Oates
Groove Is In The Heart	Deee-Lite
Gentle	Dino
Hold You Tight	Tara Kemp
Just A Little Bit Longer	Maxi Priest
Hang In Long Enough	Phil Collins
Power Of Love	Deee-Lite
Something In My Heart	Michel'le
I Wanna Get With U	Guy
Feels Good	Tony Toni Tone
Here Comes The Hammer	M.C. Hammer
I've Been Waiting For You	Guys Next Door
More Than Words Can Say	Alias
One And Only Man	Steve Winwood
Melt In Your Mouth	Candyman
House Full Of Reasons	Jude Cole
On The Way Up	Elisa Fiorillo
Chasin' The Wind	Chicago
Sure Lookin'	Donny Osmond
Hard To Handle	The Black Crowes
Remember My Name	House Of Lords
When Will I See You Smile Again?	Bell Biv DeVoe
So Close	Daryl Hall John Oates
Fairweather Friend	Johnny Gill
Go For It! (Heart And Fire)	Joey B. Ellis & Tynetta Hare
Knockin' Boots	Candyman
Ice Ice Baby	Vanilla Ice
Night And Day	Bette Midler
Use It Up And Wear It Out	Pat & Mick
World In My Eyes	Depeche Mode
Jealousy	The Adventures Of Stevie V
Give It To Me Good	Trixter
Close To Me	The Cure
Pray	M.C. Hammer
I Don't Have The Heart	James Ingram
My Love Is A Fire	Donny Osmond
