Baby Baby	Amy Grant
Joyride	Roxette
You're In Love	Wilson Phillips
I Like The Way (The Kissing Game)	Hi-Five
Here We Go	C+C Music Factory/F. Williams
I've Been Thinking About You	Londonbeat
Cry For Help	Rick Astley
Touch Me (All Night Long)	Cathy Dennis
I Touch Myself	Divinyls
Hold You Tight	Tara Kemp
Sadeness Part 1	Enigma
Rhythm Of My Heart	Rod Stewart
Voices That Care	Voices That Care
Just The Way It Is, Baby	The Rembrandts
I Don't Wanna Cry	Mariah Carey
Rico Suave	Gerardo
Iesha	Another Bad Creation
Silent Lucidity	Queensryche
More Than Ever	Nelson
Save Some Love	Keedy
Written All Over Your Face	The Rude Boys
You Don't Have To Go Home Tonight	The Triplets
More Than Words	Extreme
Mercy Mercy Me (The Ecology)/I Want You	Robert Palmer
Losing My Religion	R.E.M.
Signs	Tesla
One More Try	Timmy T.
Coming Out Of The Dark	Gloria Estefan
Round And Round	Tevin Campbell
Love Is A Wonderful Thing	Michael Bolton
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
It's A Shame (My Sister)	Monie Love Featuring True Image
Don't Treat Me Bad	Firehouse
What Comes Naturally	Sheena Easton
Miracle	Whitney Houston
This House	Tracie Spencer
She Talks To Angels	The Black Crowes
My Heart Is Failing Me	Riff
Someday	Mariah Carey
Strike It Up	Black Box
How Much Is Enough	The Fixx
Do You Want Me	Salt-N-Pepa
Let's Chill	Guy
Heartbreak Station	Cinderella
How To Dance	Bingo Boys Featuring Princessa
Here I Am (Come And Take Me)	UB40
People Are Still Having Sex	LaTour
Bitter Tears	INXS
Mama Said Knock You Out	LL Cool J
Something In My Heart	Michel'le
Love At First Sight	Styx
(If There Was) Any Other Way	Celine Dion
Together Forever	Lisette Melendez
Unbelievable	EMF
Where Does My Heart Beat Now	Celine Dion
Couple Days Off	Huey Lewis & The News
Step On	Happy Mondays
Walking In Memphis	Marc Cohn
Seal Our Fate	Gloria Estefan
That's Why	The Party
The Star Spangled Banner	Whitney Houston
I'll Be By Your Side	Stevie B
Power Of Love/Love Power	Luther Vandross
Get Here	Oleta Adams
Right Here, Right Now	Jesus Jones
Playground	Another Bad Creation
Wicked Game	Chris Isaak
Show Me The Way	Styx
All The Man That I Need	Whitney Houston
Whatever You Want	Tony Toni Tone
Stone Cold Gentleman	Ralph Tresvant
I'll Never Let You Go	Steelheart
Another Like My Lover	Jasmine Guy
Crazy	Daisy Dee
How Can I Ease The Pain	Lisa Fischer
Come Again	Damn Yankees
Around The Way Girl	LL Cool J
New Jack Hustler (Nino's Theme) (From "New Jack City")	Ice-T
All True Man	Alexander O'Neal
Going Through The Motions	Aftershock
Word Of Mouth	Mike + The Mechanics
Gonna Make You Sweat (Everybody Dance Now)	C+C Music Factory
Backyard	Pebbles (With Salt-N-Pepa)
Feel The Groove	Cartouche
Dream Lover	The Rebel Pebbles
Waiting For Love	Alias
Uncle Tom's Cabin	Warrant
Never Gonna Let You Down	Surface
I'll Do 4 U	Father M.C.
Love Me Forever Or Love Me Not	Trilogy
I Don't Want To Lose Your Love	B Angie B
One In A Million	Trixter
Good Heart	Starship
Temple Of Love	Harriet
Does Anybody Really Fall In Love Anymore?	Kane Roberts
Nightgown	Candyman
Call It Poison	The Escape Club
Call It Rock N' Roll	Great White
All This Time	Sting
Baby's Coming Back	Jellyfish
