More Than Words	Extreme
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
Rush Rush	Paula Abdul
I Don't Wanna Cry	Mariah Carey
Love Is A Wonderful Thing	Michael Bolton
Losing My Religion	R.E.M.
I Like The Way (The Kissing Game)	Hi-Five
Unbelievable	EMF
Miracle	Whitney Houston
Power Of Love/Love Power	Luther Vandross
Strike It Up	Black Box
Silent Lucidity	Queensryche
Touch Me (All Night Long)	Cathy Dennis
Rhythm Of My Heart	Rod Stewart
Couple Days Off	Huey Lewis & The News
Written All Over Your Face	The Rude Boys
Playground	Another Bad Creation
Here We Go	C+C Music Factory/F. Williams
Baby Baby	Amy Grant
Don't Treat Me Bad	Firehouse
I Touch Myself	Divinyls
Mama Said Knock You Out	LL Cool J
Right Here, Right Now	Jesus Jones
Do You Want Me	Salt-N-Pepa
Here I Am (Come And Take Me)	UB40
We Want The Funk	Gerardo
Walking In Memphis	Marc Cohn
What Comes Naturally	Sheena Easton
Joyride	Roxette
Love At First Sight	Styx
How Can I Ease The Pain	Lisa Fischer
Gypsy Woman (She's Homeless)	Crystal Waters
Place In This World	Michael W. Smith
I'll Never Let You Go	Steelheart
Never Gonna Let You Down	Surface
You Don't Have To Go Home Tonight	The Triplets
A Better Love	Londonbeat
Piece Of My Heart	Tara Kemp
Voices That Care	Voices That Care
Lily Was Here	David A. Stewart Introducing Candy Dulfer
(If There Was) Any Other Way	Celine Dion
My Heart Is Failing Me	Riff
Does Anybody Really Fall In Love Anymore?	Kane Roberts
Dream Lover	The Rebel Pebbles
People Are Still Having Sex	LaTour
Cry For Help	Rick Astley
More Than Ever	Nelson
She Talks To Angels	The Black Crowes
P.A.S.S.I.O.N.	Rhythm Syndicate
The Dream Is Still Alive	Wilson Phillips
Temptation	Corina
Going Through The Motions	Aftershock
See The Lights	Simple Minds
Life Goes On	Poison
You Can't Play With My Yo-Yo	Yo-Yo Featuring Ice Cube
I'll Be There	The Escape Club
Come Again	Damn Yankees
It's A Shame (My Sister)	Monie Love Featuring True Image
Exclusivity	Damian Dame
Part Of Me, Part Of You	Glenn Frey
Kissing You	Keith Washington
Save Some Love	Keedy
This Time Make It Funky	Tracie Spencer
It Ain't Over 'til It's Over	Lenny Kravitz
Kisses In The Night	Brandon
Over And Over	Timmy T.
I've Been Thinking About You	Londonbeat
Whatever You Want	Tony Toni Tone
Hold You Tight	Tara Kemp
Round And Round	Tevin Campbell
I Don't Want To Lose Your Love	B Angie B
You're In Love	Wilson Phillips
Nights Like This (From "The Five Heartbeats")	After 7
Higher Than Hope	Daryl Braithwaite
Can I Call You My Girl	PC Quest
Where The Streets Have No Name	Pet Shop Boys
Elevate My Mind	Stereo MC's
Feel The Groove	Cartouche
Wind Of Change	Scorpions
Iesha	Another Bad Creation
Ooh La La	David Hallyday
Love Desire	Sandee
Just The Way It Is, Baby	The Rembrandts
Dirty Love	Thunder
My Body Says Yes	Titiyo
New Jack Hustler (Nino's Theme) (From "New Jack City")	Ice-T
Forever Amo'r	D'zyre
Someone	The Rembrandts
Lift Me Up	Yes
Can't Forget You	Gloria Estefan
Together Forever	Lisette Melendez
What A Price To Pay	Michael Damian
Crazy	Daisy Dee
Surrender	Trixter
Mercy Mercy Me (The Ecology)/I Want You	Robert Palmer
How Much Is Enough	The Fixx
One More Try	Timmy T.
Something In My Heart	Michel'le
Sadeness Part 1	Enigma
Bitter Tears	INXS
