Rush Rush	Paula Abdul
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
Unbelievable	EMF
Power Of Love/Love Power	Luther Vandross
Losing My Religion	R.E.M.
More Than Words	Extreme
Right Here, Right Now	Jesus Jones
Love Is A Wonderful Thing	Michael Bolton
Strike It Up	Black Box
Playground	Another Bad Creation
Gypsy Woman (She's Homeless)	Crystal Waters
Here I Am (Come And Take Me)	UB40
Place In This World	Michael W. Smith
How Can I Ease The Pain	Lisa Fischer
Walking In Memphis	Marc Cohn
I Don't Wanna Cry	Mariah Carey
Piece Of My Heart	Tara Kemp
Lily Was Here	David A. Stewart Introducing Candy Dulfer
Never Gonna Let You Down	Surface
P.A.S.S.I.O.N.	Rhythm Syndicate
A Better Love	Londonbeat
I Like The Way (The Kissing Game)	Hi-Five
Couple Days Off	Huey Lewis & The News
Do You Want Me	Salt-N-Pepa
The Dream Is Still Alive	Wilson Phillips
I'll Never Let You Go	Steelheart
Summertime	D.J. Jazzy Jeff & The Fresh Prince
It Ain't Over 'til It's Over	Lenny Kravitz
Temptation	Corina
Every Heartbeat	Amy Grant
I'll Be There	The Escape Club
We Want The Funk	Gerardo
Mama Said Knock You Out	LL Cool J
Fading Like A Flower (Every Time You Leave)	Roxette
Life Goes On	Poison
Wind Of Change	Scorpions
You Can't Play With My Yo-Yo	Yo-Yo Featuring Ice Cube
Love And Understanding	Cher
Does Anybody Really Fall In Love Anymore?	Kane Roberts
See The Lights	Simple Minds
Kissing You	Keith Washington
Exclusivity	Damian Dame
Love At First Sight	Styx
Don't Treat Me Bad	Firehouse
Here We Go	C+C Music Factory/F. Williams
Motownphilly	Boyz II Men
Nights Like This (From "The Five Heartbeats")	After 7
Touch Me (All Night Long)	Cathy Dennis
Rhythm Of My Heart	Rod Stewart
Elevate My Mind	Stereo MC's
Baby Baby	Amy Grant
Silent Lucidity	Queensryche
(Everything I Do) I Do It For You	Bryan Adams
My Body Says Yes	Titiyo
Higher Than Hope	Daryl Braithwaite
Can't Forget You	Gloria Estefan
Miracle	Whitney Houston
I Can't Wait Another Minute	Hi-Five
Joyride	Roxette
Part Of Me, Part Of You	Glenn Frey
Ooh La La	David Hallyday
Love Desire	Sandee
Can I Call You My Girl	PC Quest
What A Price To Pay	Michael Damian
Dirty Love	Thunder
What Comes Naturally	Sheena Easton
Crazy	Seal
Only Time Will Tell	Nelson
Hard To Handle	The Black Crowes
I Touch Myself	Divinyls
3 A.M. Eternal	The KLF
Love On A Rooftop	Desmond Child
Going Through The Motions	Aftershock
Kisses In The Night	Brandon
Let The Beat Hit 'Em	Lisa Lisa And Cult Jam
Written All Over Your Face	The Rude Boys
Surrender	Trixter
Forever Amo'r	D'zyre
Your Love	Keith Sweat
Someone	The Rembrandts
Love Of A Lifetime	Firehouse
Voices That Care	Voices That Care
Where The Streets Have No Name	Pet Shop Boys
With You	Tony Terry
Move Right Out	Rick Astley
This Time Make It Funky	Tracie Spencer
Learning To Fly	Tom Petty And The Heartbreakers
Summer Vacation	The Party
Can You Stop The Rain	Peabo Bryson
Break Up To Make Up	Cynthia
More Than Ever	Nelson
Love Gets Rough	Troy Newman
Now That We Found Love	Heavy D & The Boyz
It's A Shame (My Sister)	Monie Love Featuring True Image
Borrowed Love	Bingo Boys
Cry For Help	Rick Astley
You Don't Have To Go Home Tonight	The Triplets
She Talks To Angels	The Black Crowes
Blind Faith	Warrant
Lift Me Up	Yes
