Unbelievable	EMF
Rush Rush	Paula Abdul
Right Here, Right Now	Jesus Jones
(Everything I Do) I Do It For You	Bryan Adams
P.A.S.S.I.O.N.	Rhythm Syndicate
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
Piece Of My Heart	Tara Kemp
Place In This World	Michael W. Smith
Summertime	D.J. Jazzy Jeff & The Fresh Prince
Here I Am (Come And Take Me)	UB40
Lily Was Here	David A. Stewart Introducing Candy Dulfer
Every Heartbeat	Amy Grant
It Ain't Over 'til It's Over	Lenny Kravitz
The Dream Is Still Alive	Wilson Phillips
Temptation	Corina
Fading Like A Flower (Every Time You Leave)	Roxette
Power Of Love/Love Power	Luther Vandross
I'll Be There	The Escape Club
Gypsy Woman (She's Homeless)	Crystal Waters
Wind Of Change	Scorpions
More Than Words	Extreme
Walking In Memphis	Marc Cohn
I'll Never Let You Go	Steelheart
I Can't Wait Another Minute	Hi-Five
Love And Understanding	Cher
Do You Want Me	Salt-N-Pepa
How Can I Ease The Pain	Lisa Fischer
A Better Love	Londonbeat
3 A.M. Eternal	The KLF
Motownphilly	Boyz II Men
Nights Like This (From "The Five Heartbeats")	After 7
Losing My Religion	R.E.M.
Playground	Another Bad Creation
Crazy	Seal
Never Gonna Let You Down	Surface
Hard To Handle	The Black Crowes
You Could Be Mine	Guns N' Roses
Now That We Found Love	Heavy D & The Boyz
Elevate My Mind	Stereo MC's
The Promise Of A New Day	Paula Abdul
The Motown Song	Rod Stewart
Time, Love And Tenderness	Michael Bolton
Too Many Walls	Cathy Dennis
Kissing You	Keith Washington
Only Time Will Tell	Nelson
My Body Says Yes	Titiyo
Can't Forget You	Gloria Estefan
Let The Beat Hit 'Em	Lisa Lisa And Cult Jam
Things That Make You Go Hmmmm. . .	C+C Music Factory
You Can't Play With My Yo-Yo	Yo-Yo Featuring Ice Cube
Love Of A Lifetime	Firehouse
I Don't Wanna Cry	Mariah Carey
Love On A Rooftop	Desmond Child
Unforgettable	Natalie Cole
Strike It Up	Black Box
Dirty Love	Thunder
Exclusivity	Damian Dame
Can I Call You My Girl	PC Quest
Just Like You	Robbie Nevil
Learning To Fly	Tom Petty And The Heartbreakers
Ooh La La	David Hallyday
Love Desire	Sandee
Love Is A Wonderful Thing	Michael Bolton
Can You Stop The Rain	Peabo Bryson
What A Price To Pay	Michael Damian
Higher Than Hope	Daryl Braithwaite
I Like The Way (The Kissing Game)	Hi-Five
With You	Tony Terry
Don't Treat Me Bad	Firehouse
Break Up To Make Up	Cynthia
Borrowed Love	Bingo Boys
Life Goes On	Poison
Your Love	Keith Sweat
Mama Said Knock You Out	LL Cool J
Pop Goes The Weasel	3rd Bass
Got A Love For You	Jomanda
The Sound Of Your Voice	38 Special
Pump It (Nice An' Hard)	Icy Blu
Forever Amo'r	D'zyre
It Hit Me Like A Hammer	Huey Lewis & The News
Surrender	Trixter
Good Vibrations	Marky Mark & The Funky Bunch Featuring Loleatta Holloway
Something To Talk About	Bonnie Raitt
Shake It (Like A White Girl)	Jesse Jaymes
Monster	Fred Schneider
My Fallen Angel	Coro
Everybody Plays The Fool	Aaron Neville
Blind Faith	Warrant
Part Of Me, Part Of You	Glenn Frey
Does Anybody Really Fall In Love Anymore?	Kane Roberts
See The Lights	Simple Minds
Latin Active	Lighter Shade Of Brown Featuring Teardrop & Shiro
Someone	The Rembrandts
There She Goes	The La's
Perfect World	Alias
Couple Days Off	Huey Lewis & The News
Love At First Sight	Styx
Gotta Have You (From "Jungle Fever")	Stevie Wonder
Wanna Dance	Yasmin
Move Right Out	Rick Astley
