Emotions	Mariah Carey
Do Anything	Natural Selection
Romantic	Karyn White
Hole Hearted	Extreme
Something To Talk About	Bonnie Raitt
Good Vibrations	Marky Mark & The Funky Bunch Featuring Loleatta Holloway
I Adore Mi Amor	Color Me Badd
Everybody Plays The Fool	Aaron Neville
Can't Stop This Thing We Started	Bryan Adams
Love. . .Thy Will Be Done	Martika
Cream	Prince And The N.P.G.
Real Real Real	Jesus Jones
Love Of A Lifetime	Firehouse
Motownphilly	Boyz II Men
Don't Want To Be A Fool	Luther Vandross
O.P.P.	Naughty By Nature
Enter Sandman	Metallica
The One And Only	Chesney Hawkes
Running Back To You	Vanessa Williams
Hey Donna	Rhythm Syndicate
Don't Cry	Guns N' Roses
Gett Off	Prince And The N.P.G.
Kiss Them For Me	Siouxsie & The Banshees
Set The Night To Music	Roberta Flack With Maxi Priest
With You	Tony Terry
Let's Talk About Sex	Salt-N-Pepa
I Wonder Why	Curtis Stigers
Walk Through Fire	Bad Company
Now That We Found Love	Heavy D & The Boyz
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
That's What Love Is For	Amy Grant
When A Man Loves A Woman	Michael Bolton
(Everything I Do) I Do It For You	Bryan Adams
Shiny Happy People	R.E.M.
Power Windows	Billy Falcon
Time, Love And Tenderness	Michael Bolton
Just Want To Hold You	Jasmine Guy
Too Many Walls	Cathy Dennis
My Heart Belongs To You	Russ Irwin
Get A Leg Up	John Mellencamp
Things That Make You Go Hmmmm. . .	C+C Music Factory
Straight To Your Heart	Bad English
After The Summer's Gone	PC Quest
Wind Of Change	Scorpions
Street Of Dreams	Nia Peeples
The Devil Came Up To Michigan	K.M.C. KRU
Blowing Kisses In The Wind	Paula Abdul
Lies	EMF
The Real Love	Bob Seger & The Silver Bullet Band
Set Adrift On Memory Bliss	P.M. Dawn
Something Got Me Started	Simply Red
The Promise Of A New Day	Paula Abdul
I Can't Wait Another Minute	Hi-Five
Never Stop	The Brand New Heavies Featuring N'Dea Davenport
Rush	Big Audio
Top Of The World	Van Halen
Whispers	Corina
Mind Playing Tricks On Me	Geto Boys
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
For You	Michael W. Smith
I'll Be There	The Escape Club
A Day In My Life (Without You)	Lisette Melendez
Groovy Train	The Farm
Heaven In The Back Seat	Eddie Money
The Truth	Tami Show
Can't Truss It	Public Enemy
Finally	CeCe Peniston
The Motown Song	Rod Stewart
Sometimes (It's A Bitch)	Stevie Nicks
Superman's Song	Crash Test Dummies
3 A.M. Eternal	The KLF
Everyotherday	Or-N-More (Featuring Father M.C.)
Live For Loving You	Gloria Estefan
Ballad Of Youth	Richie Sambora
Unforgettable	Natalie Cole
Crazy	Seal
Primal Scream	Motley Crue
Angel Baby	Angelica
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
All I Need Is You	Blue Train
You're The Story Of My Life	Desmond Child
I'm Not Your Puppet	Hi-C
She's Gone (Lady)	Steelheart
Why Can't You Come Home	Ex-Girlfriend
Tender Kisses	Tracie Spencer
Cool As Ice (Everybody Get Loose)	Vanilla Ice
Skat Strut	MC Skat Kat & The Stray Mob
Louder Than Love	TKA
Face The Music	RTZ
Broken Arrow	Rod Stewart
Fall At Your Feet	Crowded House
Save Up All Your Tears	Cher
Stand By My Woman	Lenny Kravitz
Tonite	DJ Quik
Low Rider (On The Boulevard)	Latin Alliance Featuring War
Every Heartbeat	Amy Grant
The Sound Of Your Voice	38 Special
Chorus	Erasure
Good Time	Ziggy Marley And The Melody Makers
You Could Be Mine	Guns N' Roses
