Black Or White	Michael Jackson
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
All 4 Love	Color Me Badd
Set Adrift On Memory Bliss	P.M. Dawn
When A Man Loves A Woman	Michael Bolton
Can't Let Go	Mariah Carey
Blowing Kisses In The Wind	Paula Abdul
Finally	CeCe Peniston
2 Legit 2 Quit	M.C. Hammer
Wildside	Marky Mark & The Funky Bunch
That's What Love Is For	Amy Grant
Keep Coming Back	Richard Marx
No Son Of Mine	Genesis
Cream	Prince And The N.P.G.
O.P.P.	Naughty By Nature
Let's Talk About Sex	Salt-N-Pepa
Smells Like Teen Spirit	Nirvana
Don't Cry	Guns N' Roses
Don't Let The Sun Go Down On Me	George Michael/Elton John
Addams Groove	M.C. Hammer
Can't Stop This Thing We Started	Bryan Adams
Live For Loving You	Gloria Estefan
Set The Night To Music	Roberta Flack With Maxi Priest
Broken Arrow	Rod Stewart
I Love Your Smile	Shanice
Mysterious Ways	U2
Do Anything	Natural Selection
Forever My Lady	Jodeci
Romantic	Karyn White
Diamonds And Pearls	Prince And The N.P.G.
Change	Lisa Stansfield
Tell Me What You Want Me To Do	Tevin Campbell
Street Of Dreams	Nia Peeples
Spending My Time	Roxette
The Way I Feel About You	Karyn White
Love Me All Up	Stacy Earl
Emotions	Mariah Carey
Angel Baby	Angelica
Mind Playing Tricks On Me	Geto Boys
Save Up All Your Tears	Cher
Keep It Comin'	Keith Sweat
Tender Kisses	Tracie Spencer
Running Back To You	Vanessa Williams
Home Sweet Home	Motley Crue
I've Got A Lot To Learn About Love	The Storm
I Wonder Why	Curtis Stigers
Enter Sandman	Metallica
Top Of The World	Van Halen
Housecall	Shabba Ranks (Featuring Maxi Priest)
Is It Good To You	Heavy D & The Boyz
Too Blind To See It	Kym Sims
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
The Unforgiven	Metallica
Shot Of Poison	Lita Ford
In My Dreams	The Party
I Can't Make You Love Me	Bonnie Raitt
Send Me An Angel	Scorpions
Can't Truss It	Public Enemy
Hearts Don't Think (They Feel)	Natural Selection
All She Wrote	Firehouse
I Wanna Be Your Girl	Icy Blu
Ain't Gonna Hurt Nobody	Kid 'N Play
On A Sunday Afternoon	Lighter Shade Of Brown
Kiss You Back	Digital Underground
Just A Touch Of Love	C+C Music Factory Presents Zelma Davis
Groovy Train	The Farm
I'm Too Sexy	Right Said Fred
A Day In My Life (Without You)	Lisette Melendez
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
The Comfort Zone	Vanessa Williams
I Want You	Jody Watley
Pop That Coochie	The 2 Live Crew
No More Tears	Ozzy Osbourne
Whispers	Corina
Love Crazy	Atlantic Starr
In Paradise	Laissez Faire
Within My Heart	Voyce
Uhh Ahh	Boyz II Men
Get A Leg Up	John Mellencamp
All Through The Night	Tone-Loc
Conviction Of The Heart	Kenny Loggins
To Be With You	Mr. Big
Rush	Big Audio
Real Real Real	Jesus Jones
I'll Get By	Eddie Money
Every Road Leads Back To You	Bette Midler
There Will Never Be Another Tonight	Bryan Adams
Insatiable	Prince And The N.P.G.
Move Any Mountain	The Shamen
Right Down To It	Damian Dame
The Fly	U2
What Time Is Love?	The KLF
Give It Away	Red Hot Chili Peppers
Something Got Me Started	Simply Red
Live And Let Die	Guns N' Roses
Everybody Move	Cathy Dennis
Groovin'	UB40
Just Another Girlfriend	Hi-Five
Lies	EMF
All I Need Is You	Blue Train
