All 4 Love	Color Me Badd
Can't Let Go	Mariah Carey
Don't Let The Sun Go Down On Me	George Michael/Elton John
Black Or White	Michael Jackson
Finally	CeCe Peniston
Diamonds And Pearls	Prince And The N.P.G.
I Love Your Smile	Shanice
Smells Like Teen Spirit	Nirvana
Mysterious Ways	U2
I'm Too Sexy	Right Said Fred
2 Legit 2 Quit	M.C. Hammer
Tell Me What You Want Me To Do	Tevin Campbell
No Son Of Mine	Genesis
The Way I Feel About You	Karyn White
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
Addams Groove	M.C. Hammer
Set Adrift On Memory Bliss	P.M. Dawn
Wildside	Marky Mark & The Funky Bunch
Keep It Comin'	Keith Sweat
Broken Arrow	Rod Stewart
That's What Love Is For	Amy Grant
When A Man Loves A Woman	Michael Bolton
To Be With You	Mr. Big
Live For Loving You	Gloria Estefan
Keep Coming Back	Richard Marx
Love Me All Up	Stacy Earl
Blowing Kisses In The Wind	Paula Abdul
I've Got A Lot To Learn About Love	The Storm
I Can't Make You Love Me	Bonnie Raitt
Uhh Ahh	Boyz II Men
Change	Lisa Stansfield
Good For Me	Amy Grant
Hearts Don't Think (They Feel)	Natural Selection
In My Dreams	The Party
Forever My Lady	Jodeci
Is It Good To You	Heavy D & The Boyz
O.P.P.	Naughty By Nature
Can't Stop This Thing We Started	Bryan Adams
I'll Get By	Eddie Money
Don't Cry	Guns N' Roses
Too Blind To See It	Kym Sims
There Will Never Be Another Tonight	Bryan Adams
Save Up All Your Tears	Cher
Send Me An Angel	Scorpions
Vibeology	Paula Abdul
Spending My Time	Roxette
Set The Night To Music	Roberta Flack With Maxi Priest
Live And Let Die	Guns N' Roses
Home Sweet Home	Motley Crue
The Unforgiven	Metallica
On A Sunday Afternoon	Lighter Shade Of Brown
Cream	Prince And The N.P.G.
Remember The Time	Michael Jackson
Angel Baby	Angelica
I Wanna Be Your Girl	Icy Blu
Mind Playing Tricks On Me	Geto Boys
Kiss You Back	Digital Underground
Tender Kisses	Tracie Spencer
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Ain't Gonna Hurt Nobody	Kid 'N Play
I Want You	Jody Watley
Move Any Mountain	The Shamen
Street Of Dreams	Nia Peeples
All She Wrote	Firehouse
The Comfort Zone	Vanessa Williams
Paper Doll	P.M. Dawn
In Paradise	Laissez Faire
Stay	Jodeci
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
Top Of The World	Van Halen
Until Your Love Comes Back Around	RTZ
The Rush	Luther Vandross
Housecall	Shabba Ranks (Featuring Maxi Priest)
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
Whispers	Corina
Oochie Coochie	M.C. Brains
Shot Of Poison	Lita Ford
Missing You Now	Michael Bolton
Blinded By Love	Rhythm Syndicate
Beauty And The Beast	Celine Dion And Peabo Bryson
There's No Other Way	Blur
Every Road Leads Back To You	Bette Midler
Hold On (Tighter To Love)	Clubland
A Day In My Life (Without You)	Lisette Melendez
She Ain't Pretty	The Northern Pikes
Within My Heart	Voyce
Can't Truss It	Public Enemy
Insatiable	Prince And The N.P.G.
Cold Shower	Erin Cruise
Butt Naked	Charm
Pop That Coochie	The 2 Live Crew
Stars	Simply Red
All Through The Night	Tone-Loc
Give It Away	Red Hot Chili Peppers
What Goes Around Comes Around	Giggles
I'll Take You There	BeBe & CeCe Winans Featuring Mavis Staples
Everlasting Love	Tony Terry
Just A Touch Of Love	C+C Music Factory Presents Zelma Davis
No More Tears	Ozzy Osbourne
