I'm Too Sexy	Right Said Fred
I Love Your Smile	Shanice
Diamonds And Pearls	Prince And The N.P.G.
Don't Let The Sun Go Down On Me	George Michael/Elton John
To Be With You	Mr. Big
All 4 Love	Color Me Badd
Tell Me What You Want Me To Do	Tevin Campbell
Remember The Time	Michael Jackson
Smells Like Teen Spirit	Nirvana
Can't Let Go	Mariah Carey
Finally	CeCe Peniston
Mysterious Ways	U2
The Way I Feel About You	Karyn White
Good For Me	Amy Grant
2 Legit 2 Quit	M.C. Hammer
Vibeology	Paula Abdul
Keep It Comin'	Keith Sweat
I Can't Make You Love Me	Bonnie Raitt
Masterpiece	Atlantic Starr
Black Or White	Michael Jackson
Uhh Ahh	Boyz II Men
Missing You Now	Michael Bolton
I'll Get By	Eddie Money
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Addams Groove	M.C. Hammer
No Son Of Mine	Genesis
Save The Best For Last	Vanessa Williams
Paper Doll	P.M. Dawn
I Can't Dance	Genesis
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
There Will Never Be Another Tonight	Bryan Adams
Hearts Don't Think (They Feel)	Natural Selection
Set Adrift On Memory Bliss	P.M. Dawn
Live And Let Die	Guns N' Roses
Justified And Ancient	The KLF Featuring Tammy Wynette
Tears In Heaven	Eric Clapton
Broken Arrow	Rod Stewart
Thinkin' Back	Color Me Badd
I've Got A Lot To Learn About Love	The Storm
Until Your Love Comes Back Around	RTZ
Is It Good To You	Heavy D & The Boyz
What Becomes Of The Brokenhearted	Paul Young
On A Sunday Afternoon	Lighter Shade Of Brown
Too Blind To See It	Kym Sims
Oochie Coochie	M.C. Brains
Move Any Mountain	The Shamen
Wildside	Marky Mark & The Funky Bunch
Beauty And The Beast	Celine Dion And Peabo Bryson
Love Me All Up	Stacy Earl
Stay	Jodeci
Live For Loving You	Gloria Estefan
Kiss You Back	Digital Underground
I Wanna Be Your Girl	Icy Blu
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
You Showed Me	Salt-N-Pepa
Again Tonight	John Mellencamp
When A Man Loves A Woman	Michael Bolton
Forever My Lady	Jodeci
The Unforgiven	Metallica
In My Dreams	The Party
Mind Playing Tricks On Me	Geto Boys
Keep Coming Back	Richard Marx
Blowing Kisses In The Wind	Paula Abdul
Change	Lisa Stansfield
We Got A Love Thang	CeCe Peniston
Angel Baby	Angelica
In Paradise	Laissez Faire
Send Me An Angel	Scorpions
Stars	Simply Red
Spending My Time	Roxette
Tender Kisses	Tracie Spencer
Ain't Gonna Hurt Nobody	Kid 'N Play
You Are The One	Chris Cuevas
Too Much Passion	The Smithereens
I Want You	Jody Watley
Blinded By Love	Rhythm Syndicate
Save Up All Your Tears	Cher
Hazard	Richard Marx
Home Sweet Home	Motley Crue
What Goes Around Comes Around	Giggles
Hold On (Tighter To Love)	Clubland
Everything's Gonna Be Alright	Naughty By Nature
I Need Money	Marky Mark & The Funky Bunch
Can't Cry Hard Enough	The Williams Brothers
Street Of Dreams	Nia Peeples
Right Now	Van Halen
Within My Heart	Voyce
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
Boom! I Got Your Boyfriend	MC Luscious
Everlasting Love	Tony Terry
Mama, I'm Coming Home	Ozzy Osbourne
The Rush	Luther Vandross
All She Wrote	Firehouse
Cold Shower	Erin Cruise
The Comfort Zone	Vanessa Williams
How I Could Just Kill A Man/The Phuncky Feel One	Cypress Hill
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
Top Of The World	Van Halen
The Globe	Big Audio
There's No Other Way	Blur
