To Be With You	Mr. Big
I'm Too Sexy	Right Said Fred
Remember The Time	Michael Jackson
Save The Best For Last	Vanessa Williams
Tears In Heaven	Eric Clapton
I Love Your Smile	Shanice
Masterpiece	Atlantic Starr
Tell Me What You Want Me To Do	Tevin Campbell
Diamonds And Pearls	Prince And The N.P.G.
Good For Me	Amy Grant
I Can't Dance	Genesis
Missing You Now	Michael Bolton
Justified And Ancient	The KLF Featuring Tammy Wynette
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Beauty And The Beast	Celine Dion And Peabo Bryson
If You Go Away	NKOTB
Uhh Ahh	Boyz II Men
Don't Let The Sun Go Down On Me	George Michael/Elton John
Smells Like Teen Spirit	Nirvana
Make It Happen	Mariah Carey
All 4 Love	Color Me Badd
Thinkin' Back	Color Me Badd
I'll Get By	Eddie Money
What Becomes Of The Brokenhearted	Paul Young
Finally	CeCe Peniston
Until Your Love Comes Back Around	RTZ
Oochie Coochie	M.C. Brains
Vibeology	Paula Abdul
The Way I Feel About You	Karyn White
We Got A Love Thang	CeCe Peniston
Mysterious Ways	U2
I Can't Make You Love Me	Bonnie Raitt
Hazard	Richard Marx
Everything Changes	Kathy Troccoli
Can't Let Go	Mariah Carey
Romeo & Juliet	Stacy Earl (Featuring The Wild Pair)
2 Legit 2 Quit	M.C. Hammer
Paper Doll	P.M. Dawn
Again Tonight	John Mellencamp
Too Much Passion	The Smithereens
Keep It Comin'	Keith Sweat
Mama, I'm Coming Home	Ozzy Osbourne
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
Stars	Simply Red
Stay	Jodeci
Move Any Mountain	The Shamen
Church Of Your Heart	Roxette
Ain't 2 Proud 2 Beg	TLC
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
Is It Good To You	Heavy D & The Boyz
You Showed Me	Salt-N-Pepa
Can't Cry Hard Enough	The Williams Brothers
Kiss You Back	Digital Underground
Too Blind To See It	Kym Sims
On A Sunday Afternoon	Lighter Shade Of Brown
What Goes Around Comes Around	Giggles
I'm The One You Need	Jody Watley
Right Now	Van Halen
No Son Of Mine	Genesis
Everything's Gonna Be Alright	Naughty By Nature
Black Or White	Michael Jackson
You Are The One	Chris Cuevas
Live And Learn	Joe Public
I Need Money	Marky Mark & The Funky Bunch
Addams Groove	M.C. Hammer
Live And Let Die	Guns N' Roses
The Choice Is Yours	Black Sheep
Boom! I Got Your Boyfriend	MC Luscious
Do Not Pass Me By	M.C. Hammer
I Wanna Be Your Girl	Icy Blu
Take Time	Chris Walker
The Globe	Big Audio
Thought I'd Died And Gone To Heaven	Bryan Adams
There Will Never Be Another Tonight	Bryan Adams
In Paradise	Laissez Faire
One	U2
Nu Nu	Lidell Townsell
All Woman	Lisa Stansfield
The Unforgiven	Metallica
Kissing The Wind	Nia Peeples
Don't Lose The Magic	Shawn Christopher
Caribbean Blue	Enya
Poor Georgie	MC Lyte
Wildside	Marky Mark & The Funky Bunch
Love Me All Up	Stacy Earl
Everlasting Love	Tony Terry
How I Could Just Kill A Man/The Phuncky Feel One	Cypress Hill
Ain't Gonna Hurt Nobody	Kid 'N Play
Hold On (Tighter To Love)	Clubland
Don't Be Afraid	Aaron Hall
You Think You Know Her	Cause And Effect
Keep Coming Back	Richard Marx
She's Got That Vibe	R. Kelly & Public Announcement
Change	Lisa Stansfield
Peace Of Mind (Love Goes On)	One 2 One
It's Over Now	L.A. Guns
Do You Want It Right Now	Degrees Of Motion
Only Love Can Break Your Heart	St. Etienne
In My Dreams	The Party
Juice (Know The Ledge)	Eric B. & Rakim
