Jump	Kris Kross
Save The Best For Last	Vanessa Williams
Tears In Heaven	Eric Clapton
Bohemian Rhapsody	Queen
My Lovin' (You're Never Gonna Get It)	En Vogue
Ain't 2 Proud 2 Beg	TLC
Make It Happen	Mariah Carey
Masterpiece	Atlantic Starr
Hazard	Richard Marx
Live And Learn	Joe Public
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Beauty And The Beast	Celine Dion And Peabo Bryson
One	U2
Everything Changes	Kathy Troccoli
Everything About You	Ugly Kid Joe
Remember The Time	Michael Jackson
I Can't Dance	Genesis
Human Touch/Better Days	Bruce Springsteen
Thought I'd Died And Gone To Heaven	Bryan Adams
To Be With You	Mr. Big
We Got A Love Thang	CeCe Peniston
I'm The One You Need	Jody Watley
I'm Too Sexy	Right Said Fred
Under The Bridge	Red Hot Chili Peppers
Will You Marry Me?	Paula Abdul
Let's Get Rocked	Def Leppard
Good For Me	Amy Grant
Thinkin' Back	Color Me Badd
Justified And Ancient	The KLF Featuring Tammy Wynette
I Love Your Smile	Shanice
Money Don't Matter 2 Night	Prince And The N.P.G.
Take Time	Chris Walker
Mama, I'm Coming Home	Ozzy Osbourne
Come As You Are	Nirvana
Missing You Now	Michael Bolton
Nothing Else Matters	Metallica
Nu Nu	Lidell Townsell
Romeo & Juliet	Stacy Earl (Featuring The Wild Pair)
All 4 Love	Color Me Badd
Oochie Coochie	M.C. Brains
Tell Me What You Want Me To Do	Tevin Campbell
Finally	CeCe Peniston
Baby Got Back	Sir Mix-A-Lot
Don't Be Afraid	Aaron Hall
High	The Cure
In The Closet	Michael Jackson
What Goes Around Comes Around	Giggles
Love Me	Tracie Spencer
Uhh Ahh	Boyz II Men
Diamonds And Pearls	Prince And The N.P.G.
Church Of Your Heart	Roxette
Please Don't Go	Boyz II Men
Tennessee	Arrested Development
You Think You Know Her	Cause And Effect
Come & Talk To Me	Jodeci
All Woman	Lisa Stansfield
Everything's Gonna Be Alright	Naughty By Nature
Damn I Wish I Was Your Lover	Sophie B. Hawkins
She's Got That Vibe	R. Kelly & Public Announcement
Just Take My Heart	Mr. Big
Too Much Passion	The Smithereens
3-2-1 Pump	Redhead Kingpin & The F.B.I.
The Choice Is Yours	Black Sheep
You Showed Me	Salt-N-Pepa
If You Go Away	NKOTB
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
Can't Cry Hard Enough	The Williams Brothers
It's Over Now	L.A. Guns
Lift Me Up	Howard Jones
Why Me Baby?	Keith Sweat
This Is The Last Time	Laura Enea
I'll Get By	Eddie Money
Until Your Love Comes Back Around	RTZ
What Becomes Of The Brokenhearted	Paul Young
Not The Only One	Bonnie Raitt
Boom! I Got Your Boyfriend	MC Luscious
I Wanna Rock	Luke
It's Not A Love Thing	Geoffrey Williams
Stay	Jodeci
If You Asked Me To	Celine Dion
Silent Prayer	Shanice
Don't Talk Just Kiss	Right Said Fred
I Will Remember You	Amy Grant
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
Helluva	Brotherhood Creed
Love You All My Lifetime	Chaka Khan
Just Another Day	Jon Secada
Maria	TKA
If You Want It	2nd II None
Right Now	Van Halen
What You Give	Tesla
Your Song	Rod Stewart
Goodbye	Tevin Campbell
Do Not Pass Me By	M.C. Hammer
Smells Like Nirvana	"Weird Al" Yankovic
Stars	Simply Red
Again Tonight	John Mellencamp
The Life Of Riley	Lightning Seeds
No Sunshine	Kid Frost
James Brown Is Dead	L.A. Style
