Baby Got Back	Sir Mix-A-Lot
I'll Be There	Mariah Carey
Under The Bridge	Red Hot Chili Peppers
Jump	Kris Kross
If You Asked Me To	Celine Dion
Damn I Wish I Was Your Lover	Sophie B. Hawkins
Achy Breaky Heart	Billy Ray Cyrus
My Lovin' (You're Never Gonna Get It)	En Vogue
Tennessee	Arrested Development
Wishing On A Star	The Cover Girls
The Best Things In Life Are Free	Luther Vandross And Janet Jackson With BBD And Ralph Tresvant
Too Funky	George Michael
Just Another Day	Jon Secada
Life Is A Highway	Tom Cochrane
Hold On My Heart	Genesis
Baby-Baby-Baby	TLC
Come & Talk To Me	Jodeci
Live And Learn	Joe Public
Slow Motion	Color Me Badd
Friday I'm In Love	The Cure
Warm It Up	Kris Kross
In The Closet	Michael Jackson
Keep On Walkin'	CeCe Peniston
You Won't See Me Cry	Wilson Phillips
Do It To Me	Lionel Richie
November Rain	Guns N' Roses
Just For Tonight	Vanessa Williams
Ain't 2 Proud 2 Beg	TLC
Just Take My Heart	Mr. Big
Giving Him Something He Can Feel	En Vogue
I Will Remember You	Amy Grant
Tears In Heaven	Eric Clapton
Take This Heart	Richard Marx
They Want EFX	Das EFX
This Used To Be My Playground	Madonna
Good Stuff	The B-52s
T.L.C.	Linear
Move This	Technotronic Featuring Ya Kid K
Save The Best For Last	Vanessa Williams
Everything About You	Ugly Kid Joe
Why	Annie Lennox
One	U2
Bohemian Rhapsody	Queen
Honey Love	R. Kelly & Public Announcement
Sometimes I Rhyme Slow	Nice & Smooth
Thought I'd Died And Gone To Heaven	Bryan Adams
Nu Nu	Lidell Townsell
Closer To Me	The Outfield
Remedy	The Black Crowes
The One	Elton John
Make Love Like A Man	Def Leppard
Mr. Loverman (From "Deep Cover")	Shabba Ranks
Strawberry Letter 23	Tevin Campbell
Silent Prayer	Shanice
Make It Happen	Mariah Carey
Helluva	Brotherhood Creed
All You've Got	RTZ
Lift Me Up	Howard Jones
James Brown Is Dead	L.A. Style
Let's Get Rocked	Def Leppard
Why Me Baby?	Keith Sweat
Scenario	A Tribe Called Quest
Fall In Love Again	Eddie Money
Never Satisfied	Good 2 Go
Maria	TKA
Please Don't Go	Boyz II Men
You Remind Me (From "Strictly Business")	Mary J. Blige
57 Channels (And Nothin' On)	Bruce Springsteen
Twilight Zone	2 Unlimited
Victim Of The Ghetto	The College Boyz
Whatever It Takes (To Make You Stay)	Troop
They Reminisce Over You (T.R.O.Y.)	Pete Rock & C.L. Smooth
Not The Only One	Bonnie Raitt
Everything Changes	Kathy Troccoli
All I Want	Toad The Wet Sprocket
Please Don't Go	K.W.S.
Stay	Shakespear's Sister
Slowly	Stacy Earl
Everybody's Free (To Feel Good)	Rozalla
Jump Around	House Of Pain
Forever In Your Eyes	Mint Condition
Brainstorming	M.C. Brains
Love Me	Tracie Spencer
3-2-1 Pump	Redhead Kingpin & The F.B.I.
Smells Like Nirvana	"Weird Al" Yankovic
I Miss You	Joe Public
Come As You Are	Nirvana
If You Want It	2nd II None
Take Time	Chris Walker
Strobelite Honey	Black Sheep
Human Touch/Better Days	Bruce Springsteen
Reach For The Sky	Firehouse
Faces Of Love	Nia Peeples
Take Me In Your Arms	Lil Suzy
Innocent Child	Colourhaus
The Way I Feel	Tag
Nothing Else Matters	Metallica
You Think You Know Her	Cause And Effect
So What'cha Want	Beastie Boys
The Choice Is Yours	Black Sheep
