Informer	Snow
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
Nuthin' But A "G" Thang	Dr. Dre
Ordinary World	Duran Duran
I'm Every Woman (From "The Bodyguard")	Whitney Houston
Freak Me	Silk
I Will Always Love You	Whitney Houston
Mr. Wendal	Arrested Development
Don't Walk Away	Jade
Bed Of Roses	Bon Jovi
I Have Nothing	Whitney Houston
Hip Hop Hooray	Naughty By Nature
7	Prince And The New Power Generation
Here We Go Again!	Portrait
Comforter	Shai
Two Princes	Spin Doctors
Get Away	Bobby Brown
That's What Love Can Do	Boy Krazy
I Got A Man	Positive K
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
Rebirth Of Slick (Cool Like Dat)	Digable Planets
Forever In Love	Kenny G
Ditty	Paperboy
Saving Forever For You (From "Beverly Hills, 90210")	Shanice
Cat's In The Cradle	Ugly Kid Joe
I'm So Into You	SWV
If I Ever Fall In Love	Shai
Heal The World	Michael Jackson
Sweet Thing	Mary J. Blige
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
In The Still Of The Nite (From "The Jacksons")	Boyz II Men
Rhythm Is A Dancer	Snap!
Angel	Jon Secada
Hat 2 Da Back	TLC
Rump Shaker	Wreckx-N-Effect
Man On The Moon	R.E.M.
I Feel You	Depeche Mode
Good Enough	Bobby Brown
Give It Up, Turn It Loose	En Vogue
Do You Believe In Us	Jon Secada
I'd Die Without You (From "Boomerang")	P.M. Dawn
If I Ever Lose My Faith In You	Sting
Bad Girl	Madonna
No Mistakes	Patty Smyth
Walk On The Ocean	Toad The Wet Sprocket
Dazzey Duks	Duice
Real Love	Mary J. Blige
When She Cries	Restless Heart
Little Bird	Annie Lennox
Stand	Poison
It Was A Good Day	Ice Cube
I'm Gonna Get You	Bizarre Inc
Faithful	Go West
Everything's Gonna Be Alright	Father M.C.
Supermodel (You Better Work)	RuPaul
Nothin' My Love Can't Fix	Joey Lawrence
Tell The Truth	Jude Cole
Simple Life	Elton John
I See Your Smile	Gloria Estefan
I Got A Thang 4 Ya!	Lo-Key?
So Alone	Men At Large
Beautiful Girl	INXS
Steam	Peter Gabriel
Murder She Wrote	Chaka Demus & Pliers
Passionate Kisses	Mary Chapin Carpenter
Love U More	Sunscreem
Deeper And Deeper	Madonna
Love Shoulda Brought You Home (From "Boomerang")	Toni Braxton
Dedicated	R. Kelly & Public Announcement
The Crying Game (From "The Crying Game")	Boy George
Never A Time	Genesis
Quality Time	Hi-Five
Understand This Groove	Sound Factory
Come In Out Of The Rain	Wendy Moten
Homies	Lighter Shade Of Brown
Knock-N-Boots	Wreckx-N-Effect
Stand Up (Kick Love Into Motion)	Def Leppard
Gangsta Bitch	Apache
Reminisce	Mary J. Blige
The Last Song	Elton John
Tap The Bottle	Young Black Teenagers
No Ordinary Love	Sade
Hope Of Deliverance	Paul McCartney
I Love You Period	Dan Baird
Candy Everybody Wants	10,000 Maniacs
Save Your Love	Bad Boys Blue
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
Who Got The Props	Black Moon
Born 2 B.R.E.E.D.	Monie Love
Give It To You	Martha Wash
Speed	Alpha Team
What You Won't Do For Love	Go West
She's Not Cryin' Anymore	Billy Ray Cyrus
Feels Like Heaven	Peter Cetera (Duet With Chaka Khan)
Romeo	Dolly Parton & Friends
Somebody Love Me	Michael W. Smith
Love Can Move Mountains	Celine Dion
It's Gonna Be A Lovely Day	The S.O.U.L. S.Y.S.T.E.M.
Irresistible	Cathy Dennis
Sweet Thing	Mick Jagger
