Freak Me	Silk
Informer	Snow
Nuthin' But A "G" Thang	Dr. Dre
I Have Nothing	Whitney Houston
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
Don't Walk Away	Jade
I'm So Into You	SWV
Two Princes	Spin Doctors
Looking Through Patient Eyes	P.M. Dawn
Ditty	Paperboy
Cat's In The Cradle	Ugly Kid Joe
Comforter	Shai
Hip Hop Hooray	Naughty By Nature
That's The Way Love Goes	Janet Jackson
It Was A Good Day	Ice Cube
The Crying Game (From "The Crying Game")	Boy George
If I Ever Lose My Faith In You	Sting
Who Is It	Michael Jackson
Angel	Jon Secada
Nothin' My Love Can't Fix	Joey Lawrence
Down With The King	Run-D.M.C.
Bed Of Roses	Bon Jovi
I'm Every Woman (From "The Bodyguard")	Whitney Houston
Mr. Wendal	Arrested Development
I Got A Man	Positive K
Ordinary World	Duran Duran
That's What Love Can Do	Boy Krazy
Knockin' Da Boots	H-Town
Livin' On The Edge	Aerosmith
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
Connected	Stereo MC's
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
Forever In Love	Kenny G
Simple Life	Elton John
Three Little Pigs	Green Jelly
Love U More	Sunscreem
Dedicated	R. Kelly & Public Announcement
So Alone	Men At Large
Dazzey Duks	Duice
Show Me Love	Robin S.
I Will Always Love You	Whitney Houston
Come Undone	Duran Duran
Buddy X	Neneh Cherry
Love Don't Love You	En Vogue
The Morning Papers	Prince And The New Power Generation
Weak	SWV
7	Prince And The New Power Generation
Sweet Thing	Mary J. Blige
Tell Me What You Dream	Restless Heart Featuring Warren Hill
Rhythm Is A Dancer	Snap!
I'm Gonna Get You	Bizarre Inc
Rebirth Of Slick (Cool Like Dat)	Digable Planets
Supermodel (You Better Work)	RuPaul
I'll Never Get Over You (Getting Over Me)	Expose
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
I Feel You	Depeche Mode
Man On The Moon	R.E.M.
Tap The Bottle	Young Black Teenagers
Romeo	Dolly Parton & Friends
What You Won't Do For Love	Go West
Come In Out Of The Rain	Wendy Moten
Tonight	Def Leppard
Touch My Light	Big Mountain
I See Your Smile	Gloria Estefan
How I'm Comin'	LL Cool J
Let's Go Through The Motions (From "Who's The Man?")	Jodeci
Sleeping Satellite	Tasmin Archer
If I Could	Regina Belle
Typical Reasons (Swing My Way)	Prince Markie Dee And The Soul Convention
Hat 2 Da Back	TLC
Silence Is Broken (From "Nowhere To Run")	Damn Yankees
Have I Told You Lately	Rod Stewart
Bad Boys (Theme From "Cops")	Inner Circle
Funky Child	Lords Of The Underground
Beautiful Girl	INXS
More And More	Captain Hollywood Project
That's The Way Love Is	Bobby Brown
Good Ol' Days	Levert
Kiss Of Life	Sade
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
Regret	New Order
She's Not Cryin' Anymore	Billy Ray Cyrus
Alibis	Tracy Lawrence
Candy Everybody Wants	10,000 Maniacs
Deeper	Boss
Get Away	Bobby Brown
Every Little Thing U Do	Christopher Williams
Closer	Remedy
Whoot, There It Is	95 South
Easy	Faith No More
Wannagirl	Jeremy Jordan
It's My Life	Dr. Alban
Passin' Me By	The Pharcyde
Bow Wow Wow	Funkdoobiest
What's Up	4 Non Blondes
La La Love	Bobby Ross Avila
Bad Girl	Madonna
Reminisce	Mary J. Blige
Knock-N-Boots	Wreckx-N-Effect
Sweet On U	Lo-Key?
