Dreamlover	Mariah Carey
Whoomp! (There It Is)	Tag Team
Right Here (Human Nature)/Downtown	SWV
Can't Help Falling In Love (From "Sliver")	UB40
If	Janet Jackson
The River Of Dreams	Billy Joel
Will You Be There	Michael Jackson
Runaway Train	Soul Asylum
Lately	Jodeci
Baby I'm Yours	Shai
Another Sad Love Song	Toni Braxton
I Get Around	2Pac
Boom! Shake The Room	Jazzy Jeff & The Fresh Prince
Cryin'	Aerosmith
One Last Cry	Brian McKnight
Rain	Madonna
I'm Gonna Be (500 Miles)	The Proclaimers
If I Had No Loot	Tony Toni Tone
Insane In The Brain	Cypress Hill
I Don't Wanna Fight (From "What's Love Got To Do With It")	Tina Turner
Reason To Believe	Rod Stewart
Sweat (A La La La La Long)	Inner Circle
When I Fall In Love (From "Sleepless In Seattle")	Celine Dion And Clive Griffin
Alright	Kris Kross Featuring Supercat
Break It Down Again	Tears For Fears
Soul To Squeeze (From "Coneheads")	Red Hot Chili Peppers
Weak	SWV
Hey Mr. D.J.	Zhane
Whoot, There It Is	95 South
Two Steps Behind (From "Last Action Hero")	Def Leppard
Ooh Child	Dino
Check Yo Self	Ice Cube Featuring Das EFX
Hey Jealousy	Gin Blossoms
Dazzey Duks	Duice
What's Up	4 Non Blondes
Show Me Love	Robin S.
Very Special	Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson
I'll Never Get Over You (Getting Over Me)	Expose
Slam	Onyx
Ruffneck	MC Lyte
What Is Love	Haddaway
That's The Way Love Goes	Janet Jackson
Hopelessly	Rick Astley
Creep	Radiohead
Fields Of Gold	Sting
Knockin' Da Boots	H-Town
Dre Day	Dr. Dre
I'd Do Anything For Love (But I Won't Do That)	Meat Loaf
Come Undone	Duran Duran
Something In Your Eyes	Bell Biv DeVoe
No Rain	Blind Melon
Something's Goin' On	U.N.V.
Sunday Morning	Earth, Wind & Fire
One Woman	Jade
Better Than You	Lisa Keith
Love For Love	Robin S.
I'm Free	Jon Secada
Chief Rocka	Lords Of The Underground
Too Much Information	Duran Duran
Pink Cashmere	Prince
Come Inside	Intro
Everybody Hurts	R.E.M.
Run To You	Whitney Houston
Mega Medley	Zapp & Roger
Just Kickin' It	Xscape
Chattahoochee	Alan Jackson
What's Up Doc? (Can We Rock)	Fu-Schnickens W/ Shaquille O'Neal
All That She Wants	Ace Of Base
Come Baby Come	K7
Believe	Lenny Kravitz
Girl U For Me/Lose Control	Silk
Happy	Legacy Of Sound Featuring Meja
Cry No More	II D Extreme
Don't Take Away My Heaven	Aaron Neville
I'm In Luv	Joe
Get It Up (From "Poetic Justice")	TLC
Delicate	Terence Trent D'Arby
Oh Carolina	Shaggy
Breakadawn	De La Soul
Can't Get Enough Of Your Love	Taylor Dayne
Lick U Up	H-Town
What Might Have Been	Little Texas
The Ways Of The Wind	P.M. Dawn
Anniversary	Tony Toni Tone
Streiht Up Menace (From "Menace II Society")	MC Eiht
Step It Up	Stereo MC's
Let Me Ride	Dr. Dre
Human Wheels	John Mellencamp
For The Cool In You	Babyface
The Bonnie And Clyde Theme	Yo-Yo
In The Heart Of A Woman	Billy Ray Cyrus
By The Time This Night Is Over	Kenny G With Peabo Bryson
It's For You (From "The Meteor Man")	Shanice
Stay Forever	Joey Lawrence
Even A Fool Can See	Peter Cetera
Indo Smoke (From "Poetic Justice")	Mista Grimm
Heaven Knows	Luther Vandross
World (The Price Of Love)	New Order
ABC-123	Levert
That's What Little Girls Are Made Of	Raven-Symone
